Date,Ticker,Open,High,Low,Close,Volume,Daily_Return_Pct,MA20,MA50,MA200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,Year,Month,Quarter,Year_Month,Price_Repaired
2007-11-27,ADANIPORTS,138.866,186.658,138.866,172.952,27262365,,,,,,0.0,0.0,0.0,,,,2007,11,4,2007-11,False
2007-11-28,ADANIPORTS,174.936,178.362,157.74,159.606,21958915,-7.7164,,,,,-1.0646,-0.212921,-0.851684,,,,2007,11,4,2007-11,False
2007-11-29,ADANIPORTS,163.213,164.836,151.905,159.967,25616715,0.226,,,,,-1.85779,-0.541895,-1.3159,,,,2007,11,4,2007-11,False
2007-11-30,ADANIPORTS,160.508,172.591,160.508,167.541,23047035,4.7351,,,,,-1.85383,-0.804282,-1.04955,,,,2007,11,4,2007-11,False
2007-12-03,ADANIPORTS,169.48,179.318,166.279,176.739,14578850,5.4898,,,,,-1.09588,-0.862602,-0.233281,,,,2007,12,4,2007-12,False
2007-12-04,ADANIPORTS,177.956,190.265,176.018,189.183,22742860,7.0408,,,,,0.503114,-0.589459,1.09257,,,,2007,12,4,2007-12,False
2007-12-05,ADANIPORTS,189.363,198.2,189.363,195.495,13806600,3.3365,,,,,2.25368,-0.0208303,2.27451,,,,2007,12,4,2007-12,False
2007-12-06,ADANIPORTS,189.544,199.751,189.544,196.595,8619680,0.5627,,,,,3.68729,0.720793,2.96649,,,,2007,12,4,2007-12,False
2007-12-07,ADANIPORTS,198.381,204.458,194.413,198.381,11182820,0.9082,,,,,4.91089,1.55881,3.35208,,,,2007,12,4,2007-12,False
2007-12-10,ADANIPORTS,198.678,200.184,191.446,193.61,5028390,-2.4046,,,,,5.43306,2.33366,3.0994,,,,2007,12,4,2007-12,False
2007-12-11,ADANIPORTS,194.963,196.397,187.74,188.642,3990645,-2.5662,,,,,5.3839,2.94371,2.44019,,,,2007,12,4,2007-12,False
2007-12-12,ADANIPORTS,185.756,191.708,183.231,187.001,3637865,-0.87,,,,,5.15312,3.38559,1.76753,,,,2007,12,4,2007-12,False
2007-12-13,ADANIPORTS,187.56,207.398,187.037,203.998,15317195,9.0896,,,,,6.26951,3.96238,2.30714,,,,2007,12,4,2007-12,False
2007-12-14,ADANIPORTS,199.309,205.576,198.579,199.643,5345960,-2.135,,,,,6.7253,4.51496,2.21034,,,,2007,12,4,2007-12,False
2007-12-17,ADANIPORTS,205.594,210.644,184.223,188.326,7024775,-5.6685,,,,57.9935,6.103,4.83257,1.27043,,,,2007,12,4,2007-12,False
2007-12-18,ADANIPORTS,188.326,188.326,188.326,188.326,0,0.0,,,,57.9935,5.54589,4.97523,0.570658,,,,2007,12,4,2007-12,False
2007-12-19,ADANIPORTS,196.757,201.266,188.696,192.411,4228330,2.169,,,,59.9656,5.37206,5.0546,0.317463,,,,2007,12,4,2007-12,False
2007-12-20,ADANIPORTS,195.405,195.405,189.544,191.203,3116440,-0.628,,,,59.082,5.07826,5.05933,0.0189312,,,,2007,12,4,2007-12,False
2007-12-24,ADANIPORTS,197.479,214.972,195.72,208.624,10304460,9.1115,,,,66.7008,6.17995,5.28345,0.896492,,,,2007,12,4,2007-12,False
2007-12-26,ADANIPORTS,211.906,218.94,207.037,216.397,7335155,3.7258,188.732,,,69.4353,7.59273,5.74531,1.84742,218.744,158.72,31.8039,2007,12,4,2007-12,False
2007-12-27,ADANIPORTS,219.12,223.629,217.136,218.516,4887475,0.9792,191.01,,,70.1549,8.78212,6.35267,2.42945,222.841,159.179,33.3289,2007,12,4,2007-12,False
2007-12-28,ADANIPORTS,214.503,229.761,211.906,225.27,5820690,3.0908,194.293,,,72.3862,10.1527,7.11267,3.04,226.031,162.556,32.6701,2007,12,4,2007-12,False
2007-12-31,ADANIPORTS,227.84,233.548,227.416,228.823,3686245,1.5771,197.736,,,73.5083,11.3942,7.96898,3.42521,228.725,166.747,31.3439,2007,12,4,2007-12,False
