Date,Ticker,Open,High,Low,Close,Volume,Daily_Return_Pct,MA20,MA50,MA200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,Year,Month,Quarter,Year_Month,Price_Repaired
2002-07-01,APOLLOHOSP,52.3445,53.9095,52.3445,53.5182,107294,,,,,,0.0,0.0,0.0,,,,2002,7,3,2002-07,False
2002-07-02,APOLLOHOSP,53.5388,55.1656,53.5388,54.5272,224240,1.8853,,,,,0.08049,0.016098,0.064392,,,,2002,7,3,2002-07,False
2002-07-03,APOLLOHOSP,54.7331,55.1038,53.1682,53.4976,97578,-1.8882,,,,,0.0605014,0.0249787,0.0355227,,,,2002,7,3,2002-07,False
2002-07-04,APOLLOHOSP,53.8683,54.5684,53.3947,53.6006,99150,0.1925,,,,,0.0523679,0.0304565,0.0219113,,,,2002,7,3,2002-07,False
2002-07-05,APOLLOHOSP,53.9506,54.5478,53.1682,53.8889,219024,0.5379,,,,,0.0683969,0.0380446,0.0303523,,,,2002,7,3,2002-07,False
2002-07-08,APOLLOHOSP,54.5684,57.2454,54.0124,56.051,619238,4.0121,,,,,0.252651,0.0809659,0.171685,,,,2002,7,3,2002-07,False
2002-07-09,APOLLOHOSP,56.9982,57.2247,54.7125,55.1038,267182,-1.6899,,,,,0.31857,0.128487,0.190084,,,,2002,7,3,2002-07,False
2002-07-10,APOLLOHOSP,55.3715,55.3715,53.5594,53.6624,95100,-2.6158,,,,,0.251603,0.15311,0.0984927,,,,2002,7,3,2002-07,False
2002-07-11,APOLLOHOSP,53.5388,53.7035,52.6328,53.1476,197056,-0.9593,,,,,0.155201,0.153528,0.00167298,,,,2002,7,3,2002-07,False
2002-07-12,APOLLOHOSP,53.58,54.4654,52.015,52.7357,137764,-0.775,,,,,0.0450462,0.131832,-0.0867856,,,,2002,7,3,2002-07,False
2002-07-15,APOLLOHOSP,52.8387,52.8387,50.4912,51.2737,157412,-2.7723,,,,,-0.158398,0.0737859,-0.232184,,,,2002,7,3,2002-07,False
2002-07-16,APOLLOHOSP,52.0974,52.0974,50.6559,51.3767,73214,0.2009,,,,,-0.30777,-0.00252518,-0.305244,,,,2002,7,3,2002-07,False
2002-07-17,APOLLOHOSP,51.4796,51.4796,49.2969,50.1412,131692,-2.4048,,,,,-0.51985,-0.10599,-0.41386,,,,2002,7,3,2002-07,False
2002-07-18,APOLLOHOSP,50.8207,53.3741,50.45,52.8593,174322,5.4209,,,,,-0.463257,-0.177443,-0.285813,,,,2002,7,3,2002-07,False
2002-07-19,APOLLOHOSP,53.2917,54.3213,51.6856,53.8271,293544,1.8309,,,,51.073,-0.336435,-0.209242,-0.127193,,,,2002,7,3,2002-07,False
2002-07-22,APOLLOHOSP,51.7267,52.9211,51.4796,52.5504,159256,-2.3719,,,,46.6198,-0.335084,-0.23441,-0.100674,,,,2002,7,3,2002-07,False
2002-07-23,APOLLOHOSP,51.5002,53.0858,51.5002,52.7975,87750,0.4702,,,,47.5727,-0.310495,-0.249627,-0.0608681,,,,2002,7,3,2002-07,False
2002-07-24,APOLLOHOSP,52.4269,52.7151,50.8619,51.3355,78882,-2.7691,,,,42.7146,-0.404319,-0.280566,-0.123753,,,,2002,7,3,2002-07,False
2002-07-25,APOLLOHOSP,52.3033,52.8799,51.4796,52.2003,120256,1.6846,,,,46.2135,-0.404233,-0.305299,-0.098934,,,,2002,7,3,2002-07,False
2002-07-26,APOLLOHOSP,52.3033,52.3033,48.8027,49.0704,152200,-5.9959,52.8583,,,37.3273,-0.649238,-0.374087,-0.275151,56.1494,49.5671,12.4526,2002,7,3,2002-07,False
2002-07-29,APOLLOHOSP,43.2635,49.5234,43.2635,45.2609,179162,-7.7633,52.4454,,,29.8132,-1.13769,-0.526807,-0.610879,57.1543,47.7365,17.9573,2002,7,3,2002-07,False
2002-07-30,APOLLOHOSP,51.5208,51.5208,45.0961,46.1463,171770,1.9562,52.0263,,,33.18,-1.43678,-0.708801,-0.727977,57.3999,46.6528,20.6571,2002,7,3,2002-07,False
2002-07-31,APOLLOHOSP,45.3844,45.3844,41.8015,42.0074,315748,-8.9691,51.4518,,,26.7261,-1.9849,-0.964022,-1.02088,58.3917,44.5119,26.9763,2002,7,3,2002-07,False
2002-08-01,APOLLOHOSP,43.2223,43.2429,40.36,40.8748,394458,-2.6962,50.8155,,,25.2772,-2.48208,-1.26763,-1.21445,59.1244,42.5066,32.7022,2002,8,3,2002-08,False
2002-08-02,APOLLOHOSP,43.2429,43.2429,38.9598,39.2069,178858,-4.0805,50.0814,,,23.2759,-2.97637,-1.60938,-1.36699,59.7329,40.43,38.5431,2002,8,3,2002-08,False
