Date,Ticker,Open,High,Low,Close,Volume,Daily_Return_Pct,MA20,MA50,MA200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,Year,Month,Quarter,Year_Month,Price_Repaired
2002-07-01,ASIANPAINT,15.35,16.14,15.35,16.01,87810,,,,,,0.0,0.0,0.0,,,,2002,7,3,2002-07,False
2002-07-02,ASIANPAINT,15.35,16.37,15.35,16.18,588615,1.045,,,,,0.0134,0.0027,0.0107,,,,2002,7,3,2002-07,False
2002-07-03,ASIANPAINT,16.0,16.38,15.76,16.33,162075,0.946,,,,,0.0359,0.0093,0.0266,,,,2002,7,3,2002-07,False
2002-07-04,ASIANPAINT,16.28,16.76,16.28,16.5,266625,1.029,,,,,0.0665,0.0207,0.0458,,,,2002,7,3,2002-07,False
2002-07-05,ASIANPAINT,16.81,17.96,16.76,17.28,408600,4.746,,,,,0.1522,0.047,0.1052,,,,2002,7,3,2002-07,False
2002-07-08,ASIANPAINT,17.24,17.86,17.24,17.6,165600,1.854,,,,,0.2432,0.0863,0.1569,,,,2002,7,3,2002-07,False
2002-07-09,ASIANPAINT,17.53,17.7,17.24,17.46,74835,-0.8,,,,,0.3005,0.1291,0.1714,,,,2002,7,3,2002-07,False
2002-07-10,ASIANPAINT,17.24,17.67,17.06,17.57,93675,0.642,,,,,0.3509,0.1735,0.1774,,,,2002,7,3,2002-07,False
2002-07-11,ASIANPAINT,17.7,17.7,16.34,17.54,61380,-0.163,,,,,0.3841,0.2156,0.1685,,,,2002,7,3,2002-07,False
2002-07-12,ASIANPAINT,17.75,17.75,17.26,17.36,63405,-1.039,,,,,0.3911,0.2507,0.1404,,,,2002,7,3,2002-07,False
2002-07-15,ASIANPAINT,17.6,17.6,16.81,16.94,42795,-2.411,,,,,0.3588,0.2723,0.0865,,,,2002,7,3,2002-07,False
2002-07-16,ASIANPAINT,17.26,17.26,16.77,16.9,107070,-0.241,,,,,0.3262,0.2831,0.0431,,,,2002,7,3,2002-07,False
2002-07-17,ASIANPAINT,16.73,16.76,16.06,16.37,114600,-3.167,,,,,0.2542,0.2773,-0.0231,,,,2002,7,3,2002-07,False
2002-07-18,ASIANPAINT,17.02,17.02,15.66,16.42,88500,0.312,,,,,0.1989,0.2616,-0.0627,,,,2002,7,3,2002-07,False
