Date,Ticker,Open,High,Low,Close,Volume,Daily_Return_Pct,MA20,MA50,MA200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,Year,Month,Quarter,Year_Month,Price_Repaired
2000-01-03,AXISBANK,3.63,3.69,3.63,3.69,82500,,,,,,0.0,0.0,0.0,,,,2000,1,1,2000-01,False
2000-01-04,AXISBANK,3.84,3.92,3.62,3.83,494000,3.861,,,,,0.0114,0.0023,0.0091,,,,2000,1,1,2000-01,False
2000-01-05,AXISBANK,3.57,3.86,3.56,3.73,383000,-2.602,,,,,0.0122,0.0043,0.0079,,,,2000,1,1,2000-01,False
2000-01-06,AXISBANK,3.77,3.77,3.56,3.64,164500,-2.481,,,,,0.0053,0.0045,0.0008,,,,2000,1,1,2000-01,False
2000-01-07,AXISBANK,3.56,3.72,3.42,3.46,149000,-4.892,,,,,-0.0143,0.0007,-0.015,,,,2000,1,1,2000-01,False
2000-01-10,AXISBANK,3.67,3.73,3.56,3.57,214000,3.086,,,,,-0.0211,-0.0037,-0.0174,,,,2000,1,1,2000-01,False
2000-01-11,AXISBANK,3.56,3.63,3.29,3.39,174000,-4.99,,,,,-0.0403,-0.011,-0.0293,,,,2000,1,1,2000-01,False
2000-01-12,AXISBANK,3.37,3.49,3.36,3.4,85000,0.42,,,,,-0.0537,-0.0195,-0.0342,,,,2000,1,1,2000-01,False
2000-01-13,AXISBANK,3.42,3.49,3.35,3.36,75500,-1.255,,,,,-0.0671,-0.029,-0.038,,,,2000,1,1,2000-01,False
2000-01-14,AXISBANK,3.3,3.36,3.27,3.33,83000,-0.847,,,,,-0.079,-0.039,-0.04,,,,2000,1,1,2000-01,False
2000-01-17,AXISBANK,3.56,3.59,3.56,3.59,258500,7.906,,,,,-0.0665,-0.0445,-0.022,,,,2000,1,1,2000-01,False
2000-01-18,AXISBANK,3.77,3.77,3.52,3.58,249500,-0.396,,,,,-0.057,-0.047,-0.01,,,,2000,1,1,2000-01,False
2000-01-19,AXISBANK,3.7,3.7,3.56,3.63,126000,1.392,,,,,-0.045,-0.0466,0.0016,,,,2000,1,1,2000-01,False
2000-01-20,AXISBANK,3.63,3.69,3.42,3.46,197000,-4.706,,,,,-0.0487,-0.047,-0.0017,,,,2000,1,1,2000-01,False
2000-01-21,AXISBANK,3.42,3.56,3.42,3.54,270500,2.469,,,,45.146,-0.0442,-0.0465,0.0023,,,,2000,1,1,2000-01,False
2000-01-24,AXISBANK,3.63,3.81,3.54,3.59,381000,1.205,,,,46.814,-0.0368,-0.0445,0.0077,,,,2000,1,1,2000-01,False
2000-01-25,AXISBANK,3.54,3.63,3.52,3.53,305500,-1.587,,,,44.855,-0.0351,-0.0427,0.0075,,,,2000,1,1,2000-01,False
2000-01-26,AXISBANK,3.53,3.53,3.53,3.53,0,0.0,,,,44.855,-0.0334,-0.0408,0.0074,,,,2000,1,1,2000-01,False
2000-01-27,AXISBANK,3.49,3.81,3.49,3.79,391000,7.258,,,,54.739,-0.0112,-0.0349,0.0237,,,,2000,1,1,2000-01,False
