Date,Ticker,Open,High,Low,Close,Volume,Daily_Return_Pct,MA20,MA50,MA200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,Year,Month,Quarter,Year_Month,Price_Repaired
2002-07-01,BAJAJ-AUTO,78.13,80.3,77.25,79.83,114874,,,,,,0.0,0.0,0.0,,,,2002,7,3,2002-07,False
2002-07-02,BAJAJ-AUTO,81.03,81.03,78.14,78.6,70272,-1.538,,,,,-0.0979,-0.0196,-0.0783,,,,2002,7,3,2002-07,False
2002-07-03,BAJAJ-AUTO,80.3,82.33,78.75,81.58,158600,3.782,,,,,0.0636,-0.003,0.0665,,,,2002,7,3,2002-07,False
2002-07-04,BAJAJ-AUTO,78.6,85.31,78.6,84.58,389836,3.682,,,,,0.429,0.0834,0.3456,,,,2002,7,3,2002-07,False
2002-07-05,BAJAJ-AUTO,85.7,85.7,82.4,82.88,162464,-2.008,,,,,0.5749,0.1817,0.3932,,,,2002,7,3,2002-07,False
2002-07-08,BAJAJ-AUTO,83.37,83.52,82.32,82.89,100766,0.009,,,,,0.6833,0.282,0.4012,,,,2002,7,3,2002-07,False
2002-07-09,BAJAJ-AUTO,84.16,84.31,82.16,84.06,110472,1.416,,,,,0.854,0.3964,0.4576,,,,2002,7,3,2002-07,False
2002-07-10,BAJAJ-AUTO,80.3,84.62,80.3,82.28,182680,-2.122,,,,,0.8358,0.4843,0.3515,,,,2002,7,3,2002-07,False
2002-07-11,BAJAJ-AUTO,81.84,82.42,81.22,82.07,68804,-0.253,,,,,0.7953,0.5465,0.2488,,,,2002,7,3,2002-07,False
2002-07-12,BAJAJ-AUTO,81.99,82.58,81.71,82.03,39310,-0.047,,,,,0.7515,0.5875,0.164,,,,2002,7,3,2002-07,False
2002-07-15,BAJAJ-AUTO,81.54,81.81,80.46,81.12,34122,-1.111,,,,,0.6359,0.5972,0.0387,,,,2002,7,3,2002-07,False
2002-07-16,BAJAJ-AUTO,81.23,81.23,77.98,79.06,80172,-2.541,,,,,0.3737,0.5525,-0.1788,,,,2002,7,3,2002-07,False
