Date,Ticker,Open,High,Low,Close,Volume,Daily_Return_Pct,MA20,MA50,MA200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,Year,Month,Quarter,Year_Month,Price_Repaired
2002-08-12,BAJAJFINSV,440.216,449.655,440.216,443.444,50600,,,,,,0.0,0.0,0.0,,,,2002,8,3,2002-08,False
2002-08-13,BAJAJFINSV,444.52,444.52,435.473,437.527,25600,-1.3343,,,,,-0.472011,-0.0944023,-0.377609,,,,2002,8,3,2002-08,False
2002-08-14,BAJAJFINSV,406.865,439.141,406.865,425.252,105200,-2.8055,,,,,-1.81564,-0.438651,-1.37699,,,,2002,8,3,2002-08,False
2002-08-15,BAJAJFINSV,425.252,425.252,425.252,425.252,0,0.0,,,,,-2.84766,-0.920452,-1.9272,,,,2002,8,3,2002-08,False
2002-08-16,BAJAJFINSV,403.442,431.316,403.442,418.259,143100,-1.6444,,,,,-4.18161,-1.57268,-2.60892,,,,2002,8,3,2002-08,False
2002-08-19,BAJAJFINSV,420.558,421.927,415.717,420.216,68300,0.4679,,,,,-5.02296,-2.26274,-2.76022,,,,2002,8,3,2002-08,False
2002-08-20,BAJAJFINSV,422.612,433.126,415.668,428.04,53900,1.8619,,,,,-5.00076,-2.81034,-2.19042,,,,2002,8,3,2002-08,False
2002-08-21,BAJAJFINSV,435.228,435.228,424.519,425.399,33600,-0.617,,,,,-5.13705,-3.27568,-1.86137,,,,2002,8,3,2002-08,False
2002-08-22,BAJAJFINSV,420.656,429.116,417.917,418.748,123100,-1.5635,,,,,-5.71586,-3.76372,-1.95214,,,,2002,8,3,2002-08,False
2002-08-23,BAJAJFINSV,417.624,419.482,409.31,410.631,170900,-1.9384,,,,,-6.75171,-4.36132,-2.3904,,,,2002,8,3,2002-08,False
2002-08-26,BAJAJFINSV,410.288,415.668,405.398,408.577,136900,-0.5002,,,,,-7.65019,-5.01909,-2.6311,,,,2002,8,3,2002-08,False
2002-08-27,BAJAJFINSV,410.777,410.777,407.11,408.039,158200,-0.1317,,,,,-8.30986,-5.67725,-2.63261,,,,2002,8,3,2002-08,False
2002-08-28,BAJAJFINSV,430.338,430.338,403.931,408.724,70400,0.1679,,,,,-8.67735,-6.27727,-2.40008,,,,2002,8,3,2002-08,False
2002-08-29,BAJAJFINSV,393.906,410.728,393.906,408.919,77100,0.0477,,,,,-8.85083,-6.79198,-2.05885,,,,2002,8,3,2002-08,False
2002-08-30,BAJAJFINSV,408.821,410.777,400.019,409.262,54900,0.0839,,,,19.5836,-8.85852,-7.20529,-1.65323,,,,2002,8,3,2002-08,False
2002-09-02,BAJAJFINSV,410.777,414.592,399.579,406.67,128100,-0.6333,,,,18.6567,-8.97036,-7.5583,-1.41206,,,,2002,9,3,2002-09,False
