Date,Ticker,Open,High,Low,Close,Volume,Daily_Return_Pct,MA20,MA50,MA200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,Year,Month,Quarter,Year_Month,Price_Repaired
2002-07-01,BAJFINANCE,0.377716,0.399428,0.377716,0.390182,219230,,,,,,0.0,0.0,0.0,,,,2002,7,3,2002-07,False
2002-07-02,BAJFINANCE,0.398167,0.399148,0.390813,0.392424,610448,0.5746,,,,,0.000178849,3.57698e-05,0.000143079,,,,2002,7,3,2002-07,False
2002-07-03,BAJFINANCE,0.396907,0.399778,0.38409,0.394035,341608,0.4105,,,,,0.000445448,0.000117705,0.000327742,,,,2002,7,3,2002-07,False
2002-07-04,BAJFINANCE,0.396556,0.401669,0.390533,0.398517,278926,1.1375,,,,,0.00100678,0.000295521,0.000711262,,,,2002,7,3,2002-07,False
2002-07-05,BAJFINANCE,0.401039,0.407762,0.394666,0.403,589760,1.1249,,,,,0.00179272,0.000594961,0.00119776,,,,2002,7,3,2002-07,False
2002-07-08,BAJFINANCE,0.396556,0.412245,0.396556,0.405521,489099,0.6256,,,,,0.00258916,0.000993801,0.00159536,,,,2002,7,3,2002-07,False
2002-07-09,BAJFINANCE,0.402999,0.415117,0.401389,0.404891,3218464,-0.1554,,,,,0.00313339,0.00142172,0.00171167,,,,2002,7,3,2002-07,False
2002-07-10,BAJFINANCE,0.395646,0.395646,0.370992,0.376455,1384341,-7.0231,,,,,0.00125567,0.00138851,-0.000132838,,,,2002,7,3,2002-07,False
2002-07-11,BAJFINANCE,0.358876,0.375825,0.358876,0.373864,150270,-0.6883,,,,,-0.000436475,0.00102351,-0.00145999,,,,2002,7,3,2002-07,False
2002-07-12,BAJFINANCE,0.396556,0.396556,0.378066,0.383459,241873,2.5664,,,,,-0.000991843,0.000620441,-0.00161228,,,,2002,7,3,2002-07,False
2002-07-15,BAJFINANCE,0.383809,0.395015,0.374214,0.384439,503303,0.2556,,,,,-0.00133748,0.000228857,-0.00156634,,,,2002,7,3,2002-07,False
2002-07-16,BAJFINANCE,0.374845,0.392074,0.374845,0.383179,249284,-0.3278,,,,,-0.00169355,-0.000155625,-0.00153793,,,,2002,7,3,2002-07,False
2002-07-17,BAJFINANCE,0.338985,0.370362,0.332961,0.363638,213569,-5.0997,,,,,-0.00351205,-0.000826909,-0.00268514,,,,2002,7,3,2002-07,False
2002-07-18,BAJFINANCE,0.351802,0.370992,0.34858,0.366229,275324,0.7125,,,,,-0.00469008,-0.00159954,-0.00309054,,,,2002,7,3,2002-07,False
2002-07-19,BAJFINANCE,0.362378,0.375124,0.362028,0.371343,133802,1.3964,,,,39.0569,-0.00515165,-0.00230996,-0.00284168,,,,2002,7,3,2002-07,False
2002-07-22,BAJFINANCE,0.366229,0.370992,0.358175,0.358525,216657,-3.4518,,,,33.6591,-0.00647708,-0.00314339,-0.00333369,,,,2002,7,3,2002-07,False
2002-07-23,BAJFINANCE,0.34732,0.36651,0.34732,0.364899,401613,1.7778,,,,38.2307,-0.00693324,-0.00390136,-0.00303188,,,,2002,7,3,2002-07,False
2002-07-24,BAJFINANCE,0.364619,0.369731,0.355934,0.364899,344798,0.0,,,,38.2307,-0.00721162,-0.00456341,-0.00264821,,,,2002,7,3,2002-07,False
