Date,Ticker,Open,High,Low,Close,Volume,Daily_Return_Pct,MA20,MA50,MA200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,Year,Month,Quarter,Year_Month,Price_Repaired
2002-07-01,BHARTIARTL,13.9291,14.5222,13.7041,14.2359,847376,,,,,,0.0,0.0,0.0,,,,2002,7,3,2002-07,False
2002-07-02,BHARTIARTL,13.7041,14.5631,13.7041,14.5222,676474,2.0111,,,,,0.0228387,0.00456775,0.018271,,,,2002,7,3,2002-07,False
2002-07-03,BHARTIARTL,14.7268,14.7268,14.2972,14.3791,574661,-0.9854,,,,,0.0290567,0.00946554,0.0195912,,,,2002,7,3,2002-07,False
2002-07-04,BHARTIARTL,14.6245,14.829,14.42,14.7268,1148300,2.4181,,,,,0.0613339,0.0198392,0.0414947,,,,2002,7,3,2002-07,False
2002-07-05,BHARTIARTL,14.3382,14.5018,13.9086,13.9904,903273,-5.0004,,,,,0.0271792,0.0213072,0.00587202,,,,2002,7,3,2002-07,False
2002-07-08,BHARTIARTL,14.0109,14.195,13.8064,13.9086,572054,-0.5847,,,,,-0.00641522,0.0157627,-0.022178,,,,2002,7,3,2002-07,False
2002-07-09,BHARTIARTL,14.0313,14.0518,13.6836,13.7245,657548,-1.3236,,,,,-0.0473486,0.00314047,-0.0504891,,,,2002,7,3,2002-07,False
2002-07-10,BHARTIARTL,13.9904,14.0927,13.6427,13.6836,840243,-0.298,,,,,-0.082142,-0.013916,-0.068226,,,,2002,7,3,2002-07,False
2002-07-11,BHARTIARTL,13.9086,13.9086,13.295,13.3359,1105675,-2.541,,,,,-0.136202,-0.0383733,-0.0978291,,,,2002,7,3,2002-07,False
2002-07-12,BHARTIARTL,13.5814,13.5814,13.07,13.1314,1212941,-1.5335,,,,,-0.193319,-0.0693624,-0.123956,,,,2002,7,3,2002-07,False
2002-07-15,BHARTIARTL,13.0905,13.2336,12.9473,13.0087,613201,-0.9344,,,,,-0.245653,-0.104621,-0.141032,,,,2002,7,3,2002-07,False
2002-07-16,BHARTIARTL,12.6609,13.0905,12.6609,12.9882,490166,-0.1576,,,,,-0.285491,-0.140795,-0.144697,,,,2002,7,3,2002-07,False
2002-07-17,BHARTIARTL,12.9268,13.07,12.7018,12.7837,490399,-1.5745,,,,,-0.329764,-0.178588,-0.151175,,,,2002,7,3,2002-07,False
2002-07-18,BHARTIARTL,13.1314,13.1927,12.8859,12.9268,246819,1.1194,,,,,-0.349277,-0.212726,-0.136551,,,,2002,7,3,2002-07,False
2002-07-19,BHARTIARTL,13.0496,13.07,12.8859,12.9268,273717,0.0,,,,27.14,-0.360584,-0.242298,-0.118287,,,,2002,7,3,2002-07,False
2002-07-22,BHARTIARTL,13.0087,13.0496,12.6814,12.8655,430722,-0.4742,,,,26.5284,-0.370224,-0.267883,-0.102341,,,,2002,7,3,2002-07,False
2002-07-23,BHARTIARTL,12.8859,12.8859,12.4973,12.7223,485732,-1.1131,,,,25.105,-0.384981,-0.291303,-0.0936786,,,,2002,7,3,2002-07,False
2002-07-24,BHARTIARTL,12.7632,12.7632,12.4768,12.5996,250128,-0.9644,,,,23.9208,-0.401944,-0.313431,-0.0885129,,,,2002,7,3,2002-07,False
2002-07-25,BHARTIARTL,12.8859,13.0905,12.7428,12.7632,393443,1.2985,,,,28.7471,-0.397602,-0.330265,-0.0673371,,,,2002,7,3,2002-07,False
2002-07-26,BHARTIARTL,12.5178,12.6814,12.3337,12.4769,437573,-2.2432,13.385,,,25.6772,-0.412508,-0.346714,-0.0657946,14.7869,11.9831,20.9475,2002,7,3,2002-07,False
2002-07-29,BHARTIARTL,12.8859,12.8859,12.3746,12.4769,491284,0.0,13.2971,,,25.6772,-0.419486,-0.361268,-0.0582178,14.6949,11.8992,21.0249,2002,7,3,2002-07,False
2002-07-30,BHARTIARTL,12.8859,12.8859,12.4155,12.4564,467602,-0.1643,13.1938,,,25.4515,-0.421808,-0.373376,-0.0484316,14.5135,11.874,20.0062,2002,7,3,2002-07,False
2002-07-31,BHARTIARTL,12.4769,12.9268,11.986,12.8246,948395,2.9559,13.116,,,36.2847,-0.389448,-0.376591,-0.0128573,14.3199,11.9122,18.3571,2002,7,3,2002-07,False
2002-08-01,BHARTIARTL,12.6814,12.7223,12.2314,12.3746,616734,-3.5089,12.9984,,,30.459,-0.395554,-0.380383,-0.0151706,13.9785,12.0183,15.08,2002,8,3,2002-08,False
