Date,Ticker,Open,High,Low,Close,Volume,Daily_Return_Pct,MA20,MA50,MA200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,Year,Month,Quarter,Year_Month,Price_Repaired
2000-01-03,BPCL,5.41052,5.43724,5.25088,5.33371,209280,,,,,,0.0,0.0,0.0,,,,2000,1,1,2000-01,False
2000-01-04,BPCL,5.31367,5.31367,4.90821,4.94963,547680,-7.201,,,,,-0.0306389,-0.00612777,-0.0245111,,,,2000,1,1,2000-01,False
2000-01-05,BPCL,4.67576,5.14334,4.67576,4.80868,3660912,-2.8477,,,,,-0.0655384,-0.0180099,-0.0475285,,,,2000,1,1,2000-01,False
2000-01-06,BPCL,4.83607,5.12998,4.83607,5.08055,1429296,5.6537,,,,,-0.0704468,-0.0284973,-0.0419495,,,,2000,1,1,2000-01,False
2000-01-07,BPCL,4.92959,5.21013,4.88951,5.07453,1036488,-0.1185,,,,,-0.0739698,-0.0375918,-0.0363781,,,,2000,1,1,2000-01,False
2000-01-10,BPCL,5.07654,5.27025,5.07654,5.14267,1253616,1.3428,,,,,-0.0704514,-0.0441637,-0.0262877,,,,2000,1,1,2000-01,False
2000-01-11,BPCL,5.14334,5.14334,4.88951,4.98035,410688,-3.1563,,,,,-0.0798406,-0.0512991,-0.0285415,,,,2000,1,1,2000-01,False
2000-01-12,BPCL,5.07654,5.10326,5.00974,5.04982,138792,1.3949,,,,,-0.0807451,-0.0571883,-0.0235568,,,,2000,1,1,2000-01,False
2000-01-13,BPCL,5.07654,5.07654,4.98302,5.0231,55128,-0.5291,,,,,-0.0826651,-0.0622837,-0.0203815,,,,2000,1,1,2000-01,False
2000-01-14,BPCL,5.04982,5.10326,4.98303,5.00173,452544,-0.4254,,,,,-0.0849321,-0.0668133,-0.0181188,,,,2000,1,1,2000-01,False
2000-01-17,BPCL,5.06318,5.06318,4.96966,5.0211,3204912,0.3873,,,,,-0.0841951,-0.0702897,-0.0139054,,,,2000,1,1,2000-01,False
2000-01-18,BPCL,5.00974,5.23618,4.98436,5.08656,947544,1.3037,,,,,-0.0774364,-0.071719,-0.00571734,,,,2000,1,1,2000-01,False
