Date,Ticker,Open,High,Low,Close,Volume,Daily_Return_Pct,MA20,MA50,MA200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,Year,Month,Quarter,Year_Month,Price_Repaired
2000-01-03,BRITANNIA,48.849,52.6253,48.849,52.4451,75120,,,,,,0.0,0.0,0.0,,,,2000,1,1,2000-01,False
2000-01-04,BRITANNIA,49.1955,53.3528,49.1955,52.2823,81350,-0.3105,,,,,-0.0129887,-0.00259774,-0.010391,,,,2000,1,1,2000-01,False
2000-01-05,BRITANNIA,52.3135,52.5906,48.849,50.9485,60950,-2.5512,,,,,-0.129419,-0.0279619,-0.101457,,,,2000,1,1,2000-01,False
2000-01-06,BRITANNIA,51.2741,55.0262,51.2741,54.4372,196970,6.8476,,,,,0.0591389,-0.0105418,0.0696807,,,,2000,1,1,2000-01,False
2000-01-07,BRITANNIA,55.9858,58.792,55.2929,58.792,331070,7.9997,,,,,0.553588,0.102284,0.451304,,,,2000,1,1,2000-01,False
2000-01-10,BRITANNIA,62.3604,63.4968,59.9353,63.2058,295750,7.5074,,,,,1.28676,0.33918,0.947583,,,,2000,1,1,2000-01,False
2000-01-11,BRITANNIA,63.7462,63.7462,58.1511,59.1558,206350,-6.4076,,,,,1.52345,0.576034,0.947416,,,,2000,1,1,2000-01,False
2000-01-12,BRITANNIA,62.3604,62.3604,59.627,61.1617,93120,3.3909,,,,,1.85154,0.831136,1.02041,,,,2000,1,1,2000-01,False
2000-01-13,BRITANNIA,61.6675,63.7462,60.6282,61.0716,195260,-0.1473,,,,,2.08031,1.08097,0.999339,,,,2000,1,1,2000-01,False
2000-01-14,BRITANNIA,60.455,60.9746,59.866,60.2575,156750,-1.3331,,,,,2.17089,1.29895,0.871934,,,,2000,1,1,2000-01,False
2000-01-17,BRITANNIA,60.9746,61.6675,60.2817,60.694,71250,0.7245,,,,,2.25194,1.48955,0.762387,,,,2000,1,1,2000-01,False
2000-01-18,BRITANNIA,60.2887,62.2911,60.1432,61.0474,125260,0.5822,,,,,2.31797,1.65523,0.662732,,,,2000,1,1,2000-01,False
2000-01-19,BRITANNIA,61.5983,63.1226,61.5983,62.4193,141080,2.2473,,,,,2.45272,1.81473,0.637992,,,,2000,1,1,2000-01,False
2000-01-20,BRITANNIA,62.8455,63.7393,61.9135,62.0625,56710,-0.5717,,,,,2.50189,1.95216,0.549723,,,,2000,1,1,2000-01,False
2000-01-21,BRITANNIA,62.2149,62.2149,61.3384,61.5463,18880,-0.8318,,,,69.1611,2.47071,2.05587,0.414839,,,,2000,1,1,2000-01,False
2000-01-24,BRITANNIA,60.9746,62.014,58.9653,61.3038,63510,-0.394,,,,68.4088,2.39879,2.12446,0.274331,,,,2000,1,1,2000-01,False
