Date,Ticker,Open,High,Low,Close,Volume,Daily_Return_Pct,MA20,MA50,MA200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,Year,Month,Quarter,Year_Month,Price_Repaired
2000-01-03,CIPLA,92.8609,95.9794,90.8885,95.9794,263250,,,,,,0.0,0.0,0.0,,,,2000,1,1,2000-01,False
2000-01-04,CIPLA,101.225,101.225,94.1781,96.4997,377687,0.5421,,,,,0.0415054,0.00830108,0.0332043,,,,2000,1,1,2000-01,False
2000-01-05,CIPLA,97.0759,97.0759,89.8973,94.5107,422487,-2.0611,,,,,-0.0851158,-0.0103823,-0.0747335,,,,2000,1,1,2000-01,False
2000-01-06,CIPLA,94.4416,94.5074,88.8435,89.2947,413537,-5.519,,,,,-0.599442,-0.128194,-0.471247,,,,2000,1,1,2000-01,False
2000-01-07,CIPLA,90.2266,91.5372,82.1523,82.1622,831700,-7.9876,,,,,-1.56455,-0.415465,-1.14908,,,,2000,1,1,2000-01,False
2000-01-10,CIPLA,84.8262,85.5506,78.4379,79.4192,1323900,-3.3385,,,,,-2.52167,-0.836705,-1.68496,,,,2000,1,1,2000-01,False
2000-01-11,CIPLA,80.6771,80.6771,73.0671,73.3832,2337187,-7.6002,,,,,-3.72432,-1.41423,-2.31009,,,,2000,1,1,2000-01,False
2000-01-12,CIPLA,78.0427,79.2545,78.0427,79.2545,92700,8.0009,,,,,-4.15576,-1.96253,-2.19322,,,,2000,1,1,2000-01,False
2000-01-13,CIPLA,85.5967,85.5967,84.3783,85.4222,1129737,7.7821,,,,,-3.95441,-2.36091,-1.5935,,,,2000,1,1,2000-01,False
2000-01-14,CIPLA,85.5506,85.9161,80.3478,84.3454,884112,-1.2606,,,,,-3.83749,-2.65622,-1.18127,,,,2000,1,1,2000-01,False
2000-01-17,CIPLA,87.9216,88.2509,82.3334,83.644,686725,-0.8316,,,,,-3.75811,-2.8766,-0.881507,,,,2000,1,1,2000-01,False
2000-01-18,CIPLA,85.2213,85.2213,79.0306,80.3577,646137,-3.9289,,,,,-3.91524,-3.08433,-0.830913,,,,2000,1,1,2000-01,False
2000-01-19,CIPLA,77.3841,80.3412,74.5522,79.2842,1658362,-1.3359,,,,,-4.07937,-3.28334,-0.796032,,,,2000,1,1,2000-01,False
2000-01-20,CIPLA,79.3599,80.5453,79.0965,79.6102,557525,0.4112,,,,,-4.13547,-3.45376,-0.681703,,,,2000,1,1,2000-01,False
2000-01-21,CIPLA,79.6892,79.6892,76.3963,79.1031,539600,-0.637,,,,30.2139,-4.17274,-3.59756,-0.575182,,,,2000,1,1,2000-01,False
2000-01-24,CIPLA,80.2161,80.6046,78.0427,79.8209,849125,0.9074,,,,31.4563,-4.09713,-3.69747,-0.399658,,,,2000,1,1,2000-01,False
2000-01-25,CIPLA,78.7013,79.5575,77.4533,78.6552,823137,-1.4604,,,,30.5065,-4.08419,-3.77482,-0.309375,,,,2000,1,1,2000-01,False
2000-01-26,CIPLA,78.6552,78.6552,78.6552,78.6552,0,0.0,,,,30.5065,-4.02751,-3.82536,-0.202156,,,,2000,1,1,2000-01,False
2000-01-27,CIPLA,80.6771,80.6771,78.0427,78.3918,419362,-0.3349,,,,30.267,-3.95822,-3.85193,-0.10629,,,,2000,1,1,2000-01,False
2000-01-28,CIPLA,79.6892,80.0185,77.1207,77.9604,322925,-0.5503,82.7877,,,29.8536,-3.89323,-3.86019,-0.0330445,95.7005,69.8749,31.1949,2000,1,1,2000-01,False
2000-01-31,CIPLA,76.528,78.0361,76.067,77.259,380912,-0.8997,81.8517,,,29.1563,-3.85391,-3.85893,0.00502734,93.3777,70.3256,28.1632,2000,1,1,2000-01,False
2000-02-01,CIPLA,78.0427,81.1381,76.3962,80.3148,716700,3.9553,81.0424,,,36.153,-3.53541,-3.79423,0.258822,90.2846,71.8003,22.8082,2000,2,1,2000-02,False
2000-02-02,CIPLA,82.2577,85.2872,81.665,83.6967,844312,4.2108,80.5017,,,42.8769,-2.9758,-3.63054,0.654743,87.3924,73.611,17.1194,2000,2,1,2000-02,False
2000-02-03,CIPLA,84.8921,85.5474,81.3357,81.8889,363850,-2.1599,80.1314,,,40.4261,-2.64766,-3.43396,0.786306,85.7021,74.5608,13.9038,2000,2,1,2000-02,False
2000-02-04,CIPLA,81.9942,82.3235,78.777,80.0942,378600,-2.1916,80.028,,,38.0979,-2.50356,-3.24788,0.744321,85.5162,74.5399,13.7155,2000,2,1,2000-02,False
2000-02-07,CIPLA,80.3478,81.9943,78.7013,80.4005,988425,0.3824,80.0771,,,38.7462,-2.3377,-3.06585,0.728144,85.5599,74.5944,13.6937,2000,2,1,2000-02,False
2000-02-08,CIPLA,79.0965,81.3027,78.0592,79.4027,842075,-1.241,80.3781,,,37.3729,-2.26071,-2.90482,0.644108,84.8882,75.8679,11.2224,2000,2,1,2000-02,False
2000-02-09,CIPLA,81.3357,83.3114,79.7551,80.226,361762,1.0369,80.4267,,,39.2851,-2.10895,-2.74565,0.636695,84.9067,75.9466,11.1407,2000,2,1,2000-02,False
2000-02-10,CIPLA,79.0306,79.8209,78.0427,78.8725,356587,-1.6871,80.0992,,,37.2704,-2.07399,-2.61132,0.537326,83.9558,76.2425,9.6297,2000,2,1,2000-02,False
2000-02-11,CIPLA,79.0306,79.0306,75.7377,76.7683,282500,-2.6679,79.7203,,,34.3233,-2.19082,-2.52722,0.336397,83.2993,76.1413,8.9789,2000,2,1,2000-02,False
2000-02-14,CIPLA,76.067,76.989,72.4447,75.899,710225,-1.1324,79.3331,,,33.1569,-2.32673,-2.48712,0.160388,82.7988,75.8674,8.7371,2000,2,1,2000-02,False
2000-02-15,CIPLA,74.4863,76.3304,73.7619,75.8562,457162,-0.0564,79.108,,,33.0972,-2.41011,-2.47172,0.0616047,82.8659,75.3501,9.5006,2000,2,1,2000-02,False
2000-02-16,CIPLA,76.7255,77.7134,75.7377,76.7091,154250,1.1244,78.9792,,,35.5837,-2.37994,-2.45336,0.0734239,82.8852,75.0732,9.8912,2000,2,1,2000-02,False
2000-02-17,CIPLA,78.6354,82.8471,76.2645,82.8405,851725,7.9931,79.1407,,,49.9771,-1.84006,-2.3307,0.490641,83.4071,74.8744,10.7817,2000,2,1,2000-02,False
2000-02-18,CIPLA,84.8723,84.8723,78.0427,79.1063,993825,-4.5077,79.1409,,,43.5891,-1.694,-2.20336,0.509366,83.4073,74.8745,10.7817,2000,2,1,2000-02,False
2000-02-21,CIPLA,80.0185,81.5333,75.0791,76.8375,626987,-2.868,78.9917,,,40.2249,-1.74124,-2.11094,0.369698,83.3653,74.6182,11.0734,2000,2,1,2000-02,False
2000-02-22,CIPLA,76.3963,77.7134,73.1692,74.2065,722987,-3.4241,78.7693,,,36.6887,-1.96829,-2.08241,0.114117,83.6393,73.8994,12.3651,2000,2,1,2000-02,False
2000-02-23,CIPLA,77.3183,79.0306,74.7498,75.2997,484537,1.4732,78.6015,,,39.085,-2.03654,-2.07323,0.0366928,83.7132,73.4898,13.0066,2000,2,1,2000-02,False
2000-02-24,CIPLA,74.7498,76.989,74.7498,75.708,259287,0.5422,78.4673,,,39.9984,-2.03424,-2.06543,0.031199,83.7406,73.1941,13.4406,2000,2,1,2000-02,False
2000-02-25,CIPLA,75.0725,75.4084,73.7619,74.7333,176137,-1.2874,78.306,,,38.5137,-2.087,-2.06975,-0.0172528,83.8358,72.7762,14.1236,2000,2,1,2000-02,False
2000-02-28,CIPLA,72.4447,80.6112,72.4447,78.731,701887,5.3493,78.3796,,,47.1747,-1.78565,-2.01293,0.227276,83.8899,72.8693,14.0605,2000,2,1,2000-02,False
2000-02-29,CIPLA,79.4258,82.9821,72.4381,75.7047,977200,-3.8438,78.1491,,,42.3154,-1.77062,-1.96447,0.193848,83.704,72.5941,14.2163,2000,2,1,2000-02,False
2000-03-01,CIPLA,74.7498,74.7498,69.649,69.649,412500,-7.9991,77.4467,,,34.6287,-2.22174,-2.01592,-0.205817,83.5714,71.322,15.8165,2000,3,1,2000-03,False
2000-03-02,CIPLA,66.0333,67.5711,64.0773,64.0773,531737,-7.9997,76.5561,,,29.3466,-2.99432,-2.2116,-0.782724,84.7809,68.3313,21.487,2000,3,1,2000-03,False
2000-03-03,CIPLA,58.9535,63.5538,58.9535,58.9535,622562,-7.9963,75.4991,,,25.4952,-3.97424,-2.56413,-1.41011,86.7035,64.2946,29.681,2000,3,1,2000-03,False
2000-03-06,CIPLA,57.6923,62.5659,57.363,61.2257,1021712,3.8542,74.5403,,,29.8894,-4.51543,-2.95439,-1.56104,87.1698,61.9109,33.8861,2000,3,1,2000-03,False
2000-03-07,CIPLA,63.0269,63.0269,58.6144,60.8997,1008325,-0.5325,73.6152,,,29.6195,-4.91399,-3.34631,-1.56768,87.4026,59.8278,37.4581,2000,3,1,2000-03,False
2000-03-08,CIPLA,62.5,64.6734,59.2664,61.0775,566037,0.292,72.6578,,,29.9909,-5.15607,-3.70826,-1.44781,87.1535,58.162,39.9014,2000,3,1,2000-03,False
2000-03-09,CIPLA,61.1829,62.2366,57.9558,59.3652,338200,-2.8035,71.6824,,,28.4349,-5.42357,-4.05132,-1.37224,87.0182,56.3466,42.7883,2000,3,1,2000-03,False
2000-03-10,CIPLA,62.8952,64.1169,59.2729,64.1169,541850,8.0042,71.0498,77.5135,,38.0414,-5.19229,-4.27952,-0.912769,86.5452,55.5544,43.6184,2000,3,1,2000-03,False
2000-03-13,CIPLA,65.2002,69.2473,65.0685,69.2473,217175,8.0016,70.7172,76.9788,,46.4064,-4.54265,-4.33214,-0.210505,86.0592,55.3753,43.3895,2000,3,1,2000-03,False
2000-03-14,CIPLA,69.8104,74.7893,65.2002,74.7893,736800,8.0032,70.6639,76.5446,,53.6812,-3.53981,-4.17368,0.633869,85.9379,55.3899,43.2299,2000,3,1,2000-03,False
2000-03-15,CIPLA,80.6112,80.7726,74.0912,75.764,1182862,1.3033,70.6166,76.1697,,54.8422,-2.63601,-3.86614,1.23013,85.8175,55.4157,43.0519,2000,3,1,2000-03,False
2000-03-16,CIPLA,77.3841,77.3841,69.8104,70.0244,382437,-7.5756,69.9758,75.7843,,47.3205,-2.35573,-3.56406,1.20833,84.0455,55.9062,40.2128,2000,3,1,2000-03,False
2000-03-17,CIPLA,70.0244,70.0244,70.0244,70.0244,0,0.0,69.5217,75.5415,,47.3205,-2.10929,-3.27311,1.16382,82.9209,56.1226,38.5466,2000,3,1,2000-03,False
2000-03-20,CIPLA,70.0244,70.0244,70.0244,70.0244,0,0.0,69.1811,75.3536,,47.3205,-1.89217,-2.99692,1.10475,82.1361,56.226,37.4526,2000,3,1,2000-03,False
2000-03-21,CIPLA,72.3789,75.629,69.0859,74.7597,972500,6.7624,69.2087,75.3812,,53.8436,-1.32276,-2.66209,1.33933,82.2113,56.2062,37.5748,2000,3,1,2000-03,False
2000-03-22,CIPLA,75.8035,78.0427,73.7619,76.9165,723087,2.885,69.2896,75.3344,,56.4865,-0.689511,-2.26757,1.57806,82.4704,56.1087,38.0457,2000,3,1,2000-03,False
2000-03-23,CIPLA,76.067,77.7134,73.8278,76.7354,425475,-0.2355,69.341,75.1607,,56.1955,-0.199965,-1.85405,1.65409,82.6347,56.0473,38.343,2000,3,1,2000-03,False
2000-03-24,CIPLA,74.4336,76.989,71.5227,73.64,264500,-4.0339,69.2863,74.9466,,51.3287,-0.0610649,-1.49545,1.43439,82.4953,56.0772,38.1289,2000,3,1,2000-03,False
2000-03-27,CIPLA,74.4205,74.5522,67.7687,70.1002,310387,-4.8069,68.8548,74.6757,,46.3818,-0.233922,-1.24315,1.00923,81.3069,56.4027,36.1692,2000,3,1,2000-03,False
2000-03-28,CIPLA,68.4932,70.4327,65.8588,67.6765,309850,-3.4575,68.4533,74.4221,,43.3043,-0.560029,-1.10652,0.546495,80.4862,56.4205,35.1565,2000,3,1,2000-03,False
2000-03-29,CIPLA,71.5886,72.1154,68.1639,69.0464,335575,2.0242,68.4232,74.2173,,45.5052,-0.699864,-1.02519,0.325328,80.4465,56.3999,35.1439,2000,3,1,2000-03,False
2000-03-30,CIPLA,67.311,70.4031,66.5833,69.2045,375862,0.229,68.6796,74.0092,,45.7668,-0.788833,-0.97792,0.189086,80.5301,56.829,34.5096,2000,3,1,2000-03,False
2000-03-31,CIPLA,70.7983,74.7432,67.5053,74.6411,894312,7.8558,69.464,73.92,,53.9543,-0.41586,-0.865508,0.449647,80.6627,58.2652,32.2433,2000,3,1,2000-03,False
2000-04-03,CIPLA,78.0262,81.0076,75.5114,79.4888,1740437,6.4947,70.3771,73.9133,,59.7844,0.267805,-0.638845,0.90665,81.7248,59.0294,32.2482,2000,4,2,2000-04,False
