Date,Ticker,Open,High,Low,Close,Volume,Daily_Return_Pct,MA20,MA50,MA200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,Year,Month,Quarter,Year_Month,Price_Repaired
2010-11-04,COALINDIA,95.4634,113.145,95.4634,112.374,479716245,,,,,,0.0,0.0,0.0,,,,2010,11,4,2010-11,False
2010-11-08,COALINDIA,115.409,116.754,108.093,108.503,46932779,-3.4447,,,,,-0.308799,-0.0617597,-0.247039,,,,2010,11,4,2010-11,False
2010-11-09,COALINDIA,108.307,109.373,106.617,106.962,23741956,-1.421,,,,,-0.670214,-0.183451,-0.486764,,,,2010,11,4,2010-11,False
2010-11-10,COALINDIA,106.748,107.536,104.993,105.895,21057129,-0.9968,,,,,-1.03079,-0.352918,-0.67787,,,,2010,11,4,2010-11,False
2010-11-11,COALINDIA,105.961,110.537,105.584,107.782,26548372,1.7813,,,,,-1.15107,-0.512548,-0.63852,,,,2010,11,4,2010-11,False
2010-11-12,COALINDIA,108.257,109.225,104.321,105.026,15004107,-2.5567,,,,,-1.45201,-0.70044,-0.751569,,,,2010,11,4,2010-11,False
2010-11-15,COALINDIA,105.371,105.928,103.353,104.058,9917395,-0.9215,,,,,-1.74844,-0.910041,-0.838403,,,,2010,11,4,2010-11,False
2010-11-16,COALINDIA,104.977,106.273,103.697,104.337,12100114,0.268,,,,,-1.93852,-1.11574,-0.822784,,,,2010,11,4,2010-11,False
2010-11-18,COALINDIA,104.846,107.913,101.696,107.24,23983896,2.7826,,,,,-1.83375,-1.25934,-0.574412,,,,2010,11,4,2010-11,False
2010-11-19,COALINDIA,108.339,111.522,107.634,109.422,51723739,2.0343,,,,,-1.55674,-1.31882,-0.237923,,,,2010,11,4,2010-11,False
2010-11-22,COALINDIA,110.226,110.554,103.337,109.356,11494521,-0.0599,,,,,-1.32721,-1.3205,-0.00670785,,,,2010,11,4,2010-11,False
2010-11-23,COALINDIA,108.421,109.045,104.157,105.026,13147667,-3.9598,,,,,-1.47768,-1.35193,-0.125747,,,,2010,11,4,2010-11,False
2010-11-24,COALINDIA,108.044,108.044,101.696,101.959,16243562,-2.9205,,,,,-1.82342,-1.44623,-0.377191,,,,2010,11,4,2010-11,False
2010-11-25,COALINDIA,103.009,104.436,102.057,102.746,6489260,0.7722,,,,,-2.01071,-1.55913,-0.451586,,,,2010,11,4,2010-11,False
2010-11-26,COALINDIA,103.337,103.665,98.7439,102.582,13657322,-0.1596,,,,31.0717,-2.14762,-1.67683,-0.470796,,,,2010,11,4,2010-11,False
2010-11-29,COALINDIA,102.156,104.878,101.106,104.14,6493219,1.519,,,,35.271,-2.10611,-1.76268,-0.343423,,,,2010,11,4,2010-11,False
2010-11-30,COALINDIA,103.337,104.649,102.352,104.075,6050064,-0.063,,,,35.1738,-2.05481,-1.82111,-0.233705,,,,2010,11,4,2010-11,False
2010-12-01,COALINDIA,103.993,105.797,103.337,105.288,5053942,1.1662,,,,38.5466,-1.89439,-1.83577,-0.0586222,,,,2010,12,4,2010-12,False
2010-12-02,COALINDIA,105.699,106.929,105.354,106.568,6143344,1.2152,,,,41.9738,-1.64504,-1.79762,0.152577,,,,2010,12,4,2010-12,False
2010-12-03,COALINDIA,104.354,106.847,104.354,105.617,2453815,-0.8927,105.948,,,40.1794,-1.50683,-1.73946,0.232629,111.192,100.703,9.9001,2010,12,4,2010-12,False
2010-12-06,COALINDIA,105.305,106.584,104.485,105.108,2895539,-0.4814,105.585,,,39.2146,-1.42194,-1.67596,0.254018,109.874,101.295,8.1257,2010,12,4,2010-12,False
2010-12-07,COALINDIA,105.141,105.879,104.075,104.977,3484977,-0.1248,105.408,,,38.9546,-1.34969,-1.61071,0.261014,109.477,101.339,7.7201,2010,12,4,2010-12,False
2010-12-08,COALINDIA,104.518,105.863,104.075,104.6,2877153,-0.3594,105.29,,,38.171,-1.3078,-1.55012,0.242324,109.306,101.274,7.628,2010,12,4,2010-12,False
2010-12-09,COALINDIA,104.321,104.977,101.368,102.746,5313081,-1.772,105.133,,,34.4994,-1.40793,-1.52169,0.113753,109.293,100.972,7.9142,2010,12,4,2010-12,False
2010-12-10,COALINDIA,102.352,105.633,102.352,104.091,5799900,1.309,104.948,,,39.0787,-1.36305,-1.48996,0.12691,108.938,100.959,7.6025,2010,12,4,2010-12,False
2010-12-13,COALINDIA,104.321,106.404,103.993,106.01,2809522,1.8437,104.997,,,44.9885,-1.15926,-1.42382,0.264562,109.015,100.98,7.6527,2010,12,4,2010-12,False
2010-12-14,COALINDIA,106.437,108.585,105.879,106.716,7075931,0.6653,105.13,,,47.0226,-0.930115,-1.32508,0.394963,109.193,101.068,7.7282,2010,12,4,2010-12,False
2010-12-15,COALINDIA,106.814,108.257,105.961,107.552,5380352,0.7839,105.291,,,49.4118,-0.673256,-1.19471,0.521458,109.474,101.108,7.9453,2010,12,4,2010-12,False
2010-12-16,COALINDIA,107.191,107.273,104.124,105.207,2893052,-2.1809,105.189,,,43.4896,-0.651451,-1.08606,0.43461,109.27,101.108,7.7592,2010,12,4,2010-12,False
2010-12-20,COALINDIA,105.961,105.961,103.353,103.665,2905355,-1.4656,104.901,,,40.0882,-0.74994,-1.01884,0.268896,108.51,101.293,6.8802,2010,12,4,2010-12,False
2010-12-21,COALINDIA,104.583,104.583,102.09,102.779,4427901,-0.8544,104.573,,,38.238,-0.889216,-0.992913,0.103697,107.628,101.517,5.8442,2010,12,4,2010-12,False
2010-12-22,COALINDIA,103.369,104.878,102.582,103.025,5425074,0.2394,104.472,,,39.0792,-0.968572,-0.988045,0.0194722,107.596,101.349,5.9796,2010,12,4,2010-12,False
2010-12-23,COALINDIA,103.353,103.648,102.352,102.664,3326534,-0.3503,104.508,,,38.2563,-1.0485,-1.00014,-0.0483615,107.526,101.49,5.7759,2010,12,4,2010-12,False
2010-12-24,COALINDIA,102.68,102.976,101.729,102.402,1859093,-0.2557,104.491,,,37.6355,-1.1201,-1.02413,-0.0959751,107.555,101.426,5.8648,2010,12,4,2010-12,False
2010-12-27,COALINDIA,102.402,103.107,100.548,100.811,5273320,-1.5537,104.402,,,34.0307,-1.29036,-1.07738,-0.212988,107.784,101.02,6.4793,2010,12,4,2010-12,False
2010-12-28,COALINDIA,101.04,101.68,98.7439,99.646,8055446,-1.1552,104.177,,,31.6418,-1.50195,-1.16229,-0.339662,108.174,100.18,7.6731,2010,12,4,2010-12,False
2010-12-29,COALINDIA,100.417,102.156,99.8264,101.778,5772875,2.1399,104.062,,,39.9537,-1.48051,-1.22594,-0.254575,108.201,99.9238,7.9541,2010,12,4,2010-12,False
2010-12-30,COALINDIA,102.024,102.221,100.712,101.057,2643251,-0.7091,103.851,,,38.258,-1.50441,-1.28163,-0.222782,108.155,99.5467,8.289,2010,12,4,2010-12,False
2010-12-31,COALINDIA,101.532,103.812,101.139,103.255,4960987,2.175,103.685,,,45.8019,-1.33066,-1.29144,-0.0392208,107.8,99.5705,7.9368,2010,12,4,2010-12,False
2011-01-03,COALINDIA,103.501,104.321,103.189,104.091,2929118,0.8101,103.609,,,48.3865,-1.11263,-1.25567,0.143044,107.628,99.5895,7.7587,2011,1,1,2011-01,False
2011-01-04,COALINDIA,104.616,104.977,103.681,104.714,2716995,0.5988,103.589,,,50.289,-0.879408,-1.18042,0.301014,107.581,99.597,7.7078,2011,1,1,2011-01,False
2011-01-05,COALINDIA,104.977,104.977,101.122,101.631,8555905,-2.9449,103.422,,,42.0344,-0.932658,-1.13087,0.19821,107.45,99.3943,7.7888,2011,1,1,2011-01,False
2011-01-06,COALINDIA,102.024,102.681,101.204,101.401,2763146,-0.2259,103.262,,,41.4884,-0.982065,-1.10111,0.119043,107.346,99.1776,7.9107,2011,1,1,2011-01,False
2011-01-07,COALINDIA,101.696,102.845,99.1211,101.401,2298583,0.0,103.195,,,41.4884,-1.00958,-1.0828,0.0732202,107.358,99.0311,8.0695,2011,1,1,2011-01,False
2011-01-10,COALINDIA,101.664,101.696,99.1047,100.105,5413595,-1.2779,102.995,,,38.2371,-1.12301,-1.09084,-0.032164,107.355,98.6355,8.4662,2011,1,1,2011-01,False
2011-01-11,COALINDIA,100.384,102.664,100.384,101.385,2781948,1.2781,102.764,,,42.9877,-1.09701,-1.09208,-0.00493562,106.937,98.5909,8.1221,2011,1,1,2011-01,False
2011-01-12,COALINDIA,101.664,102.648,100.466,101.204,1181115,-0.178,102.489,,,42.4913,-1.07854,-1.08937,0.0108302,106.273,98.7042,7.3851,2011,1,1,2011-01,False
2011-01-13,COALINDIA,101.5,102.992,100.876,101.844,2070696,0.6321,102.203,,,44.9196,-1.00074,-1.07165,0.0709004,105.147,99.2589,5.7616,2011,1,1,2011-01,False
2011-01-14,COALINDIA,101.844,103.501,101.024,101.86,2244505,0.0161,102.036,,,44.9837,-0.927082,-1.04273,0.11565,104.62,99.452,5.0648,2011,1,1,2011-01,False
2011-01-17,COALINDIA,100.794,103.009,100.45,102.73,1707118,0.8535,101.989,104.188,,48.413,-0.789453,-0.992077,0.202623,104.481,99.4971,4.8869,2011,1,1,2011-01,False
2011-01-18,COALINDIA,102.845,102.992,101.04,102.074,844507,-0.6387,101.954,103.982,,46.0786,-0.724968,-0.938655,0.213687,104.419,99.4891,4.8351,2011,1,1,2011-01,False
2011-01-19,COALINDIA,102.024,102.582,101.024,101.5,1426048,-0.5624,101.878,103.842,,44.076,-0.711979,-0.89332,0.181341,104.297,99.4584,4.7493,2011,1,1,2011-01,False
2011-01-20,COALINDIA,101.303,104.714,101.073,103.566,6121175,2.0362,101.923,103.774,,52.1401,-0.52882,-0.82042,0.291599,104.436,99.4099,4.9308,2011,1,1,2011-01,False
2011-01-21,COALINDIA,103.812,103.812,102.352,103.058,2413133,-0.491,101.956,103.717,,50.2213,-0.419859,-0.740308,0.320449,104.511,99.3996,5.0138,2011,1,1,2011-01,False
2011-01-24,COALINDIA,103.304,103.304,101.368,101.844,1097986,-1.1778,102.007,103.599,,45.8809,-0.426531,-0.677552,0.251021,104.507,99.5076,4.9009,2011,1,1,2011-01,False
