Date,Ticker,Open,High,Low,Close,Volume,Daily_Return_Pct,MA20,MA50,MA200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,Year,Month,Quarter,Year_Month,Price_Repaired
2000-01-03,DRREDDY,64.3324,64.4713,64.3324,64.4713,265600,,,,,,0.0,0.0,0.0,,,,2000,1,1,2000-01,False
2000-01-04,DRREDDY,67.9658,69.6308,64.5461,69.6308,1142840,8.0028,,,,,0.411584,0.0823168,0.329267,,,,2000,1,1,2000-01,False
2000-01-05,DRREDDY,66.2132,70.5305,64.0759,67.0275,2393940,-3.7387,,,,,0.521689,0.170191,0.351498,,,,2000,1,1,2000-01,False
2000-01-06,DRREDDY,68.3505,72.39,67.1536,71.0243,2439320,5.9629,,,,,0.920842,0.320321,0.60052,,,,2000,1,1,2000-01,False
2000-01-07,DRREDDY,72.0266,72.0266,65.3433,65.3626,1592820,-7.9715,,,,,0.771428,0.410543,0.360886,,,,2000,1,1,2000-01,False
2000-01-10,DRREDDY,66.6834,66.6834,60.1647,64.2854,1252240,-1.648,,,,,0.559645,0.440363,0.119282,,,,2000,1,1,2000-01,False
2000-01-11,DRREDDY,64.6316,65.3583,59.1602,61.836,1783680,-3.8102,,,,,0.191947,0.39068,-0.198733,,,,2000,1,1,2000-01,False
2000-01-12,DRREDDY,62.4088,65.8285,62.4088,63.7297,632220,3.0625,,,,,0.0527407,0.323092,-0.270351,,,,2000,1,1,2000-01,False
2000-01-13,DRREDDY,63.4775,66.0422,62.4516,63.1547,795060,-0.9022,,,,,-0.102794,0.237915,-0.340709,,,,2000,1,1,2000-01,False
2000-01-14,DRREDDY,62.8384,64.5461,60.357,62.9859,925440,-0.2673,,,,,-0.236945,0.142943,-0.379888,,,,2000,1,1,2000-01,False
2000-01-17,DRREDDY,64.7599,67.1109,63.9049,64.4927,1355000,2.3923,,,,,-0.219149,0.0705245,-0.289674,,,,2000,1,1,2000-01,False
2000-01-18,DRREDDY,63.05,63.05,61.1713,61.9963,880160,-3.8708,,,,,-0.401852,-0.0239508,-0.377901,,,,2000,1,1,2000-01,False
2000-01-19,DRREDDY,63.6912,66.957,62.6226,66.957,1548600,8.0016,,,,,-0.14469,-0.0480986,-0.0965913,,,,2000,1,1,2000-01,False
2000-01-20,DRREDDY,68.3933,70.5199,64.762,65.7024,4506380,-1.8737,,,,,-0.041643,-0.0468075,0.00516444,,,,2000,1,1,2000-01,False
2000-01-21,DRREDDY,67.5383,67.5383,65.4011,66.3201,1158220,0.9401,,,,52.6855,0.0888415,-0.0196777,0.108519,,,,2000,1,1,2000-01,False
2000-01-24,DRREDDY,67.5383,67.9658,64.5504,65.0163,1093040,-1.9659,,,,50.6207,0.0860536,0.00146858,0.0845851,,,,2000,1,1,2000-01,False
2000-01-25,DRREDDY,63.2638,64.9308,61.7677,62.146,1548780,-4.4147,,,,46.317,-0.146081,-0.0280413,-0.11804,,,,2000,1,1,2000-01,False
2000-01-26,DRREDDY,62.146,62.146,62.146,62.146,0,0.0,,,,46.317,-0.326288,-0.0876907,-0.238597,,,,2000,1,1,2000-01,False
2000-01-27,DRREDDY,63.4775,66.2132,62.4088,62.8513,2289540,1.1349,,,,47.5869,-0.407494,-0.151651,-0.255843,,,,2000,1,1,2000-01,False
2000-01-28,DRREDDY,63.4348,63.7767,60.2716,61.0795,1578020,-2.819,64.6108,,,44.7246,-0.607814,-0.242884,-0.36493,69.8513,59.3703,16.2218,2000,1,1,2000-01,False
2000-01-31,DRREDDY,61.5539,61.9814,57.7068,58.4249,785820,-4.3461,64.3085,,,40.7681,-0.969596,-0.388226,-0.581369,70.2355,58.3814,18.4332,2000,1,1,2000-01,False
2000-02-01,DRREDDY,57.7068,60.6563,56.9801,59.8548,1761500,2.4474,63.8197,,,43.6593,-1.12793,-0.536167,-0.591761,69.5062,58.1332,17.8205,2000,2,1,2000-02,False
2000-02-02,DRREDDY,62.3661,64.6444,61.9814,63.9477,2080060,6.838,63.6657,,,51.0278,-0.912624,-0.611458,-0.301166,69.1496,58.1818,17.2272,2000,2,1,2000-02,False
2000-02-03,DRREDDY,64.5461,65.6062,63.2637,63.7062,714920,-0.3777,63.2998,,,50.6073,-0.752803,-0.639727,-0.113076,67.5554,59.0442,13.4458,2000,2,1,2000-02,False
