Date,Ticker,Open,High,Low,Close,Volume,Daily_Return_Pct,MA20,MA50,MA200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,Year,Month,Quarter,Year_Month,Price_Repaired
2000-01-03,EICHERMOT,2.90162,2.953,2.90162,2.953,41000,,,,,,0.0,0.0,0.0,,,,2000,1,1,2000-01,False
2000-01-04,EICHERMOT,3.14342,3.18876,3.03159,3.10715,491000,5.2201,,,,,0.0122969,0.00245937,0.00983749,,,,2000,1,1,2000-01,False
2000-01-05,EICHERMOT,3.32477,3.35802,3.08599,3.35802,478000,8.074,,,,,0.0418034,0.0103282,0.0314753,,,,2000,1,1,2000-01,False
2000-01-06,EICHERMOT,3.61191,3.62702,3.46381,3.62702,1062000,8.0107,,,,,0.0859034,0.0254432,0.0604602,,,,2000,1,1,2000-01,False
2000-01-07,EICHERMOT,3.86883,3.91719,3.63307,3.90812,1155000,7.7502,,,,,0.1419,0.0487345,0.0931652,,,,2000,1,1,2000-01,False
2000-01-10,EICHERMOT,4.1076,4.14085,3.7177,3.9595,1071000,1.3147,,,,,0.188253,0.0766382,0.111615,,,,2000,1,1,2000-01,False
2000-01-11,EICHERMOT,3.79629,3.86883,3.64516,3.72375,1077000,-5.954,,,,,0.203618,0.102034,0.101584,,,,2000,1,1,2000-01,False
2000-01-12,EICHERMOT,3.74792,3.94439,3.69654,3.8658,622000,3.8147,,,,,0.224667,0.126561,0.0981066,,,,2000,1,1,2000-01,False
2000-01-13,EICHERMOT,3.92928,3.98973,3.65423,3.70259,833000,-4.2219,,,,,0.225579,0.146365,0.0792147,,,,2000,1,1,2000-01,False
2000-01-14,EICHERMOT,3.92323,3.92625,3.64516,3.76908,361000,1.7958,,,,,0.229027,0.162897,0.0661299,,,,2000,1,1,2000-01,False
2000-01-17,EICHERMOT,3.86883,4.07133,3.86883,3.94439,1141000,4.6513,,,,,0.243103,0.178938,0.0641647,,,,2000,1,1,2000-01,False
2000-01-18,EICHERMOT,3.96252,4.01995,3.77815,3.96252,756000,0.4596,,,,,0.252807,0.193712,0.0590951,,,,2000,1,1,2000-01,False
2000-01-19,EICHERMOT,4.05018,4.0804,3.87487,3.99275,581000,0.7629,,,,,0.25994,0.206958,0.0529828,,,,2000,1,1,2000-01,False
2000-01-20,EICHERMOT,3.98973,4.05018,3.72374,3.77211,309000,-5.526,,,,,0.244966,0.214559,0.0304068,,,,2000,1,1,2000-01,False
2000-01-21,EICHERMOT,3.69654,3.86278,3.69352,3.82349,215000,1.3621,,,,70.6308,0.234541,0.218556,0.0159855,,,,2000,1,1,2000-01,False
2000-01-24,EICHERMOT,3.74793,3.74793,3.53635,3.62098,379000,-5.2965,,,,64.0134,0.207546,0.216354,-0.00880779,,,,2000,1,1,2000-01,False
2000-01-25,EICHERMOT,3.45172,3.53635,3.38825,3.44265,402000,-4.9249,,,,58.79,0.169805,0.207044,-0.037239,,,,2000,1,1,2000-01,False
2000-01-26,EICHERMOT,3.44265,3.44265,3.44265,3.44265,0,0.0,,,,58.79,0.138301,0.193295,-0.0549947,,,,2000,1,1,2000-01,False
2000-01-27,EICHERMOT,3.5031,3.5031,3.38522,3.4487,284000,0.1757,,,,58.9219,0.112524,0.177141,-0.0646168,,,,2000,1,1,2000-01,False
2000-01-28,EICHERMOT,3.38522,3.44265,3.33082,3.34895,156000,-2.8924,3.63866,,,55.7537,0.0830897,0.158331,-0.0752412,4.2298,3.04752,32.4923,2000,1,1,2000-01,False
2000-01-31,EICHERMOT,3.27037,3.34291,3.08297,3.11622,127000,-6.9493,3.64682,,,49.1179,0.0405161,0.134768,-0.0942518,4.20149,3.09216,30.4192,2000,1,1,2000-01,False
2000-02-01,EICHERMOT,2.96812,3.19178,2.96812,3.10715,275000,-0.2911,3.64682,,,48.8737,0.0059754,0.109009,-0.103034,4.20149,3.09216,30.4192,2000,2,1,2000-02,False
2000-02-02,EICHERMOT,3.31873,3.35802,3.20387,3.35802,565000,8.074,3.64682,,,55.4671,-0.00114204,0.0869791,-0.0881211,4.20149,3.09216,30.4192,2000,2,1,2000-02,False
2000-02-03,EICHERMOT,3.355,3.62703,3.355,3.55751,162000,5.9407,3.64335,,,59.8961,0.00920837,0.071425,-0.0622166,4.1994,3.08729,30.5246,2000,2,1,2000-02,False
2000-02-04,EICHERMOT,3.68748,3.84465,3.65725,3.84465,553000,8.0714,3.64017,,,65.2528,0.0401185,0.0651637,-0.0250452,4.19056,3.08978,30.2398,2000,2,1,2000-02,False
2000-02-07,EICHERMOT,3.86883,3.86883,3.63307,3.65423,210000,-4.9529,3.62491,,,59.5702,0.0486884,0.0618686,-0.0131802,4.15455,3.09526,29.2225,2000,2,1,2000-02,False
2000-02-08,EICHERMOT,3.38522,3.62702,3.38522,3.46683,216000,-5.1283,3.61206,,,54.5366,0.0398986,0.0574746,-0.017576,4.14407,3.08005,29.4573,2000,2,1,2000-02,False
2000-02-09,EICHERMOT,3.624,3.624,3.27339,3.33988,195000,-3.6618,3.58577,,,51.3699,0.0224302,0.0504657,-0.0280355,4.11696,3.05458,29.6278,2000,2,1,2000-02,False
2000-02-10,EICHERMOT,3.4759,3.48799,3.26432,3.41847,97000,2.3531,3.57156,,,53.1823,0.0147579,0.0433242,-0.0285663,4.10479,3.03833,29.8597,2000,2,1,2000-02,False
2000-02-11,EICHERMOT,3.28548,3.41545,3.28246,3.32477,39000,-2.741,3.54935,,,50.7537,0.00110396,0.0348801,-0.0337762,4.08494,3.01375,30.1801,2000,2,1,2000-02,False
2000-02-14,EICHERMOT,3.20387,3.26432,3.08902,3.1676,65000,-4.7272,3.51051,,,46.8859,-0.0221439,0.0234753,-0.0456192,4.03808,2.98293,30.0571,2000,2,1,2000-02,False
2000-02-15,EICHERMOT,3.08297,3.20387,2.93184,2.96811,175000,-6.2978,3.46079,,,42.4628,-0.0560195,0.00757636,-0.0635958,3.99637,2.9252,30.9516,2000,2,1,2000-02,False
2000-02-16,EICHERMOT,3.14342,3.14342,2.7384,2.75049,346000,-7.3319,3.39867,,,38.2262,-0.0992817,-0.0137953,-0.0854865,3.96192,2.83543,33.145,2000,2,1,2000-02,False
2000-02-17,EICHERMOT,2.8049,2.96207,2.79281,2.81094,308000,2.1978,3.35061,,,40.0165,-0.127223,-0.0364808,-0.0907422,3.94297,2.75826,35.358,2000,2,1,2000-02,False
2000-02-18,EICHERMOT,2.76258,2.88348,2.72631,2.77467,146000,-1.2903,3.29817,,,39.2809,-0.150558,-0.0592962,-0.0912616,3.89989,2.69646,36.4879,2000,2,1,2000-02,False
2000-02-21,EICHERMOT,2.69004,2.82303,2.65982,2.76863,150000,-0.2177,3.25556,,,39.1518,-0.167606,-0.0809582,-0.086648,3.88127,2.62985,38.4395,2000,2,1,2000-02,False
2000-02-22,EICHERMOT,2.77467,2.78072,2.62959,2.69911,226000,-2.511,3.21838,,,37.6196,-0.184599,-0.101686,-0.0829125,3.88434,2.55241,41.3851,2000,2,1,2000-02,False
2000-02-23,EICHERMOT,2.90162,2.90162,2.60541,2.60541,255000,-3.4715,3.17652,,,35.5976,-0.203283,-0.122006,-0.0812775,3.8869,2.46613,44.7271,2000,2,1,2000-02,False
2000-02-24,EICHERMOT,2.47847,2.69609,2.39988,2.46335,156000,-5.4525,3.12725,,,32.7256,-0.226938,-0.142992,-0.0839456,3.89269,2.36181,48.9531,2000,2,1,2000-02,False
2000-02-25,EICHERMOT,2.47847,2.53892,2.33943,2.46335,115000,0.0,3.08297,,,32.7256,-0.242884,-0.162971,-0.0799137,3.89543,2.27051,52.7063,2000,2,1,2000-02,False
2000-02-28,EICHERMOT,2.41802,2.65982,2.41802,2.63564,161000,6.9941,3.05894,,,39.5819,-0.238866,-0.17815,-0.0607165,3.89533,2.22255,54.6852,2000,2,1,2000-02,False
2000-02-29,EICHERMOT,2.78072,2.78072,2.47847,2.48451,237000,-5.7341,3.02781,,,36.1058,-0.245052,-0.19153,-0.0535218,3.90214,2.15348,57.7533,2000,2,1,2000-02,False
2000-03-01,EICHERMOT,2.59937,2.63866,2.47847,2.56612,141000,3.2848,2.98821,,,39.2103,-0.240595,-0.201343,-0.0392523,3.87126,2.10517,59.1019,2000,3,1,2000-03,False
2000-03-02,EICHERMOT,2.49358,2.56914,2.47847,2.51776,165000,-1.8846,2.93623,,,38.0311,-0.23822,-0.208718,-0.0295014,3.80037,2.07208,58.8612,2000,3,1,2000-03,False
2000-03-03,EICHERMOT,2.65982,2.65982,2.39384,2.49358,170000,-0.9604,2.86867,,,37.425,-0.235573,-0.214089,-0.0214834,3.64007,2.09727,53.7808,2000,3,1,2000-03,False
2000-03-06,EICHERMOT,2.53589,2.53589,2.29409,2.29409,194000,-8.0001,2.80067,,,32.7832,-0.246728,-0.220617,-0.0261109,3.51842,2.08291,51.2559,2000,3,1,2000-03,False
2000-03-07,EICHERMOT,2.12785,2.23062,2.11274,2.11274,150000,-7.9051,2.73296,,,29.2336,-0.267123,-0.229918,-0.0372046,3.44153,2.02439,51.8537,2000,3,1,2000-03,False
2000-03-08,EICHERMOT,1.96464,2.08554,1.94348,1.95557,281000,-7.4392,2.66375,,,26.5505,-0.292595,-0.242454,-0.0501417,3.39284,1.93465,54.7422,2000,3,1,2000-03,False
2000-03-09,EICHERMOT,2.01602,2.02509,1.80142,1.88303,284000,-3.7094,2.58697,,,25.3921,-0.315005,-0.256964,-0.0580408,3.30472,1.86922,55.4897,2000,3,1,2000-03,False
2000-03-10,EICHERMOT,1.81654,1.9858,1.81654,1.88303,92000,0.0,2.51489,3.14517,,25.3921,-0.328972,-0.271365,-0.0576065,3.20988,1.8199,55.2701,2000,3,1,2000-03,False
2000-03-13,EICHERMOT,1.96162,1.96162,1.75306,1.84978,192000,-1.7658,2.449,3.12311,,24.8165,-0.338819,-0.284856,-0.0539625,3.13322,1.76477,55.8783,2000,3,1,2000-03,False
2000-03-14,EICHERMOT,1.91023,1.91023,1.75306,1.78933,319000,-3.268,2.39006,3.09675,,23.7619,-0.347494,-0.297384,-0.0501104,3.08893,1.69118,58.4817,2000,3,1,2000-03,False
2000-03-15,EICHERMOT,1.93441,1.93441,1.93441,1.93441,15000,8.1081,2.34925,3.06828,,31.3067,-0.338758,-0.305659,-0.0330993,3.05478,1.64372,60.0641,2000,3,1,2000-03,False
2000-03-16,EICHERMOT,2.08856,2.09158,2.08856,2.09158,121000,8.125,2.31328,3.03757,,38.4169,-0.315515,-0.30763,-0.0078851,2.99257,1.634,58.7289,2000,3,1,2000-03,False
2000-03-17,EICHERMOT,2.09158,2.09158,2.09158,2.09158,0,0.0,2.27913,3.00124,,38.4169,-0.293709,-0.304846,0.0111366,2.92878,1.62948,57.0087,2000,3,1,2000-03,False
2000-03-20,EICHERMOT,2.09158,2.09158,2.09158,2.09158,0,0.0,2.24528,2.96388,,38.4169,-0.273278,-0.298532,0.0252545,2.85698,1.63357,54.4881,2000,3,1,2000-03,False
