Date,Ticker,Open,High,Low,Close,Volume,Daily_Return_Pct,MA20,MA50,MA200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,Year,Month,Quarter,Year_Month,Price_Repaired
2002-07-01,GRASIM,36.8676,37.9681,36.8676,37.8356,509315,,,,,,0.0,0.0,0.0,,,,2002,7,3,2002-07,False
2002-07-02,GRASIM,38.6018,38.8265,37.9681,38.6076,1062700,2.0404,,,,,0.061584,0.0123168,0.0492672,,,,2002,7,3,2002-07,False
2002-07-03,GRASIM,38.0257,38.7747,38.0257,38.6594,618898,0.1342,,,,,0.113264,0.0325063,0.0807578,,,,2002,7,3,2002-07,False
2002-07-04,GRASIM,40.0998,40.0998,38.0545,38.6191,747626,-0.1042,,,,,0.149248,0.0558547,0.0933938,,,,2002,7,3,2002-07,False
2002-07-05,GRASIM,37.4495,38.9245,37.4495,38.1582,671490,-1.1935,,,,,0.138974,0.0724785,0.0664951,,,,2002,7,3,2002-07,False
2002-07-08,GRASIM,38.0545,38.9475,38.0545,38.8438,437288,1.7967,,,,,0.184032,0.0947891,0.0892424,,,,2002,7,3,2002-07,False
2002-07-09,GRASIM,38.6018,40.3188,38.6018,39.1377,1015268,0.7566,,,,,0.240681,0.123967,0.116714,,,,2002,7,3,2002-07,False
2002-07-10,GRASIM,39.0627,39.8578,38.7343,39.7368,660997,1.5307,,,,,0.330113,0.165197,0.164917,,,,2002,7,3,2002-07,False
2002-07-11,GRASIM,39.4084,39.5237,38.9533,39.2068,454022,-1.3338,,,,,0.35414,0.202985,0.151155,,,,2002,7,3,2002-07,False
2002-07-12,GRASIM,39.7541,39.7541,39.1838,39.4085,570558,0.5145,,,,,0.385019,0.239392,0.145627,,,,2002,7,3,2002-07,False
2002-07-15,GRASIM,39.1895,39.4084,38.3195,39.1895,480949,-0.5557,,,,,0.387354,0.268984,0.118369,,,,2002,7,3,2002-07,False
2002-07-16,GRASIM,39.7287,40.2655,39.1441,39.5557,696298,0.9344,,,,,0.413981,0.297984,0.115998,,,,2002,7,3,2002-07,False
2002-07-17,GRASIM,38.8339,39.7883,38.7742,39.6988,324795,0.3618,,,,,0.441541,0.326695,0.114846,,,,2002,7,3,2002-07,False
2002-07-18,GRASIM,39.7406,40.3133,39.1978,39.6392,119044,-0.1501,,,,,0.453347,0.352026,0.101322,,,,2002,7,3,2002-07,False
2002-07-19,GRASIM,39.4901,40.2059,38.4223,39.3648,161500,-0.6922,,,,66.2764,0.435541,0.368729,0.0668125,,,,2002,7,3,2002-07,False
2002-07-22,GRASIM,38.6668,39.3707,37.9391,38.13,245691,-3.1368,,,,51.6542,0.318125,0.358608,-0.0404833,,,,2002,7,3,2002-07,False
2002-07-23,GRASIM,37.5334,39.0128,37.4738,38.9055,713187,2.0338,,,,57.9316,0.28437,0.34376,-0.0593907,,,,2002,7,3,2002-07,False
2002-07-24,GRASIM,37.9689,39.3469,37.9391,38.1538,197578,-1.9321,,,,51.0168,0.194718,0.313952,-0.119234,,,,2002,7,3,2002-07,False
2002-07-25,GRASIM,38.5356,39.1083,38.2373,38.81,586255,1.7199,,,,55.9588,0.174605,0.286082,-0.111477,,,,2002,7,3,2002-07,False
2002-07-26,GRASIM,37.9689,38.6549,37.3426,37.6647,395850,-2.951,38.8663,,,47.0386,0.065495,0.241965,-0.17647,40.1306,37.6019,6.5062,2002,7,3,2002-07,False
2002-07-29,GRASIM,38.1777,38.1777,35.9705,37.5991,1892748,-0.1742,38.8544,,,46.5806,-0.0259698,0.188378,-0.214348,40.1631,37.5458,6.7359,2002,7,3,2002-07,False
2002-07-30,GRASIM,37.2233,38.0524,37.1039,37.3903,737645,-0.5553,38.7936,,,45.0761,-0.113991,0.127904,-0.241895,40.2549,37.3323,7.5336,2002,7,3,2002-07,False
2002-07-31,GRASIM,35.8512,37.259,35.8512,37.0383,239593,-0.9414,38.7125,,,42.5793,-0.209734,0.0603767,-0.27011,40.3716,37.0535,8.5712,2002,7,3,2002-07,False
2002-08-01,GRASIM,36.9846,37.7005,36.2211,36.9787,375442,-0.1609,38.6305,,,42.1536,-0.28711,-0.00912074,-0.27799,40.4622,36.7988,9.4833,2002,8,3,2002-08,False
2002-08-02,GRASIM,36.1495,38.1479,36.1495,37.5573,459880,1.5647,38.6005,,,47.6284,-0.298305,-0.0669576,-0.231347,40.4838,36.7171,9.7581,2002,8,3,2002-08,False
2002-08-05,GRASIM,37.1755,37.5812,36.8773,37.086,228433,-1.2549,38.5126,,,43.9773,-0.341273,-0.121821,-0.219452,40.5088,36.5164,10.3665,2002,8,3,2002-08,False
2002-08-06,GRASIM,37.438,37.438,36.8594,36.9548,130658,-0.3538,38.4034,,,42.9893,-0.381514,-0.173759,-0.207755,40.4923,36.3146,10.8784,2002,8,3,2002-08,False
2002-08-07,GRASIM,37.2232,37.3426,36.8653,37.0204,533456,0.1775,38.2676,,,43.6707,-0.403461,-0.2197,-0.183762,40.3446,36.1906,10.8552,2002,8,3,2002-08,False
2002-08-08,GRASIM,37.1039,37.2232,36.746,36.8236,658975,-0.5316,38.1485,,,42.0471,-0.431758,-0.262111,-0.169646,40.2715,36.0254,11.1306,2002,8,3,2002-08,False
2002-08-09,GRASIM,36.412,36.8653,36.3881,36.7878,777074,-0.0972,38.0174,,,41.7431,-0.451863,-0.300062,-0.151801,40.1365,35.8983,11.1482,2002,8,3,2002-08,False
2002-08-12,GRASIM,36.5074,36.9727,36.4478,36.8773,86284,0.2433,37.9018,,,42.8555,-0.455326,-0.331114,-0.124211,40.0039,35.7997,11.0924,2002,8,3,2002-08,False
2002-08-13,GRASIM,36.0958,37.3425,36.0958,37.092,92493,0.5822,37.7786,,,45.542,-0.435723,-0.352036,-0.0836866,39.7578,35.7994,10.4778,2002,8,3,2002-08,False
2002-08-14,GRASIM,36.1614,37.2233,36.1614,37.1278,259716,0.0965,37.6501,,,45.9979,-0.412543,-0.364137,-0.0484055,39.4279,35.8723,9.4437,2002,8,3,2002-08,False
2002-08-15,GRASIM,37.1278,37.1278,37.1278,37.1278,0,0.0,37.5245,,,45.9979,-0.389681,-0.369246,-0.0204347,39.0472,36.0018,8.1157,2002,8,3,2002-08,False
2002-08-16,GRASIM,36.9846,37.2233,36.752,37.1099,198492,-0.0482,37.4118,,,45.7757,-0.368756,-0.369148,0.000392112,38.672,36.1515,6.7372,2002,8,3,2002-08,False
2002-08-19,GRASIM,37.1039,37.4499,37.0562,37.1338,190456,0.0644,37.3619,,,46.1498,-0.346253,-0.364569,0.0183161,38.5807,36.1431,6.5243,2002,8,3,2002-08,False
