Date,Ticker,Open,High,Low,Close,Volume,Daily_Return_Pct,MA20,MA50,MA200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,Year,Month,Quarter,Year_Month,Price_Repaired
2002-08-12,HCLTECH,12.11,12.79,12.06,12.67,11239400,,,,,,0.0,0.0,0.0,,,,2002,8,3,2002-08,False
2002-08-13,HCLTECH,12.93,12.93,12.34,12.44,3756368,-1.841,,,,,-0.0186,-0.0037,-0.0149,,,,2002,8,3,2002-08,False
2002-08-14,HCLTECH,12.39,12.39,12.14,12.27,3964016,-1.367,,,,,-0.0465,-0.0123,-0.0343,,,,2002,8,3,2002-08,False
2002-08-15,HCLTECH,12.27,12.27,12.27,12.27,0,0.0,,,,,-0.0679,-0.0234,-0.0445,,,,2002,8,3,2002-08,False
2002-08-16,HCLTECH,12.6,12.66,12.4,12.59,4848904,2.608,,,,,-0.0583,-0.0304,-0.0279,,,,2002,8,3,2002-08,False
2002-08-19,HCLTECH,12.8,13.09,12.75,13.0,8905448,3.283,,,,,-0.0172,-0.0277,0.0106,,,,2002,8,3,2002-08,False
2002-08-20,HCLTECH,13.13,14.12,13.07,13.94,18255464,7.255,,,,,0.0905,-0.0041,0.0946,,,,2002,8,3,2002-08,False
2002-08-21,HCLTECH,13.99,14.33,13.34,13.45,18690008,-3.513,,,,,0.1347,0.0237,0.111,,,,2002,8,3,2002-08,False
2002-08-22,HCLTECH,13.53,13.72,13.02,13.13,9790960,-2.378,,,,,0.1423,0.0474,0.0949,,,,2002,8,3,2002-08,False
2002-08-23,HCLTECH,13.2,13.48,12.89,13.21,12814424,0.584,,,,,0.1527,0.0685,0.0843,,,,2002,8,3,2002-08,False
2002-08-26,HCLTECH,13.23,13.56,13.03,13.42,8253944,1.615,,,,,0.1762,0.09,0.0862,,,,2002,8,3,2002-08,False
2002-08-27,HCLTECH,13.58,13.73,12.6,12.67,13764544,-5.586,,,,,0.1328,0.0986,0.0342,,,,2002,8,3,2002-08,False
2002-08-28,HCLTECH,12.46,13.25,12.37,13.09,18886336,3.261,,,,,0.1302,0.1049,0.0253,,,,2002,8,3,2002-08,False
2002-08-29,HCLTECH,13.0,13.59,12.9,13.41,17584928,2.496,,,,,0.1527,0.1144,0.0383,,,,2002,8,3,2002-08,False
