Date,Ticker,Open,High,Low,Close,Volume,Daily_Return_Pct,MA20,MA50,MA200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,Year,Month,Quarter,Year_Month,Price_Repaired
2000-01-03,HDFCBANK,6.60594,6.76512,6.60594,6.76512,665180,,,,,,0.0,0.0,0.0,,,,2000,1,1,2000-01,False
2000-01-04,HDFCBANK,7.24266,7.30036,6.80492,6.91634,3374200,2.2353,,,,,0.0120631,0.00241263,0.00965051,,,,2000,1,1,2000-01,False
2000-01-05,HDFCBANK,6.76512,6.92032,6.56615,6.64375,3196400,-3.9412,,,,,-0.000368236,0.00185645,-0.00222469,,,,2000,1,1,2000-01,False
2000-01-06,HDFCBANK,6.68553,6.76512,6.57809,6.69747,1700520,0.8086,,,,,-0.00581836,0.000321491,-0.00613985,,,,2000,1,1,2000-01,False
2000-01-07,HDFCBANK,6.45273,6.80491,6.45273,6.69946,1702880,0.0297,,,,,-0.00986335,-0.00171548,-0.00814787,,,,2000,1,1,2000-01,False
2000-01-10,HDFCBANK,6.88053,7.14317,6.56615,6.60196,2008680,-1.4553,,,,,-0.0206979,-0.00551196,-0.0151859,,,,2000,1,1,2000-01,False
2000-01-11,HDFCBANK,6.62584,6.68155,6.24779,6.50248,2915680,-1.5068,,,,,-0.0368863,-0.0117868,-0.0250995,,,,2000,1,1,2000-01,False
2000-01-12,HDFCBANK,6.5164,6.68354,6.4587,6.58405,1719040,1.2544,,,,,-0.0426422,-0.0179579,-0.0246843,,,,2000,1,1,2000-01,False
2000-01-13,HDFCBANK,6.76114,6.76114,6.56615,6.57013,965520,-0.2114,,,,,-0.0477763,-0.0239216,-0.0238547,,,,2000,1,1,2000-01,False
2000-01-14,HDFCBANK,6.68553,6.68553,6.52635,6.58405,1163040,0.2119,,,,,-0.0501438,-0.029166,-0.0209778,,,,2000,1,1,2000-01,False
2000-01-17,HDFCBANK,6.9243,7.11134,6.8467,7.11134,2748080,8.0086,,,,,-0.00936426,-0.0252057,0.0158414,,,,2000,1,1,2000-01,False
2000-01-18,HDFCBANK,7.11134,7.11134,6.54824,6.594,5113040,-7.2749,,,,,-0.018577,-0.0238799,0.0053029,,,,2000,1,1,2000-01,False
2000-01-19,HDFCBANK,6.84471,7.12327,6.84471,7.12327,6996360,8.0265,,,,,0.0166376,-0.0157764,0.0324141,,,,2000,1,1,2000-01,False
2000-01-20,HDFCBANK,7.35408,7.35408,7.00389,7.10736,5381960,-0.2234,,,,,0.0427687,-0.0040674,0.0468361,,,,2000,1,1,2000-01,False
2000-01-21,HDFCBANK,7.00389,7.64061,6.84869,7.4874,9446580,5.3471,,,,63.1049,0.093071,0.0153603,0.0777107,,,,2000,1,1,2000-01,False
2000-01-24,HDFCBANK,7.91121,8.08631,7.6804,7.98085,8987320,6.5904,,,,69.0694,0.170784,0.0464451,0.124339,,,,2000,1,1,2000-01,False
2000-01-25,HDFCBANK,7.91917,8.61956,7.91917,8.61956,5805820,8.003,,,,74.7577,0.280676,0.0932913,0.187385,,,,2000,1,1,2000-01,False
2000-01-26,HDFCBANK,8.61956,8.61956,8.61956,8.61956,0,0.0,,,,74.7577,0.363575,0.147348,0.216227,,,,2000,1,1,2000-01,False
2000-01-27,HDFCBANK,8.91404,9.31,8.80461,9.14087,11271640,6.048,,,,78.5004,0.465967,0.211072,0.254895,,,,2000,1,1,2000-01,False
2000-01-28,HDFCBANK,9.15281,9.2722,8.91404,9.06924,9583300,-0.7836,7.27091,,,76.8151,0.535164,0.27589,0.259274,9.06883,5.47299,49.4551,2000,1,1,2000-01,False
2000-01-31,HDFCBANK,9.15679,9.7955,9.15679,9.46122,12747600,4.3221,7.40572,,,79.419,0.614549,0.343622,0.270927,9.43356,5.37788,54.7641,2000,1,1,2000-01,False
2000-02-01,HDFCBANK,9.39158,9.70994,9.35178,9.58856,7815580,1.3459,7.53933,,,80.1971,0.6799,0.410878,0.269022,9.77308,5.30557,59.2561,2000,2,1,2000-02,False
2000-02-02,HDFCBANK,10.3546,10.3566,9.51096,9.70994,6876640,1.2659,7.69264,,,80.937,0.733035,0.475309,0.257726,10.083,5.30229,62.1463,2000,2,1,2000-02,False
2000-02-03,HDFCBANK,9.70994,9.94871,8.93394,8.99164,5693740,-7.3976,7.80735,,,65.3722,0.709011,0.522049,0.186962,10.2167,5.39797,61.7207,2000,2,1,2000-02,False
2000-02-04,HDFCBANK,9.15082,9.2324,8.65537,9.11103,5314080,1.3278,7.92793,,,66.5245,0.691633,0.555966,0.135667,10.3452,5.51064,60.9816,2000,2,1,2000-02,False
