Date,Ticker,Open,High,Low,Close,Volume,Daily_Return_Pct,MA20,MA50,MA200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,Year,Month,Quarter,Year_Month,Price_Repaired
2017-11-17,HDFCLIFE,301.816,359.259,298.895,335.503,168836552,,,,,,0.0,0.0,0.0,,,,2017,11,4,2017-11,False
2017-11-20,HDFCLIFE,335.6,349.425,334.919,345.969,14650240,3.1195,,,,,0.834895,0.166979,0.667916,,,,2017,11,4,2017-11,False
2017-11-21,HDFCLIFE,346.991,407.841,343.194,375.128,43078194,8.4282,,,,,3.80557,0.894698,2.91088,,,,2017,11,4,2017-11,False
2017-11-22,HDFCLIFE,377.757,397.229,376.686,384.767,15227642,2.5695,,,,,6.85858,2.08748,4.77111,,,,2017,11,4,2017-11,False
2017-11-23,HDFCLIFE,379.704,381.651,361.303,364.954,12300150,-5.1494,,,,,7.59186,3.18835,4.40351,,,,2017,11,4,2017-11,False
2017-11-24,HDFCLIFE,366.122,372.889,356.435,360.914,9463228,-1.107,,,,,7.75757,4.10219,3.65537,,,,2017,11,4,2017-11,False
2017-11-27,HDFCLIFE,361.206,374.349,361.206,370.309,3832223,2.6031,,,,,8.54845,4.99144,3.557,,,,2017,11,4,2017-11,False
2017-11-28,HDFCLIFE,372.889,376.199,368.118,372.11,2409447,0.4864,,,,,9.21433,5.83602,3.37831,,,,2017,11,4,2017-11,False
2017-11-29,HDFCLIFE,372.305,374.544,366.171,367.826,1657909,-1.1513,,,,,9.28929,6.52668,2.76261,,,,2017,11,4,2017-11,False
2017-11-30,HDFCLIFE,369.773,369.773,361.011,361.693,2536960,-1.6674,,,,,8.75291,6.97192,1.78099,,,,2017,11,4,2017-11,False
2017-12-01,HDFCLIFE,363.834,369.53,358.285,362.91,1904781,0.3365,,,,,8.33001,7.24354,1.08647,,,,2017,12,4,2017-12,False
2017-12-04,HDFCLIFE,364.175,365.003,352.443,353.222,1323453,-2.6695,,,,,7.13091,7.22102,-0.0901016,,,,2017,12,4,2017-12,False
2017-12-05,HDFCLIFE,351.47,356.24,347.721,352.784,1806017,-0.124,,,,,6.07525,6.99186,-0.916614,,,,2017,12,4,2017-12,False
2017-12-06,HDFCLIFE,351.372,361.887,349.084,358.626,3331373,1.656,,,,,5.64495,6.72248,-1.07753,,,,2017,12,4,2017-12,False
2017-12-07,HDFCLIFE,360.281,379.607,360.281,378.049,3350792,5.4159,,,,66.1971,6.79291,6.73657,0.0563448,,,,2017,12,4,2017-12,False
2017-12-08,HDFCLIFE,379.704,385.351,375.42,379.023,2494845,0.2576,,,,66.465,7.69259,6.92777,0.764822,,,,2017,12,4,2017-12,False
2017-12-11,HDFCLIFE,376.783,381.895,369.043,370.747,1029719,-2.1835,,,,61.9719,7.64962,7.07214,0.577475,,,,2017,12,4,2017-12,False
2017-12-12,HDFCLIFE,370.844,376.783,367.096,373.668,2564559,0.7879,,,,62.9246,7.76178,7.21007,0.551713,,,,2017,12,4,2017-12,False
2017-12-13,HDFCLIFE,376.248,378.974,368.508,370.747,747787,-0.7817,,,,61.2716,7.52819,7.27369,0.2545,,,,2017,12,4,2017-12,False
2017-12-14,HDFCLIFE,372.743,375.81,367.047,374.155,1261422,0.9192,365.655,,,62.509,7.53126,7.32521,0.206049,389.744,341.567,13.1755,2017,12,4,2017-12,False
2017-12-15,HDFCLIFE,379.099,381.785,371.38,372.65,1698848,-0.4022,367.513,,,61.5734,7.32777,7.32572,0.00205168,387.124,347.901,10.6728,2017,12,4,2017-12,False
2017-12-18,HDFCLIFE,371.282,374.506,363.71,368.791,1399027,-1.0356,368.654,,,59.1294,6.777,7.21597,-0.438977,385.44,351.867,9.1068,2017,12,4,2017-12,False
2017-12-19,HDFCLIFE,369.328,372.21,363.71,366.299,1641589,-0.6757,368.212,,,57.5411,6.06946,6.98667,-0.917214,384.744,351.68,8.9795,2017,12,4,2017-12,False
2017-12-20,HDFCLIFE,368.791,369.035,362.977,366.543,2251770,0.0666,367.301,,,57.661,5.46541,6.68242,-1.21701,381.885,352.717,7.9412,2017,12,4,2017-12,False
2017-12-21,HDFCLIFE,370.549,373.041,366.397,367.423,1448962,0.2401,367.424,,,58.1204,5.00008,6.34595,-1.34588,381.967,352.882,7.9157,2017,12,4,2017-12,False
2017-12-22,HDFCLIFE,367.618,371.673,365.615,365.957,775946,-0.399,367.677,,,57.0106,4.46157,5.96907,-1.50751,381.915,353.438,7.7452,2017,12,4,2017-12,False
2017-12-26,HDFCLIFE,367.374,369.914,364.833,367.911,1310649,0.5339,367.557,,,58.1575,4.14469,5.6042,-1.45951,381.742,353.371,7.7188,2017,12,4,2017-12,False
2017-12-27,HDFCLIFE,366.494,369.279,365.224,366.25,589597,-0.4515,367.264,,,56.771,3.71669,5.2267,-1.51001,381.294,353.233,7.6407,2017,12,4,2017-12,False
2017-12-28,HDFCLIFE,366.397,371.282,363.856,369.279,912189,0.827,367.336,,,58.7044,3.58064,4.89748,-1.31685,381.394,353.278,7.654,2017,12,4,2017-12,False
2017-12-29,HDFCLIFE,370.305,381.834,367.032,377.144,1611972,2.1298,368.109,,,63.295,4.06064,4.73012,-0.669472,382.554,353.664,7.8483,2017,12,4,2017-12,False
2018-01-01,HDFCLIFE,379.587,390.628,377.682,380.711,1445743,0.9458,368.999,,,65.1853,4.67499,4.71909,-0.0441004,384.266,353.732,8.2746,2018,1,1,2018-01,False
2018-01-02,HDFCLIFE,382.714,388.869,375.532,386.427,1219713,1.5014,370.659,,,68.0268,5.55902,4.88708,0.671941,385.924,355.395,8.2364,2018,1,1,2018-01,False
2018-01-03,HDFCLIFE,388.869,389.162,375.288,376.802,2275082,-2.4908,371.86,,,59.2564,5.42047,4.99376,0.426718,384.807,358.914,6.9631,2018,1,1,2018-01,False
2018-01-04,HDFCLIFE,381.053,392.728,378.366,389.846,2974278,3.4618,373.421,,,65.7088,6.2907,5.25314,1.03756,387.154,359.689,7.355,2018,1,1,2018-01,False
2018-01-05,HDFCLIFE,391.8,402.548,388.869,397.663,3554479,2.0052,374.402,,,68.8885,7.5244,5.7074,1.817,391.83,356.974,9.3099,2018,1,1,2018-01,False
2018-01-08,HDFCLIFE,400.594,418.474,400.154,412.416,3806105,3.7099,376.071,,,73.8221,9.58209,6.48234,3.09976,400.397,351.746,12.9367,2018,1,1,2018-01,False
2018-01-09,HDFCLIFE,414.273,437.38,412.954,425.509,6183645,3.1747,378.81,,,77.2675,12.1295,7.61177,4.51774,411.501,346.118,17.2602,2018,1,1,2018-01,False
2018-01-10,HDFCLIFE,427.951,431.762,417.204,419.402,2374166,-1.4352,381.096,,,72.476,13.5,8.78941,4.71054,418.353,343.84,19.5523,2018,1,1,2018-01,False
2018-01-11,HDFCLIFE,414.273,439.481,414.273,436.452,2604294,4.0653,384.382,,,76.8013,15.7799,10.1875,5.59242,428.712,340.051,23.0657,2018,1,1,2018-01,False
2018-01-12,HDFCLIFE,439.432,448.177,434.107,445.49,5364763,2.0708,387.948,,,78.7112,18.1074,11.7715,6.3359,439.676,336.221,26.6673,2018,1,1,2018-01,False
2018-01-15,HDFCLIFE,449.447,476.804,446.516,463.956,5635852,4.1451,392.514,,,81.976,21.1976,13.6567,7.5409,453.791,331.236,31.2233,2018,1,1,2018-01,False
2018-01-16,HDFCLIFE,468.89,482.96,460.439,471.577,8288750,1.6426,397.653,,,83.1262,23.9851,15.7224,8.26271,467.232,328.073,34.995,2018,1,1,2018-01,False
2018-01-17,HDFCLIFE,474.264,477.0,459.217,467.425,5691140,-0.8805,402.709,,,80.1263,25.5645,17.6908,7.87368,477.218,328.2,37.0037,2018,1,1,2018-01,False
2018-01-18,HDFCLIFE,472.114,478.563,467.034,473.922,1772870,1.39,408.078,,,81.2656,27.0288,19.5584,7.47043,486.961,329.196,38.6605,2018,1,1,2018-01,False
2018-01-19,HDFCLIFE,478.026,480.077,466.057,470.453,3488403,-0.732,413.23,,,78.6722,27.5914,21.165,6.42637,494.358,332.101,39.2656,2018,1,1,2018-01,False
2018-01-22,HDFCLIFE,470.453,477.635,458.24,459.413,3825798,-2.3467,417.902,,,70.916,26.837,22.2994,4.53759,498.329,337.476,38.4907,2018,1,1,2018-01,False
