Date,Ticker,Open,High,Low,Close,Volume,Daily_Return_Pct,MA20,MA50,MA200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,Year,Month,Quarter,Year_Month,Price_Repaired
2002-07-01,HEROMOTOCO,139.717,142.271,137.566,139.963,113852,,,,,,0.0,0.0,0.0,,,,2002,7,3,2002-07,False
2002-07-02,HEROMOTOCO,141.061,144.735,140.478,141.33,166016,0.9767,,,,,0.109048,0.0218097,0.0872387,,,,2002,7,3,2002-07,False
2002-07-03,HEROMOTOCO,141.711,144.511,139.806,140.859,196486,-0.3333,,,,,0.15567,0.0485817,0.107088,,,,2002,7,3,2002-07,False
2002-07-04,HEROMOTOCO,141.935,143.324,141.935,142.562,233997,1.209,,,,,0.326274,0.10412,0.222154,,,,2002,7,3,2002-07,False
2002-07-05,HEROMOTOCO,143.346,147.872,143.346,145.206,472596,1.8546,,,,,0.667138,0.216724,0.450414,,,,2002,7,3,2002-07,False
2002-07-08,HEROMOTOCO,148.32,152.353,146.976,151.838,317179,4.5673,,,,,1.45564,0.464508,0.991135,,,,2002,7,3,2002-07,False
2002-07-09,HEROMOTOCO,152.039,154.1,149.216,150.852,456642,-0.6494,,,,,1.97817,0.767241,1.21093,,,,2002,7,3,2002-07,False
2002-07-10,HEROMOTOCO,150.829,151.457,146.976,147.648,98892,-2.1239,,,,,2.10943,1.03568,1.07375,,,,2002,7,3,2002-07,False
2002-07-11,HEROMOTOCO,147.872,147.872,144.399,144.914,68794,-1.8517,,,,,1.97013,1.22257,0.747561,,,,2002,7,3,2002-07,False
2002-07-12,HEROMOTOCO,146.438,148.768,146.08,146.953,63190,1.407,,,,,2.0012,1.37829,0.622902,,,,2002,7,3,2002-07,False
2002-07-15,HEROMOTOCO,146.976,147.334,142.943,143.682,87809,-2.2259,,,,,1.74179,1.45099,0.290801,,,,2002,7,3,2002-07,False
2002-07-16,HEROMOTOCO,142.719,143.817,140.702,141.15,47189,-1.7622,,,,,1.31673,1.42414,-0.107413,,,,2002,7,3,2002-07,False
2002-07-17,HEROMOTOCO,140.747,142.45,136.669,137.902,122953,-2.3011,,,,,0.709594,1.28123,-0.571638,,,,2002,7,3,2002-07,False
2002-07-18,HEROMOTOCO,138.059,141.15,137.79,139.918,173079,1.4619,,,,,0.386652,1.10232,-0.715663,,,,2002,7,3,2002-07,False
2002-07-19,HEROMOTOCO,134.429,140.702,134.429,137.678,84246,-1.6009,,,,46.7438,-0.0494601,0.871961,-0.921421,,,,2002,7,3,2002-07,False
2002-07-22,HEROMOTOCO,135.325,137.879,134.071,135.28,103234,-1.7417,,,,43.5392,-0.581873,0.581194,-1.16307,,,,2002,7,3,2002-07,False
2002-07-23,HEROMOTOCO,134.429,138.507,133.555,137.162,78746,1.3912,,,,46.6316,-0.842244,0.296506,-1.13875,,,,2002,7,3,2002-07,False
2002-07-24,HEROMOTOCO,137.566,138.798,132.614,134.003,189959,-2.3031,,,,42.4308,-1.28864,-0.0205231,-1.26812,,,,2002,7,3,2002-07,False
2002-07-25,HEROMOTOCO,139.806,139.806,127.506,128.716,266291,-3.9454,,,,36.5038,-2.04545,-0.425509,-1.61994,,,,2002,7,3,2002-07,False
2002-07-26,HEROMOTOCO,127.842,129.814,123.742,124.795,178532,-3.0462,140.621,,,32.84,-2.92787,-0.925981,-2.00189,154.13,127.111,19.2136,2002,7,3,2002-07,False
2002-07-29,HEROMOTOCO,125.422,126.318,110.254,122.778,386909,-1.6163,139.761,,,31.1102,-3.74676,-1.49014,-2.25662,155.456,124.067,22.4591,2002,7,3,2002-07,False
2002-07-30,HEROMOTOCO,125.467,129.5,123.271,123.899,254176,0.913,138.89,,,33.2157,-4.25621,-2.04335,-2.21286,156.082,121.697,24.7567,2002,7,3,2002-07,False
2002-07-31,HEROMOTOCO,114.265,121.882,114.265,119.687,325601,-3.3995,137.831,,,29.56,-4.94286,-2.62325,-2.3196,157.006,118.656,27.8235,2002,7,3,2002-07,False
2002-08-01,HEROMOTOCO,120.538,125.422,114.377,117.76,438415,-1.61,136.591,,,28.0396,-5.57822,-3.21425,-2.36397,157.598,115.584,30.7589,2002,8,3,2002-08,False
2002-08-02,HEROMOTOCO,116.505,121.86,114.489,120.538,229465,2.359,135.358,,,33.361,-5.79083,-3.72956,-2.06127,157.118,113.597,32.1525,2002,8,3,2002-08,False
2002-08-05,HEROMOTOCO,121.793,125.512,121.793,123.787,297447,2.6954,133.955,,,39.0389,-5.63223,-4.1101,-1.52214,154.841,113.069,31.1841,2002,8,3,2002-08,False
2002-08-06,HEROMOTOCO,124.302,127.663,121.927,125.243,184716,1.1762,132.675,,,41.4467,-5.32765,-4.35361,-0.97404,152.301,113.048,29.5863,2002,8,3,2002-08,False
2002-08-07,HEROMOTOCO,126.363,127.663,121.882,122.51,164013,-2.1822,131.418,,,38.3822,-5.24631,-4.53215,-0.714164,150.209,112.627,28.5976,2002,8,3,2002-08,False
2002-08-08,HEROMOTOCO,123.585,125.019,121.882,122.868,166449,0.2922,130.315,,,39.0183,-5.09424,-4.64457,-0.449676,148.344,112.287,27.6693,2002,8,3,2002-08,False
2002-08-09,HEROMOTOCO,124.571,124.571,122.33,123.451,94358,0.4745,129.14,,,40.1026,-4.87054,-4.68976,-0.180778,145.598,112.682,25.4885,2002,8,3,2002-08,False
2002-08-12,HEROMOTOCO,123.988,128.604,123.227,127.125,182823,2.9761,128.312,,,46.5524,-4.34669,-4.62115,0.27446,143.29,113.335,23.3449,2002,8,3,2002-08,False
2002-08-13,HEROMOTOCO,128.088,129.052,125.758,128.021,156701,0.7048,127.656,,,48.0223,-3.81525,-4.45997,0.644718,141.361,113.951,21.4716,2002,8,3,2002-08,False
2002-08-14,HEROMOTOCO,125.109,134.653,125.109,133.846,650771,4.55,127.453,,,56.4148,-2.89073,-4.14612,1.25539,140.63,114.277,20.6764,2002,8,3,2002-08,False
2002-08-15,HEROMOTOCO,133.846,133.846,133.846,133.846,0,0.0,127.15,,,56.4148,-2.13345,-3.74358,1.61014,139.361,114.938,19.2082,2002,8,3,2002-08,False
2002-08-16,HEROMOTOCO,133.981,137.118,133.107,134.698,762266,0.6366,127.001,,,57.5767,-1.44786,-3.28444,1.83658,138.735,115.267,18.4788,2002,8,3,2002-08,False
2002-08-19,HEROMOTOCO,135.773,138.238,133.533,134.272,487314,-0.3163,126.95,,,56.7619,-0.928198,-2.81319,1.88499,138.542,115.358,18.2625,2002,8,3,2002-08,False
2002-08-20,HEROMOTOCO,134.496,136.109,130.844,131.808,259312,-1.8351,126.683,,,52.1636,-0.707037,-2.39196,1.68492,137.503,115.862,17.0834,2002,8,3,2002-08,False
2002-08-21,HEROMOTOCO,132.144,132.413,126.162,126.789,206978,-3.8078,126.322,,,44.2925,-0.926082,-2.09878,1.1727,136.582,116.062,16.2439,2002,8,3,2002-08,False
2002-08-22,HEROMOTOCO,127.259,128.537,124.123,124.571,203546,-1.7494,126.115,,,41.3249,-1.26408,-1.93184,0.667764,136.338,115.891,16.2131,2002,8,3,2002-08,False
2002-08-23,HEROMOTOCO,126.587,126.767,121.882,122.913,194880,-1.331,126.02,,,39.2101,-1.64675,-1.87482,0.228076,136.329,115.712,16.3608,2002,8,3,2002-08,False
2002-08-26,HEROMOTOCO,122.734,126.318,122.33,124.347,169296,1.1667,126.099,,,41.9759,-1.8134,-1.86254,0.0491389,136.328,115.87,16.2232,2002,8,3,2002-08,False
2002-08-27,HEROMOTOCO,126.363,126.363,120.762,121.031,164835,-2.6667,125.956,,,37.7039,-2.18783,-1.9276,-0.26023,136.392,115.519,16.5722,2002,8,3,2002-08,False
