Date,Ticker,Open,High,Low,Close,Volume,Daily_Return_Pct,MA20,MA50,MA200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,Year,Month,Quarter,Year_Month,Price_Repaired
2000-01-03,HINDALCO,54.7069,56.4747,54.7069,55.7644,397097,,,,,,0.0,0.0,0.0,,,,2000,1,1,2000-01,False
2000-01-04,HINDALCO,56.5069,59.7854,55.9283,57.8793,833506,3.7927,,,,,0.168717,0.0337435,0.134974,,,,2000,1,1,2000-01,False
2000-01-05,HINDALCO,53.6783,62.5111,53.6783,62.5079,1797917,7.9969,,,,,0.66821,0.160637,0.507573,,,,2000,1,1,2000-01,False
2000-01-06,HINDALCO,67.5093,67.5093,65.2561,67.4,1523912,7.8263,,,,,1.44219,0.416947,1.02524,,,,2000,1,1,2000-01,False
2000-01-07,HINDALCO,70.4568,71.9996,65.2497,70.3893,1631072,4.4352,,,,,2.27061,0.787679,1.48293,,,,2000,1,1,2000-01,False
2000-01-10,HINDALCO,72.2568,72.2568,65.2497,65.7575,513234,-6.5802,,,,,2.52429,1.135,1.38929,,,,2000,1,1,2000-01,False
2000-01-11,HINDALCO,65.6997,67.8211,62.3568,63.8514,757679,-2.8987,,,,,2.54223,1.41645,1.12578,,,,2000,1,1,2000-01,False
2000-01-12,HINDALCO,64.9282,65.3782,61.714,62.4436,129365,-2.2049,,,,,2.41501,1.61616,0.798849,,,,2000,1,1,2000-01,False
2000-01-13,HINDALCO,62.0354,67.4418,62.0354,62.7329,313951,0.4633,,,,,2.31089,1.75511,0.555783,,,,2000,1,1,2000-01,False
2000-01-14,HINDALCO,62.9997,63.514,59.464,60.6918,178475,-3.2536,,,,,2.04016,1.81212,0.228041,,,,2000,1,1,2000-01,False
2000-01-17,HINDALCO,61.0711,62.2218,58.6315,59.4383,353568,-2.0655,,,,,1.7048,1.79065,-0.0858554,,,,2000,1,1,2000-01,False
2000-01-18,HINDALCO,59.7854,59.7854,57.2847,58.7858,426093,-1.0978,,,,,1.37057,1.70664,-0.336066,,,,2000,1,1,2000-01,False
2000-01-19,HINDALCO,61.0711,63.4497,59.464,59.7211,724336,1.5911,,,,,1.16771,1.59885,-0.431142,,,,2000,1,1,2000-01,False
2000-01-20,HINDALCO,61.0711,63.2568,60.1068,60.6018,979531,1.4747,,,,,1.06572,1.49222,-0.426505,,,,2000,1,1,2000-01,False
