Date,Ticker,Open,High,Low,Close,Volume,Daily_Return_Pct,MA20,MA50,MA200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,Year,Month,Quarter,Year_Month,Price_Repaired
2000-01-03,HINDUNILVR,125.66,126.07,125.66,126.07,249030,,,,,,0.0,0.0,0.0,,,,2000,1,1,2000-01,False
2000-01-04,HINDUNILVR,130.08,130.08,122.92,124.62,585140,-1.148,,,,,-0.1155,-0.0231,-0.0924,,,,2000,1,1,2000-01,False
2000-01-05,HINDUNILVR,120.19,122.92,115.0,120.19,802960,-3.558,,,,,-0.5583,-0.1301,-0.4282,,,,2000,1,1,2000-01,False
2000-01-06,HINDUNILVR,121.55,128.93,120.74,125.01,1900320,4.014,,,,,-0.5141,-0.2069,-0.3072,,,,2000,1,1,2000-01,False
2000-01-07,HINDUNILVR,125.66,133.96,124.69,131.83,1925820,5.452,,,,,0.0701,-0.1515,0.2216,,,,2000,1,1,2000-01,False
2000-01-10,HINDUNILVR,133.58,136.53,131.66,132.83,865910,0.758,,,,,0.6068,0.0001,0.6066,,,,2000,1,1,2000-01,False
2000-01-11,HINDUNILVR,133.85,138.17,130.57,135.81,1344110,2.244,,,,,1.2581,0.2517,1.0063,,,,2000,1,1,2000-01,False
2000-01-12,HINDUNILVR,136.58,146.67,136.04,144.66,1770570,6.517,,,,,2.46,0.6934,1.7666,,,,2000,1,1,2000-01,False
2000-01-13,HINDUNILVR,147.45,156.23,144.78,152.24,2545080,5.244,,,,,3.9788,1.3505,2.6283,,,,2000,1,1,2000-01,False
2000-01-14,HINDUNILVR,150.24,151.72,144.78,147.62,1202400,-3.034,,,,,4.7549,2.0314,2.7236,,,,2000,1,1,2000-01,False
2000-01-17,HINDUNILVR,150.18,150.24,139.05,141.95,965390,-3.843,,,,,4.8562,2.5963,2.2599,,,,2000,1,1,2000-01,False
2000-01-18,HINDUNILVR,141.88,142.48,139.1,139.94,894390,-1.416,,,,,4.7198,3.021,1.6988,,,,2000,1,1,2000-01,False
2000-01-19,HINDUNILVR,140.68,142.05,136.64,138.16,1186660,-1.269,,,,,4.4176,3.3003,1.1172,,,,2000,1,1,2000-01,False
2000-01-20,HINDUNILVR,137.95,138.49,137.4,137.91,1215590,-0.18,,,,,4.1106,3.4624,0.6482,,,,2000,1,1,2000-01,False
2000-01-21,HINDUNILVR,138.77,141.77,138.58,139.21,750120,0.939,,,,62.269,3.9265,3.5552,0.3713,,,,2000,1,1,2000-01,False
2000-01-24,HINDUNILVR,139.31,144.72,138.82,140.87,711990,1.193,,,,63.488,3.87,3.6182,0.2519,,,,2000,1,1,2000-01,False
2000-01-25,HINDUNILVR,141.92,141.92,139.1,139.43,540930,-1.026,,,,61.622,3.6664,3.6278,0.0386,,,,2000,1,1,2000-01,False
2000-01-26,HINDUNILVR,139.43,139.43,139.43,139.43,0,0.0,,,,61.622,3.4651,3.5953,-0.1302,,,,2000,1,1,2000-01,False
2000-01-27,HINDUNILVR,143.14,146.42,138.71,139.84,926470,0.298,,,,61.994,3.301,3.5364,-0.2354,,,,2000,1,1,2000-01,False
