Date,Ticker,Open,High,Low,Close,Volume,Daily_Return_Pct,MA20,MA50,MA200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,Year,Month,Quarter,Year_Month,Price_Repaired
2000-01-03,INFY,73.0044,73.0053,73.0044,73.0053,657536,,,,,,0.0,0.0,0.0,,,,2000,1,1,2000-01,False
2000-01-04,INFY,78.4943,78.8459,75.9385,78.7555,7191808,7.8763,,,,,0.458701,0.0917402,0.366961,,,,2000,1,1,2000-01,False
2000-01-05,INFY,73.3594,75.9245,72.4551,72.4551,21069440,-7.9999,,,,,0.310264,0.135445,0.174819,,,,2000,1,1,2000-01,False
2000-01-06,INFY,71.2833,71.4859,66.6587,66.6587,10495616,-8.0,,,,,-0.271962,0.0539635,-0.325926,,,,2000,1,1,2000-01,False
2000-01-07,INFY,61.326,61.326,61.326,61.326,971392,-8.0,,,,,-1.15042,-0.186914,-0.963509,,,,2000,1,1,2000-01,False
2000-01-10,INFY,61.326,66.2319,56.4201,64.278,30230400,4.8135,,,,,-1.59008,-0.467547,-1.12253,,,,2000,1,1,2000-01,False
2000-01-11,INFY,61.6741,64.4775,59.1359,59.1359,15658368,-7.9997,,,,,-2.32662,-0.839361,-1.48726,,,,2000,1,1,2000-01,False
2000-01-12,INFY,55.8338,62.3703,54.9741,61.102,25993472,3.3247,,,,,-2.72032,-1.21555,-1.50477,,,,2000,1,1,2000-01,False
2000-01-13,INFY,61.2069,61.4358,56.2138,56.4907,20038400,-7.5469,,,,,-3.36563,-1.64557,-1.72006,,,,2000,1,1,2000-01,False
2000-01-14,INFY,57.2307,57.455,52.3435,56.8915,16040064,0.7096,,,,,-3.80088,-2.07663,-1.72425,,,,2000,1,1,2000-01,False
2000-01-17,INFY,57.0018,60.2023,54.7591,55.4642,18092928,-2.509,,,,,-4.21244,-2.50379,-1.70865,,,,2000,1,1,2000-01,False
2000-01-18,INFY,54.8512,56.857,52.9136,55.7667,20290944,0.5455,,,,,-4.46275,-2.89558,-1.56716,,,,2000,1,1,2000-01,False
2000-01-19,INFY,58.6184,60.228,58.0297,60.225,19994752,7.9945,,,,,-4.25236,-3.16694,-1.08542,,,,2000,1,1,2000-01,False
2000-01-20,INFY,61.6741,63.3141,58.9221,59.5578,19778560,-1.1078,,,,,-4.09228,-3.35201,-0.740275,,,,2000,1,1,2000-01,False
2000-01-21,INFY,60.2724,63.4963,58.4175,62.7029,20786048,5.2808,,,,39.3245,-3.66934,-3.41547,-0.253864,,,,2000,1,1,2000-01,False
2000-01-24,INFY,63.543,67.6967,63.543,64.8456,25256320,3.4172,,,,42.0937,-3.12523,-3.35742,0.232198,,,,2000,1,1,2000-01,False
