Date,Ticker,Open,High,Low,Close,Volume,Daily_Return_Pct,MA20,MA50,MA200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,Year,Month,Quarter,Year_Month,Price_Repaired
2000-01-03,ITC,7.34814,7.50167,7.14697,7.50167,26297407,,,,,,0.0,0.0,0.0,,,,2000,1,1,2000-01,False
2000-01-04,ITC,7.5599,7.71872,7.35132,7.54243,33303725,0.5433,,,,,0.00325151,0.000650302,0.00260121,,,,2000,1,1,2000-01,False
2000-01-05,ITC,7.58373,8.03531,6.98815,7.68908,64592086,1.9443,,,,,0.0174605,0.00401234,0.0134482,,,,2000,1,1,2000-01,False
2000-01-06,ITC,7.84578,8.30424,7.84578,8.30424,33723435,8.0004,,,,,0.0774665,0.0187032,0.0587633,,,,2000,1,1,2000-01,False
2000-01-07,ITC,8.81354,8.96865,8.72459,8.96865,10805109,8.0009,,,,,0.176598,0.0502822,0.126316,,,,2000,1,1,2000-01,False
2000-01-10,ITC,9.64735,9.68652,9.26459,9.68652,57005858,8.0042,,,,,0.309519,0.10213,0.20739,,,,2000,1,1,2000-01,False
2000-01-11,ITC,9.55047,10.0799,9.17035,9.35671,111045006,-3.4048,,,,,0.383823,0.158468,0.225354,,,,2000,1,1,2000-01,False
2000-01-12,ITC,9.58223,9.7834,9.21482,9.40594,28804684,0.5261,,,,,0.441591,0.215093,0.226498,,,,2000,1,1,2000-01,False
2000-01-13,ITC,9.52929,9.91046,9.22223,9.31488,31174379,-0.9681,,,,,0.474554,0.266985,0.207569,,,,2000,1,1,2000-01,False
2000-01-14,ITC,9.31647,9.56846,9.13965,9.39747,26889329,0.8866,,,,,0.50156,0.3139,0.18766,,,,2000,1,1,2000-01,False
2000-01-17,ITC,9.5817,9.5817,8.64571,8.65418,82432628,-7.9095,,,,,0.45771,0.342662,0.115048,,,,2000,1,1,2000-01,False
2000-01-18,ITC,8.534,8.78812,8.42812,8.69653,37733274,0.4894,,,,,0.421516,0.358433,0.0630832,,,,2000,1,1,2000-01,False
2000-01-19,ITC,8.78812,8.97871,8.48107,8.74683,19928856,0.5784,,,,,0.392368,0.36522,0.0271482,,,,2000,1,1,2000-01,False
2000-01-20,ITC,8.78812,8.78812,8.24495,8.3233,22667602,-4.8421,,,,,0.331274,0.358431,-0.0271566,,,,2000,1,1,2000-01,False
2000-01-21,ITC,8.31166,8.95647,8.31166,8.80453,56122789,5.7817,,,,64.5466,0.318022,0.350349,-0.032327,,,,2000,1,1,2000-01,False
2000-01-24,ITC,8.85165,9.08459,8.28519,8.39054,72295848,-4.702,,,,58.7024,0.27099,0.334477,-0.0634871,,,,2000,1,1,2000-01,False
2000-01-25,ITC,8.25872,8.25872,7.71925,7.72455,57996459,-7.9374,,,,50.7429,0.177926,0.303167,-0.125241,,,,2000,1,1,2000-01,False
2000-01-26,ITC,7.72455,7.72455,7.72455,7.72455,0,0.0,,,,50.7429,0.102985,0.263131,-0.160145,,,,2000,1,1,2000-01,False
2000-01-27,ITC,7.95166,8.34289,7.19991,8.24654,87298103,6.7575,,,,56.1478,0.0847375,0.227452,-0.142715,,,,2000,1,1,2000-01,False
2000-01-28,ITC,8.12107,8.12107,7.5869,7.61496,59659596,-7.6587,8.5047,,,49.1241,0.0190926,0.18578,-0.166687,9.92413,7.08528,33.3798,2000,1,1,2000-01,False
2000-01-31,ITC,7.52814,7.70814,7.25285,7.32908,46420954,-3.7542,8.49608,,,46.3008,-0.0553613,0.137552,-0.192913,9.94301,7.04914,34.0612,2000,1,1,2000-01,False
2000-02-01,ITC,7.3799,7.64196,7.31638,7.42808,53975217,1.3508,8.49036,,,47.4276,-0.105166,0.0890083,-0.194174,9.95396,7.02675,34.4769,2000,2,1,2000-02,False
2000-02-02,ITC,7.62343,7.7579,7.53873,7.56043,28068217,1.7818,8.48393,,,48.9693,-0.13243,0.0447206,-0.177151,9.9634,7.00445,34.8772,2000,2,1,2000-02,False
2000-02-03,ITC,7.63402,7.68696,7.46461,7.50802,16686328,-0.6932,8.44411,,,48.3645,-0.156463,0.0044839,-0.160947,9.98551,6.90272,36.5081,2000,2,1,2000-02,False
2000-02-04,ITC,7.54931,7.62131,7.31638,7.36402,20478063,-1.9179,8.36388,,,46.6592,-0.184996,-0.0334121,-0.151584,9.95651,6.77125,38.0835,2000,2,1,2000-02,False
2000-02-07,ITC,7.50167,7.95325,7.50167,7.91249,45210614,7.448,8.27518,,,53.3988,-0.16149,-0.0590277,-0.102462,9.75097,6.7994,35.6678,2000,2,1,2000-02,False
2000-02-08,ITC,8.0586,8.4493,8.0046,8.08137,45291088,2.1343,8.21141,,,55.2727,-0.127762,-0.0727745,-0.0549872,9.59795,6.82488,33.7709,2000,2,1,2000-02,False
2000-02-09,ITC,8.30531,8.7283,8.17401,8.7283,31670824,8.0052,8.17753,,,61.6368,-0.0482733,-0.0678742,0.019601,9.47117,6.8839,31.6388,2000,2,1,2000-02,False
2000-02-10,ITC,9.42659,9.42659,9.42659,9.42659,949756,8.0003,8.18312,,,67.0814,0.0702581,-0.0402478,0.110506,9.49822,6.86802,32.1418,2000,2,1,2000-02,False
2000-02-11,ITC,10.181,10.181,10.181,10.181,2024430,8.003,8.22229,,,71.7467,0.222505,0.0123027,0.210202,9.72326,6.72133,36.5096,2000,2,1,2000-02,False
2000-02-14,ITC,10.5712,10.9799,9.55047,9.87393,52450784,-3.0161,8.28328,,,67.5503,0.314755,0.0727932,0.241962,9.94829,6.61827,40.2017,2000,2,1,2000-02,False
2000-02-15,ITC,9.79399,10.6638,9.63517,10.6569,68620431,7.9297,8.3813,,,72.0408,0.445903,0.147415,0.298488,10.3516,6.41103,47.0159,2000,2,1,2000-02,False
2000-02-16,ITC,10.9015,11.2975,10.3234,10.5585,76622397,-0.9233,8.47188,,,70.7163,0.535723,0.225077,0.310647,10.6667,6.27707,51.8142,2000,2,1,2000-02,False
2000-02-17,ITC,10.5775,11.1694,10.5039,10.9068,89953851,3.2988,8.60106,,,72.6342,0.627775,0.305616,0.322158,11.0486,6.15351,56.9127,2000,2,1,2000-02,False
2000-02-18,ITC,10.9587,11.1175,10.0343,10.1307,51018368,-7.1157,8.66737,,,62.7695,0.63083,0.370659,0.260171,11.2082,6.12653,58.63,2000,2,1,2000-02,False
2000-02-21,ITC,10.4822,10.6728,10.1646,10.3753,45442597,2.4144,8.76661,,,64.41,0.645546,0.425637,0.21991,11.4147,6.11852,60.4131,2000,2,1,2000-02,False
2000-02-22,ITC,10.4293,10.5759,9.76858,9.96658,50870972,-3.9394,8.87871,,,59.6779,0.617116,0.463932,0.153183,11.5309,6.22654,59.7422,2000,2,1,2000-02,False
2000-02-23,ITC,10.0693,10.5775,9.16929,9.16982,33391817,-7.9943,8.95097,,,51.7032,0.524249,0.475996,0.0482531,11.5489,6.35301,58.0487,2000,2,1,2000-02,False
2000-02-24,ITC,9.16929,9.31752,8.58695,8.92259,27808195,-2.6961,8.98477,,,49.4932,0.425794,0.465955,-0.0401617,11.5617,6.40789,57.361,2000,2,1,2000-02,False
2000-02-25,ITC,9.19788,9.19788,8.48107,8.57795,16027952,-3.8626,9.03292,,,46.5087,0.316311,0.436026,-0.119715,11.537,6.52885,55.4431,2000,2,1,2000-02,False
2000-02-28,ITC,8.68224,8.88183,8.32331,8.50754,15596138,-0.8208,9.09185,,,45.8997,0.221313,0.393084,-0.171771,11.4799,6.70382,52.5312,2000,2,1,2000-02,False
2000-02-29,ITC,8.57636,8.67165,7.82725,7.90772,60839513,-7.0505,9.11583,,,40.9774,0.0965133,0.33377,-0.237256,11.4423,6.78931,51.0435,2000,2,1,2000-02,False
2000-03-01,ITC,7.83625,8.30107,7.51755,7.98078,40871260,0.9239,9.13684,,,41.7962,0.00346396,0.267708,-0.264245,11.4112,6.86248,49.7844,2000,3,1,2000-03,False
2000-03-02,ITC,8.05754,8.25872,7.56414,7.67214,49994914,-3.8673,9.14505,,,39.315,-0.0940982,0.195347,-0.289445,11.3957,6.89437,49.2218,2000,3,1,2000-03,False
2000-03-03,ITC,7.79284,7.79284,7.05856,7.15067,32555108,-6.7969,9.13438,,,35.4825,-0.211062,0.114065,-0.325128,11.4223,6.84645,50.0951,2000,3,1,2000-03,False
2000-03-06,ITC,7.37991,7.72296,7.37991,7.72296,22249948,8.0033,9.12491,,,42.1478,-0.254643,0.0403237,-0.294966,11.4356,6.8142,50.6461,2000,3,1,2000-03,False
