Date,Ticker,Open,High,Low,Close,Volume,Daily_Return_Pct,MA20,MA50,MA200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,Year,Month,Quarter,Year_Month,Price_Repaired
2003-05-08,JSWSTEEL,8.28808,8.46075,7.68374,7.85641,187943,,,,,,0.0,0.0,0.0,,,,2003,5,2,2003-05,False
2003-05-09,JSWSTEEL,8.02908,8.11542,7.85641,8.11542,114799,3.2968,,,,,0.0206618,0.00413235,0.0165294,,,,2003,5,2,2003-05,False
2003-05-12,JSWSTEEL,8.11541,8.89242,8.11541,8.63342,752170,6.3829,,,,,0.0779362,0.0188931,0.0590431,,,,2003,5,2,2003-05,False
2003-05-13,JSWSTEEL,8.89242,8.97876,8.54709,8.63342,526229,0.0,,,,,0.121921,0.0394988,0.0824225,,,,2003,5,2,2003-05,False
2003-05-14,JSWSTEEL,8.80609,9.92843,8.63342,9.41043,797615,9.0,,,,,0.216977,0.0749943,0.141982,,,,2003,5,2,2003-05,False
2003-05-15,JSWSTEEL,9.49676,9.66943,9.32409,9.41043,868012,0.0,,,,,0.288978,0.117791,0.171187,,,,2003,5,2,2003-05,False
2003-05-16,JSWSTEEL,9.49676,9.66943,9.15143,9.32409,446810,-0.9175,,,,,0.335208,0.161274,0.173934,,,,2003,5,2,2003-05,False
2003-05-19,JSWSTEEL,9.49676,9.5831,9.06509,9.15143,445551,-1.8518,,,,,0.353835,0.199786,0.154048,,,,2003,5,2,2003-05,False
2003-05-20,JSWSTEEL,9.06509,9.23776,8.80609,8.89242,262185,-2.8303,,,,,0.343734,0.228576,0.115158,,,,2003,5,2,2003-05,False
2003-05-21,JSWSTEEL,9.06509,9.8421,8.97876,9.66943,598363,8.7379,,,,,0.393888,0.261638,0.132249,,,,2003,5,2,2003-05,False
2003-05-22,JSWSTEEL,9.92843,10.4464,9.41043,10.3601,1612429,7.1428,,,,,0.483789,0.306068,0.17772,,,,2003,5,2,2003-05,False
2003-05-23,JSWSTEEL,10.7054,10.8781,10.3601,10.7918,904729,4.1669,,,,,0.583148,0.361484,0.221664,,,,2003,5,2,2003-05,False
2003-05-26,JSWSTEEL,10.9644,11.5688,10.8781,11.3961,1251600,5.5996,,,,,0.702555,0.429699,0.272857,,,,2003,5,2,2003-05,False
2003-05-27,JSWSTEEL,11.7415,11.7415,10.7918,10.8781,1049293,-4.5454,,,,,0.746779,0.493115,0.253664,,,,2003,5,2,2003-05,False
2003-05-28,JSWSTEEL,11.2234,11.3098,10.8781,11.0508,574205,1.5876,,,,80.328,0.786694,0.551831,0.234863,,,,2003,5,2,2003-05,False
2003-05-29,JSWSTEEL,11.2234,11.6551,11.1371,11.4824,1040854,3.9056,,,,81.9234,0.84343,0.610151,0.23328,,,,2003,5,2,2003-05,False
2003-05-30,JSWSTEEL,11.5688,12.1731,11.5688,11.8278,1371874,3.0081,,,,83.1043,0.905824,0.669285,0.236539,,,,2003,5,2,2003-05,False
2003-06-02,JSWSTEEL,12.0005,12.6911,11.9141,12.1731,1529006,2.9194,,,,84.2145,0.97193,0.729814,0.242116,,,,2003,6,2,2003-06,False
2003-06-03,JSWSTEEL,12.4321,12.5185,11.6551,11.8278,894201,-2.8366,,,,78.6488,0.985101,0.780872,0.20423,,,,2003,6,2,2003-06,False
2003-06-04,JSWSTEEL,12.0868,12.2595,11.8278,12.0868,810372,2.1898,10.1486,,,79.7309,1.00486,0.825668,0.179187,12.9465,7.35063,55.1397,2003,6,2,2003-06,False
2003-06-05,JSWSTEEL,11.9141,12.3458,11.8278,11.8278,815897,-2.1428,10.3472,,,75.6045,0.98822,0.858179,0.130041,13.0211,7.6732,51.6848,2003,6,2,2003-06,False
2003-06-06,JSWSTEEL,11.8278,12.1731,11.7415,11.8278,473320,0.0,10.5328,,,75.6045,0.963925,0.879328,0.0845967,13.0661,7.99941,48.1044,2003,6,2,2003-06,False
2003-06-09,JSWSTEEL,12.0005,13.0365,11.7415,12.8638,2252565,8.759,10.7443,,,80.3276,1.01655,0.906772,0.109777,13.3161,8.17252,47.8723,2003,6,2,2003-06,False
2003-06-10,JSWSTEEL,13.1228,13.3818,11.7415,11.9141,3064916,-7.3827,10.9083,,,67.4382,0.970434,0.919504,0.0509299,13.3272,8.48949,44.3484,2003,6,2,2003-06,False
2003-06-11,JSWSTEEL,12.2595,12.7775,12.0868,12.1731,1080908,2.1739,11.0465,,,68.9036,0.943907,0.924385,0.0195219,13.4202,8.67268,42.9781,2003,6,2,2003-06,False
2003-06-12,JSWSTEEL,12.1731,12.7775,12.1731,12.4321,1091158,2.1276,11.1975,,,70.3411,0.933027,0.926113,0.00691389,13.5169,8.87818,41.4262,2003,6,2,2003-06,False
2003-06-13,JSWSTEEL,13.1228,13.1228,12.2595,12.3458,513633,-0.6942,11.3486,,,69.1934,0.906986,0.922288,-0.0153017,13.5445,9.15273,38.699,2003,6,2,2003-06,False
2003-06-16,JSWSTEEL,12.5185,12.5185,12.0005,12.1731,494274,-1.3989,11.4997,,,66.8428,0.862471,0.910325,-0.0478534,13.4625,9.5369,34.1367,2003,6,2,2003-06,False
2003-06-17,JSWSTEEL,12.4321,12.4321,12.0868,12.1731,397431,0.0,11.6637,,,66.8428,0.817766,0.891813,-0.0740469,13.2141,10.1134,26.5844,2003,6,2,2003-06,False
2003-06-18,JSWSTEEL,12.2595,12.3458,12.0005,12.0868,771932,-0.7089,11.7846,,,65.5522,0.766537,0.866758,-0.100221,13.0266,10.5426,21.0778,2003,6,2,2003-06,False
2003-06-19,JSWSTEEL,12.0868,12.5185,12.0868,12.2595,876131,1.4288,11.8796,,,66.9283,0.731441,0.839694,-0.108253,12.9401,10.819,17.8551,2003,6,2,2003-06,False
2003-06-20,JSWSTEEL,12.2595,12.6048,12.1731,12.4321,978983,1.4079,11.9616,,,68.2916,0.709378,0.813631,-0.104253,12.9164,11.0068,15.9641,2003,6,2,2003-06,False
2003-06-23,JSWSTEEL,12.5185,13.3818,12.3458,12.6911,2939241,2.0833,12.0263,,,70.272,0.704669,0.791839,-0.08717,12.9952,11.0575,16.1121,2003,6,2,2003-06,False
2003-06-24,JSWSTEEL,12.6911,14.5041,12.6911,14.3315,4740127,12.9256,12.199,,,79.1529,0.823807,0.798232,0.0255745,13.4852,10.9128,21.0865,2003,6,2,2003-06,False
2003-06-25,JSWSTEEL,15.2812,15.4538,14.4178,15.0222,4424727,4.8195,12.3976,,,81.6399,0.962859,0.831158,0.131701,14.0972,10.698,27.4182,2003,6,2,2003-06,False
2003-06-26,JSWSTEEL,15.3675,15.6265,14.8495,14.9358,2194324,-0.5751,12.5703,,,80.3486,1.05394,0.875714,0.178224,14.556,10.5845,31.5939,2003,6,2,2003-06,False
2003-06-27,JSWSTEEL,15.1948,15.3675,14.3315,15.1948,2389118,1.7341,12.7386,,,81.3033,1.13395,0.92736,0.206586,15.0097,10.4675,35.6568,2003,6,2,2003-06,False
2003-06-30,JSWSTEEL,16.4035,16.5762,15.4538,16.1445,2949997,6.2502,12.9372,,,84.3128,1.25947,0.993782,0.265687,15.6513,10.223,41.9589,2003,6,2,2003-06,False
2003-07-01,JSWSTEEL,16.5762,17.9575,15.9718,17.6122,4565927,9.091,13.2264,,,87.6273,1.46054,1.08713,0.373407,16.5963,9.85645,50.9579,2003,7,3,2003-07,False
2003-07-02,JSWSTEEL,18.1302,21.1519,18.1302,20.1159,9536891,14.2157,13.6279,,,91.0869,1.80116,1.22994,0.571218,18.1442,9.11153,66.2808,2003,7,3,2003-07,False
2003-07-03,JSWSTEEL,20.3749,21.4109,19.0799,19.5115,4809379,-3.0046,14.012,,,84.9142,1.99928,1.38381,0.615474,19.1483,8.87575,73.3125,2003,7,3,2003-07,False
2003-07-04,JSWSTEEL,17.5258,19.8569,17.5258,18.9935,3379276,-2.6548,14.3703,,,79.9157,2.0904,1.52513,0.565275,19.8531,8.88756,76.3068,2003,7,3,2003-07,False
2003-07-07,JSWSTEEL,19.8569,20.3749,18.6482,20.1159,3654417,5.9094,14.7329,,,82.3413,2.2275,1.6656,0.561903,20.7312,8.73467,81.4266,2003,7,3,2003-07,False
2003-07-08,JSWSTEEL,20.6339,20.7202,19.0799,19.3389,2624569,-3.8626,15.1042,,,75.5399,2.24755,1.78199,0.465563,21.2842,8.92417,81.8317,2003,7,3,2003-07,False
2003-07-09,JSWSTEEL,19.2525,19.6842,18.3892,18.6482,2894077,-3.5716,15.4279,,,70.0044,2.18255,1.8621,0.320448,21.6397,9.21611,80.5268,2003,7,3,2003-07,False
2003-07-10,JSWSTEEL,18.8209,19.0799,18.2165,18.3892,1788381,-1.3889,15.7258,,,67.9923,2.08609,1.9069,0.179189,21.9039,9.54762,78.5737,2003,7,3,2003-07,False
2003-07-11,JSWSTEEL,18.3028,19.3389,18.3028,18.3892,1829012,0.0,16.0279,,,67.9923,1.98674,1.92287,0.0638724,22.1003,9.95559,75.7722,2003,7,3,2003-07,False
2003-07-14,JSWSTEEL,18.9935,19.3389,18.3028,18.9072,2215126,2.8169,16.3647,,,69.9928,1.92759,1.92381,0.00377303,22.2818,10.4475,72.3167,2003,7,3,2003-07,False
2003-07-15,JSWSTEEL,18.9072,19.4252,17.9575,18.8209,2406232,-0.4564,16.697,,,69.2167,1.85239,1.90953,-0.0571403,22.3644,11.0297,67.8849,2003,7,3,2003-07,False
