Date,Ticker,Open,High,Low,Close,Volume,Daily_Return_Pct,MA20,MA50,MA200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,Year,Month,Quarter,Year_Month,Price_Repaired
2001-07-02,KOTAKBANK,0.44,0.46,0.44,0.44,554000,,,,,,0.0,0.0,0.0,,,,2001,7,3,2001-07,False
2001-07-03,KOTAKBANK,0.46,0.46,0.44,0.44,387600,0.0,,,,,0.0,0.0,0.0,,,,2001,7,3,2001-07,False
2001-07-04,KOTAKBANK,0.45,0.45,0.44,0.45,246800,2.273,,,,,0.0008,0.0002,0.0006,,,,2001,7,3,2001-07,False
2001-07-05,KOTAKBANK,0.45,0.46,0.44,0.45,313500,0.0,,,,,0.0014,0.0004,0.001,,,,2001,7,3,2001-07,False
2001-07-06,KOTAKBANK,0.45,0.45,0.43,0.44,589000,-2.222,,,,,0.0011,0.0005,0.0005,,,,2001,7,3,2001-07,False
2001-07-09,KOTAKBANK,0.44,0.45,0.43,0.44,710900,0.0,,,,,0.0008,0.0006,0.0002,,,,2001,7,3,2001-07,False
2001-07-10,KOTAKBANK,0.43,0.44,0.42,0.43,473000,-2.273,,,,,-0.0002,0.0004,-0.0006,,,,2001,7,3,2001-07,False
2001-07-11,KOTAKBANK,0.46,0.46,0.42,0.42,388900,-2.326,,,,,-0.0018,-0.0,-0.0018,,,,2001,7,3,2001-07,False
2001-07-12,KOTAKBANK,0.43,0.43,0.42,0.42,177000,0.0,,,,,-0.003,-0.0006,-0.0024,,,,2001,7,3,2001-07,False
2001-07-13,KOTAKBANK,0.42,0.44,0.41,0.41,400000,-2.381,,,,,-0.0048,-0.0014,-0.0033,,,,2001,7,3,2001-07,False
2001-07-16,KOTAKBANK,0.41,0.42,0.41,0.41,209500,0.0,,,,,-0.0061,-0.0024,-0.0037,,,,2001,7,3,2001-07,False
2001-07-17,KOTAKBANK,0.41,0.42,0.41,0.42,448900,2.439,,,,,-0.0062,-0.0031,-0.0031,,,,2001,7,3,2001-07,False
2001-07-18,KOTAKBANK,0.41,0.42,0.39,0.41,304000,-2.381,,,,,-0.0071,-0.0039,-0.0031,,,,2001,7,3,2001-07,False
2001-07-19,KOTAKBANK,0.41,0.41,0.41,0.41,345500,0.0,,,,,-0.0076,-0.0047,-0.003,,,,2001,7,3,2001-07,False
2001-07-20,KOTAKBANK,0.41,0.41,0.4,0.4,285300,-2.439,,,,25.0,-0.0088,-0.0055,-0.0033,,,,2001,7,3,2001-07,False
2001-07-23,KOTAKBANK,0.38,0.41,0.38,0.41,10500,2.5,,,,33.898,-0.0088,-0.0062,-0.0027,,,,2001,7,3,2001-07,False
2001-07-24,KOTAKBANK,0.33,0.4,0.33,0.37,470600,-9.756,,,,22.433,-0.0119,-0.0073,-0.0046,,,,2001,7,3,2001-07,False
2001-07-25,KOTAKBANK,0.37,0.39,0.36,0.38,723900,2.703,,,,28.907,-0.0134,-0.0085,-0.0049,,,,2001,7,3,2001-07,False
2001-07-26,KOTAKBANK,0.39,0.39,0.37,0.39,372400,2.632,,,,34.77,-0.0136,-0.0095,-0.0041,,,,2001,7,3,2001-07,False
