Date,Ticker,Open,High,Low,Close,Volume,Daily_Return_Pct,MA20,MA50,MA200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,Year,Month,Quarter,Year_Month,Price_Repaired
2000-01-03,M&M,36.2939,36.2979,35.9416,36.2979,537560,,,,,,0.0,0.0,0.0,,,,2000,1,1,2000-01,False
2000-01-04,M&M,39.2003,39.2043,39.2003,39.2043,299760,8.0071,,,,,0.231849,0.0463699,0.18548,,,,2000,1,1,2000-01,False
2000-01-05,M&M,42.3429,42.3429,36.1217,41.2219,1820968,5.1465,,,,,0.571809,0.151458,0.420351,,,,2000,1,1,2000-01,False
2000-01-06,M&M,42.2748,44.0363,41.4742,41.9986,1590960,1.8841,,,,,0.893597,0.299886,0.593712,,,,2000,1,1,2000-01,False
2000-01-07,M&M,41.234,41.7944,39.2323,39.7447,728416,-5.3665,,,,,0.955732,0.431055,0.524677,,,,2000,1,1,2000-01,False
2000-01-10,M&M,40.8256,42.8353,39.3684,39.8088,667632,0.1612,,,,,0.998631,0.54457,0.454061,,,,2000,1,1,2000-01,False
2000-01-11,M&M,41.1539,42.9954,40.8416,42.6591,2003056,7.1601,,,,,1.24824,0.685304,0.562935,,,,2000,1,1,2000-01,False
2000-01-12,M&M,43.2356,44.0363,39.2483,39.2523,1088072,-7.9861,,,,,1.15781,0.779805,0.378003,,,,2000,1,1,2000-01,False
2000-01-13,M&M,41.314,41.6343,37.2707,39.9529,687632,1.7848,,,,,1.12965,0.849774,0.279876,,,,2000,1,1,2000-01,False
2000-01-14,M&M,40.033,42.0346,39.2403,41.5542,635584,4.008,,,,,1.22245,0.92431,0.298145,,,,2000,1,1,2000-01,False
2000-01-17,M&M,43.0755,44.881,43.0755,44.881,1304032,8.0058,,,,,1.54662,1.04877,0.497844,,,,2000,1,1,2000-01,False
2000-01-18,M&M,45.6376,47.7153,44.0563,45.9538,2344184,2.3905,,,,,1.86855,1.21273,0.655822,,,,2000,1,1,2000-01,False
2000-01-19,M&M,48.1196,49.6329,45.7977,47.9755,2619848,4.3994,,,,,2.26075,1.42233,0.838422,,,,2000,1,1,2000-01,False
2000-01-20,M&M,47.8754,47.8754,45.3173,45.8257,857464,-4.481,,,,,2.37078,1.61202,0.75876,,,,2000,1,1,2000-01,False
2000-01-21,M&M,46.8386,46.8386,43.5559,44.0363,732360,-3.9049,,,,64.3632,2.28722,1.74706,0.540157,,,,2000,1,1,2000-01,False
2000-01-24,M&M,43.1636,44.0283,40.9337,41.2099,366120,-6.4182,,,,57.8291,1.97022,1.79169,0.178529,,,,2000,1,1,2000-01,False
2000-01-25,M&M,41.314,41.6143,39.3284,40.6134,729352,-1.4475,,,,56.5249,1.65183,1.76372,-0.111893,,,,2000,1,1,2000-01,False
2000-01-26,M&M,40.6134,40.6134,40.6134,40.6134,0,0.0,,,,56.5249,1.38355,1.68769,-0.304138,,,,2000,1,1,2000-01,False
2000-01-27,M&M,43.2356,43.2356,38.0313,39.9769,741040,-1.5673,,,,54.99,1.10681,1.57151,-0.464698,,,,2000,1,1,2000-01,False
2000-01-28,M&M,40.6735,41.6263,40.033,40.9217,454952,2.3633,41.6851,,,56.8624,0.952753,1.44776,-0.495007,47.2927,36.0776,26.9042,2000,1,1,2000-01,False
2000-01-31,M&M,40.5934,41.4341,40.033,40.6535,317448,-0.6554,41.9029,,,56.1483,0.799796,1.31817,-0.518371,46.9387,36.8672,24.0353,2000,1,1,2000-01,False
2000-02-01,M&M,40.7536,41.1339,38.0313,38.5878,1078464,-5.0812,41.8721,,,50.8516,0.506058,1.15574,-0.649687,46.9844,36.7598,24.4185,2000,2,1,2000-02,False
2000-02-02,M&M,40.033,41.6783,39.8728,41.6783,718440,8.0091,41.8949,,,57.3361,0.516694,1.02793,-0.511241,46.999,36.7908,24.3663,2000,2,1,2000-02,False
2000-02-03,M&M,43.2356,44.7328,41.238,41.5702,416304,-0.2593,41.8735,,,57.0526,0.510516,0.924451,-0.413935,46.9794,36.7676,24.3872,2000,2,1,2000-02,False
2000-02-04,M&M,41.314,41.8665,40.1131,40.7696,253632,-1.926,41.9247,,,54.8876,0.435989,0.826758,-0.39077,46.9607,36.8887,24.0241,2000,2,1,2000-02,False
2000-02-07,M&M,39.7928,41.0658,39.7928,40.5014,232224,-0.6579,41.9594,,,54.1462,0.351232,0.731653,-0.380421,46.9434,36.9753,23.7564,2000,2,1,2000-02,False
2000-02-08,M&M,41.226,43.744,41.226,43.744,971896,8.0063,42.0136,,,61.0034,0.539499,0.693222,-0.153723,47.053,36.9742,23.9893,2000,2,1,2000-02,False
2000-02-09,M&M,46.4383,47.1588,41.6343,42.3709,1118936,-3.139,42.1695,,,57.1088,0.571317,0.668841,-0.0975244,47.0393,37.2998,23.0962,2000,2,1,2000-02,False
2000-02-10,M&M,42.8553,45.7617,42.8553,45.7377,3064944,7.946,42.4588,,,63.2962,0.858309,0.706735,0.151574,47.4596,37.4579,23.5562,2000,2,1,2000-02,False
2000-02-11,M&M,47.1588,49.3967,47.1588,49.3967,3020944,8.0,42.8509,,,68.598,1.36527,0.838441,0.526824,48.7094,36.9924,27.3438,2000,2,1,2000-02,False
2000-02-14,M&M,52.8035,53.1638,49.6409,52.3471,3395328,5.973,43.2242,,,72.098,1.98226,1.0672,0.915053,50.4251,36.0233,33.3188,2000,2,1,2000-02,False
2000-02-15,M&M,50.0412,50.2774,48.1597,48.1597,450472,-7.9994,43.3345,,,61.6035,2.10902,1.27557,0.833456,50.775,35.894,34.3399,2000,2,1,2000-02,False
2000-02-16,M&M,48.7602,48.8402,44.3085,44.3085,147280,-7.9967,43.1511,,,53.8414,1.87709,1.39587,0.481219,50.2845,36.0178,33.0622,2000,2,1,2000-02,False
2000-02-17,M&M,40.8537,44.7489,40.7656,42.3909,1182056,-4.3278,42.9794,,,50.4339,1.52102,1.4209,0.100117,50.0062,35.9526,32.6986,2000,2,1,2000-02,False
2000-02-18,M&M,42.0346,43.1155,39.2483,39.7127,1741096,-6.3179,42.7632,,,46.0503,1.01107,1.33893,-0.32787,49.918,35.6084,33.4623,2000,2,1,2000-02,False
2000-02-21,M&M,40.4333,41.234,39.3924,40.6575,989320,2.379,42.7356,,,47.7748,0.675372,1.20622,-0.53085,49.9198,35.5514,33.6218,2000,2,1,2000-02,False
2000-02-22,M&M,39.3324,41.6343,39.3324,41.266,2016696,1.4967,42.7682,,,48.9076,0.453212,1.05562,-0.602409,49.9177,35.6187,33.4337,2000,2,1,2000-02,False
2000-02-23,M&M,41.9546,44.4366,41.0738,41.214,593216,-0.1261,42.7983,,,48.81,0.269837,0.898464,-0.628627,49.9146,35.6819,33.2554,2000,2,1,2000-02,False
2000-02-24,M&M,42.0346,44.4206,40.3532,41.1379,1270200,-0.1846,42.8563,,,48.6573,0.117023,0.742175,-0.625152,49.8943,35.8183,32.8446,2000,2,1,2000-02,False
2000-02-25,M&M,42.7552,42.7552,39.2323,39.7247,226032,-3.4351,42.7965,,,45.7912,-0.116766,0.570387,-0.687153,49.9235,35.6694,33.3067,2000,2,1,2000-02,False
2000-02-28,M&M,39.2323,41.0738,38.1114,40.8536,496560,2.8419,42.8065,,,48.4058,-0.208547,0.4146,-0.623147,49.9214,35.6915,33.2423,2000,2,1,2000-02,False
2000-02-29,M&M,40.2732,40.9898,38.0313,38.6038,847288,-5.5071,42.8073,,,43.865,-0.457554,0.24017,-0.697724,49.9202,35.6943,33.2323,2000,2,1,2000-02,False
2000-03-01,M&M,39.2323,39.2323,35.5493,36.8664,688080,-4.5007,42.5667,,,40.6905,-0.786029,0.0349298,-0.820959,50.1503,34.983,35.632,2000,3,1,2000-03,False
2000-03-02,M&M,37.631,37.639,33.9199,33.9239,944560,-7.9813,42.1843,,,35.9461,-1.26915,-0.225886,-1.04326,50.6939,33.6748,40.3448,2000,3,1,2000-03,False
2000-03-03,M&M,31.2257,32.0184,31.2217,31.3338,1154080,-7.6351,41.7126,,,32.3683,-1.83982,-0.548671,-1.29114,51.5024,31.9227,46.9395,2000,3,1,2000-03,False
2000-03-06,M&M,31.8622,32.6869,30.5452,32.2225,433704,2.8363,41.2986,,,34.7675,-2.19506,-0.877949,-1.31711,51.9649,30.6323,51.6547,2000,3,1,2000-03,False
2000-03-07,M&M,31.4659,31.626,29.6444,29.6484,296216,-7.9886,40.5938,,,31.3037,-2.65371,-1.2331,-1.42061,52.3834,28.8043,58.0856,2000,3,1,2000-03,False
2000-03-08,M&M,29.3922,31.7862,27.6227,28.0271,391096,-5.4685,39.8766,,,29.3222,-3.11215,-1.60891,-1.50324,52.8924,26.8609,65.2803,2000,3,1,2000-03,False
2000-03-09,M&M,28.2633,28.2633,25.7852,25.7852,463136,-7.9988,38.879,,,26.7964,-3.61469,-2.01007,-1.60463,53.0138,24.7442,72.7116,2000,3,1,2000-03,False
2000-03-10,M&M,26.3417,27.8509,25.6211,27.8509,679320,8.0112,37.8017,40.2949,,32.5609,-3.80245,-2.36854,-1.4339,51.8453,23.7582,74.301,2000,3,1,2000-03,False
2000-03-13,M&M,28.3193,30.0808,27.6227,30.0808,537496,8.0063,36.6884,40.1706,,38.2166,-3.72834,-2.6405,-1.08784,49.338,24.0389,68.9567,2000,3,1,2000-03,False
2000-03-14,M&M,31.9223,32.0664,30.0247,31.0175,1145016,3.1142,35.8313,40.0069,,40.4751,-3.55306,-2.82301,-0.730044,47.4926,24.17,65.0899,2000,3,1,2000-03,False
2000-03-15,M&M,30.8174,30.8174,28.5395,28.5395,134040,-7.9892,35.0429,39.7532,,36.6577,-3.57292,-2.97299,-0.599923,46.4197,23.666,64.9311,2000,3,1,2000-03,False
2000-03-16,M&M,26.8221,28.0231,26.2576,26.2576,643488,-7.9955,34.2362,39.4384,,33.5223,-3.72979,-3.12435,-0.605437,45.7068,22.7656,67.0085,2000,3,1,2000-03,False
2000-03-17,M&M,26.2576,26.2576,26.2576,26.2576,0,0.0,33.5634,39.1687,,33.5223,-3.81019,-3.26152,-0.548671,45.2577,21.8692,69.6846,2000,3,1,2000-03,False
