Date,Ticker,Open,High,Low,Close,Volume,Daily_Return_Pct,MA20,MA50,MA200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,Year,Month,Quarter,Year_Month,Price_Repaired
2003-07-09,MARUTI,140.104,144.777,131.692,139.594,35164284,,,,,,0.0,0.0,0.0,,,,2003,7,3,2003-07,False
2003-07-10,MARUTI,141.888,143.332,139.764,141.888,10464179,1.6433,,,,,0.182997,0.0365994,0.146398,,,,2003,7,3,2003-07,False
2003-07-11,MARUTI,142.525,148.557,141.251,147.283,11740117,3.8023,,,,,0.754656,0.180211,0.574445,,,,2003,7,3,2003-07,False
2003-07-14,MARUTI,148.048,152.296,148.048,151.191,5982324,2.6534,,,,,1.50569,0.445306,1.06038,,,,2003,7,3,2003-07,False
2003-07-15,MARUTI,169.926,169.926,146.986,149.704,6173689,-0.9835,,,,,1.95832,0.747909,1.21041,,,,2003,7,3,2003-07,False
2003-07-16,MARUTI,149.917,152.168,148.982,150.469,3759085,0.511,,,,,2.35166,1.06866,1.283,,,,2003,7,3,2003-07,False
2003-07-17,MARUTI,150.809,151.234,144.989,146.306,3814181,-2.7667,,,,,2.30094,1.31511,0.985822,,,,2003,7,3,2003-07,False
2003-07-18,MARUTI,140.189,146.051,135.94,142.228,5375212,-2.7873,,,,,1.90966,1.43402,0.475641,,,,2003,7,3,2003-07,False
2003-07-21,MARUTI,143.587,143.927,138.532,140.104,3315845,-1.4934,,,,,1.41191,1.4296,-0.0176873,,,,2003,7,3,2003-07,False
2003-07-22,MARUTI,139.339,143.715,137.725,142.1,4627992,1.4247,,,,,1.16507,1.3767,-0.211622,,,,2003,7,3,2003-07,False
2003-07-23,MARUTI,144.862,151.234,144.267,148.43,13262249,4.4546,,,,,1.46336,1.39403,0.0693321,,,,2003,7,3,2003-07,False
2003-07-24,MARUTI,149.45,150.384,146.858,147.92,4305936,-0.3436,,,,,1.6397,1.44316,0.196538,,,,2003,7,3,2003-07,False
2003-07-25,MARUTI,148.175,148.685,146.221,147.538,2832967,-0.2582,,,,,1.7287,1.50027,0.22843,,,,2003,7,3,2003-07,False
2003-07-28,MARUTI,159.73,159.73,148.77,151.956,5415867,2.9945,,,,,2.13116,1.62645,0.504713,,,,2003,7,3,2003-07,False
2003-07-29,MARUTI,152.891,155.397,152.168,153.188,5229181,0.8108,,,,67.3916,2.52047,1.80525,0.71522,,,,2003,7,3,2003-07,False
2003-07-30,MARUTI,153.995,156.969,153.018,153.868,4632246,0.4439,,,,67.9914,2.85101,2.01441,0.836606,,,,2003,7,3,2003-07,False
2003-07-31,MARUTI,154.377,156.034,152.636,153.655,3562717,-0.1384,,,,67.5722,3.0605,2.22362,0.836874,,,,2003,7,3,2003-07,False
2003-08-01,MARUTI,154.632,160.58,151.871,159.008,8027285,3.4838,,,,72.21,3.61677,2.50225,1.11452,,,,2003,8,3,2003-08,False
2003-08-04,MARUTI,159.603,168.651,157.181,167.886,9982429,5.5834,,,,77.8644,4.71959,2.94572,1.77387,,,,2003,8,3,2003-08,False
2003-08-05,MARUTI,169.076,172.857,163.851,164.488,9651327,-2.024,149.94,,,71.8394,5.25878,3.40833,1.85045,165.044,134.836,20.1468,2003,8,3,2003-08,False
2003-08-06,MARUTI,162.704,167.801,161.302,162.789,7451054,-1.0329,151.1,,,68.966,5.48576,3.82382,1.66194,166.42,135.78,20.2775,2003,8,3,2003-08,False
2003-08-07,MARUTI,164.403,166.527,163.341,166.017,3223676,1.9829,152.306,,,71.3137,5.85858,4.23077,1.62781,168.355,136.258,21.0735,2003,8,3,2003-08,False
2003-08-08,MARUTI,167.377,168.991,166.527,167.504,2530289,0.8957,153.317,,,72.3513,6.20253,4.62512,1.57741,170.538,136.097,22.4641,2003,8,3,2003-08,False
2003-08-11,MARUTI,168.311,173.154,166.527,171.795,5651311,2.5617,154.348,,,75.1452,6.74362,5.04882,1.6948,173.4,135.295,24.6881,2003,8,3,2003-08,False
2003-08-12,MARUTI,173.154,180.121,172.899,178.804,8215213,4.0799,155.803,,,78.8964,7.64983,5.56902,2.08081,177.608,133.997,27.991,2003,8,3,2003-08,False
2003-08-13,MARUTI,180.971,186.493,180.121,185.049,7839204,3.4927,157.532,,,81.566,8.77082,6.20938,2.56144,182.77,132.293,32.0422,2003,8,3,2003-08,False
2003-08-14,MARUTI,189.467,190.656,182.67,183.987,6298655,-0.5739,159.416,,,79.7192,9.46442,6.86039,2.60403,186.671,132.161,34.1937,2003,8,3,2003-08,False
2003-08-15,MARUTI,183.987,183.987,183.987,183.987,0,0.0,161.504,,,79.7192,9.89998,7.46831,2.43167,189.6,133.407,34.7933,2003,8,3,2003-08,False
