Date,Ticker,Open,High,Low,Close,Volume,Daily_Return_Pct,MA20,MA50,MA200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,Year,Month,Quarter,Year_Month,Price_Repaired
2002-08-12,NESTLEIND,417.127,420.781,414.582,414.705,7100,,,,,,0.0,0.0,0.0,,,,2002,8,3,2002-08,False
2002-08-13,NESTLEIND,413.351,422.792,413.351,417.907,8800,0.772,,,,,0.255408,0.0510816,0.204326,,,,2002,8,3,2002-08,False
2002-08-14,NESTLEIND,412.202,422.792,412.202,422.299,18700,1.051,,,,,0.802972,0.20146,0.601512,,,,2002,8,3,2002-08,False
2002-08-15,NESTLEIND,422.299,422.299,422.299,422.299,0,0.0,,,,,1.22282,0.405733,0.817092,,,,2002,8,3,2002-08,False
2002-08-16,NESTLEIND,423.613,424.311,418.687,419.508,9400,-0.661,,,,,1.31516,0.587619,0.727545,,,,2002,8,3,2002-08,False
2002-08-19,NESTLEIND,422.792,426.035,420.37,421.15,9100,0.3914,,,,,1.5035,0.770795,0.732707,,,,2002,8,3,2002-08,False
2002-08-20,NESTLEIND,424.023,449.35,421.396,429.606,87200,2.0078,,,,,2.30846,1.07833,1.23013,,,,2002,8,3,2002-08,False
2002-08-21,NESTLEIND,435.106,438.226,425.255,426.65,26000,-0.6879,,,,,2.67707,1.39808,1.27899,,,,2002,8,3,2002-08,False
2002-08-22,NESTLEIND,427.718,435.927,424.064,430.878,17700,0.991,,,,,3.27263,1.77299,1.49964,,,,2002,8,3,2002-08,False
2002-08-23,NESTLEIND,439.211,469.586,439.211,461.295,701900,7.0591,,,,,6.1283,2.64405,3.48425,,,,2002,8,3,2002-08,False
2002-08-26,NESTLEIND,459.735,459.735,435.106,448.57,50100,-2.7585,,,,,7.28074,3.57139,3.70935,,,,2002,8,3,2002-08,False
2002-08-27,NESTLEIND,448.241,458.093,448.241,453.167,29100,1.0249,,,,,8.46742,4.55059,3.91682,,,,2002,8,3,2002-08,False
2002-08-28,NESTLEIND,444.137,457.272,444.137,455.917,20100,0.6069,,,,,9.52004,5.54448,3.97556,,,,2002,8,3,2002-08,False
2002-08-29,NESTLEIND,455.63,466.261,449.883,454.686,138400,-0.2701,,,,,10.138,6.46319,3.67483,,,,2002,8,3,2002-08,False
2002-08-30,NESTLEIND,455.712,459.653,453.988,455.671,39400,0.2166,,,,75.4853,10.5853,7.2876,3.29765,,,,2002,8,3,2002-08,False
2002-09-02,NESTLEIND,458.503,460.966,457.272,458.873,22900,0.7027,,,,76.4937,11.0704,8.04417,3.02626,,,,2002,9,3,2002-09,False
2002-09-03,NESTLEIND,459.735,460.145,456.451,458.298,8400,-0.1253,,,,75.8902,11.2785,8.69104,2.5875,,,,2002,9,3,2002-09,False
2002-09-04,NESTLEIND,453.208,459.735,453.208,459.078,7800,0.1702,,,,76.165,11.3753,9.22789,2.14739,,,,2002,9,3,2002-09,False
2002-09-05,NESTLEIND,468.765,474.512,463.019,468.929,974200,2.1459,,,,79.3646,12.1073,9.80378,2.30354,,,,2002,9,3,2002-09,False
2002-09-06,NESTLEIND,467.944,467.944,461.377,464.168,14500,-1.0154,442.183,,,74.1813,12.163,10.2756,1.8874,479.725,404.64,16.9805,2002,9,3,2002-09,False
2002-09-09,NESTLEIND,459.735,462.772,456.164,459.817,16800,-0.9374,444.438,,,69.7016,11.721,10.5647,1.15628,480.418,408.459,16.1911,2002,9,3,2002-09,False
2002-09-10,NESTLEIND,459.817,459.817,459.817,459.817,0,0.0,446.534,,,69.7016,11.2411,10.7,0.541097,480.851,412.217,15.3703,2002,9,3,2002-09,False
2002-09-11,NESTLEIND,462.608,462.608,456.451,460.186,32400,0.0803,448.428,,,69.8807,10.7664,10.7133,0.053167,481.263,415.593,14.6444,2002,9,3,2002-09,False
2002-09-12,NESTLEIND,457.395,460.556,457.395,459.735,13200,-0.0981,450.3,,,69.3412,10.2359,10.6178,-0.381929,481.066,419.534,13.6648,2002,9,3,2002-09,False
2002-09-13,NESTLEIND,459.735,459.735,455.22,457.313,1900,-0.5268,452.19,,,66.381,9.51033,10.3963,-0.885964,479.435,424.946,12.05,2002,9,3,2002-09,False
2002-09-16,NESTLEIND,452.346,459.529,452.346,458.257,5300,0.2064,454.046,,,66.9729,8.90882,10.0988,-1.18998,477.125,430.966,10.1662,2002,9,3,2002-09,False
2002-09-17,NESTLEIND,458.093,460.515,454.891,460.104,7300,0.4031,455.57,,,68.1543,8.48338,9.77571,-1.29234,475.692,435.449,8.8334,2002,9,3,2002-09,False
2002-09-18,NESTLEIND,456.656,460.556,456.656,460.31,7800,0.0446,457.253,,,68.2901,8.06976,9.43452,-1.36476,472.139,442.368,6.5109,2002,9,3,2002-09,False
