Date,Ticker,Open,High,Low,Close,Volume,Daily_Return_Pct,MA20,MA50,MA200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,Year,Month,Quarter,Year_Month,Price_Repaired
2007-09-17,NIFTY50_INDEX,4518.45,4549.05,4482.85,4494.65,0,,,,,,0.0,0.0,0.0,,,,2007,9,3,2007-09,False
2007-09-18,NIFTY50_INDEX,4494.1,4551.8,4481.55,4546.2,0,1.1469,,,,,4.11227,0.822455,3.28982,,,,2007,9,3,2007-09,False
2007-09-19,NIFTY50_INDEX,4550.25,4739.0,4550.25,4732.35,0,4.0946,,,,,22.1368,5.08533,17.0515,,,,2007,9,3,2007-09,False
2007-09-20,NIFTY50_INDEX,4734.85,4760.85,4721.15,4747.55,0,0.3212,,,,,37.2189,11.512,25.7069,,,,2007,9,3,2007-09,False
2007-09-21,NIFTY50_INDEX,4752.95,4855.7,4733.7,4837.55,0,1.8957,,,,,55.7907,20.3678,35.4229,,,,2007,9,3,2007-09,False
2007-09-24,NIFTY50_INDEX,4837.15,4941.15,4837.15,4932.2,0,1.9566,,,,,77.2559,31.7454,45.5105,,,,2007,9,3,2007-09,False
2007-09-25,NIFTY50_INDEX,4939.1,4953.9,4878.15,4938.85,0,0.1348,,,,,93.7234,44.141,49.5824,,,,2007,9,3,2007-09,False
2007-09-26,NIFTY50_INDEX,4937.6,4980.85,4930.35,4940.5,0,0.0334,,,,,105.689,56.4506,49.2383,,,,2007,9,3,2007-09,False
2007-09-27,NIFTY50_INDEX,4942.7,5016.4,4942.7,5000.55,0,1.2155,,,,,118.649,68.8903,49.759,,,,2007,9,3,2007-09,False
2007-09-28,NIFTY50_INDEX,4996.45,5055.8,4996.45,5021.35,0,0.416,,,,,129.111,80.9344,48.1763,,,,2007,9,3,2007-09,False
2007-10-01,NIFTY50_INDEX,5021.5,5089.3,5001.35,5068.95,0,0.948,,,,,139.633,92.6741,46.9587,,,,2007,10,4,2007-10,False
2007-10-03,NIFTY50_INDEX,5069.0,5261.35,5034.15,5210.8,0,2.7984,,,,,157.601,105.659,51.9415,,,,2007,10,4,2007-10,False
2007-10-04,NIFTY50_INDEX,5211.65,5233.1,5126.05,5208.65,0,-0.0413,,,,,169.711,118.47,51.2413,,,,2007,10,4,2007-10,False
2007-10-05,NIFTY50_INDEX,5208.15,5248.55,5164.5,5185.85,0,-0.4377,,,,,175.446,129.865,45.5811,,,,2007,10,4,2007-10,False
2007-10-08,NIFTY50_INDEX,5186.25,5249.3,5024.75,5085.1,0,-1.9428,,,,85.0686,169.903,137.873,32.0305,,,,2007,10,4,2007-10,False
2007-10-09,NIFTY50_INDEX,5062.65,5348.7,5000.95,5327.25,0,4.7619,,,,88.6,182.941,146.886,36.0545,,,,2007,10,4,2007-10,False
2007-10-10,NIFTY50_INDEX,5328.15,5454.7,5328.15,5441.45,0,2.1437,,,,89.8225,200.181,157.545,42.6356,,,,2007,10,4,2007-10,False
2007-10-11,NIFTY50_INDEX,5438.9,5532.75,5424.25,5524.85,0,1.5327,,,,90.6141,218.06,169.648,48.4115,,,,2007,10,4,2007-10,False
2007-10-12,NIFTY50_INDEX,5525.3,5549.3,5402.6,5428.25,0,-1.7485,,,,82.6002,221.876,180.094,41.7825,,,,2007,10,4,2007-10,False
2007-10-15,NIFTY50_INDEX,5428.35,5682.65,5419.9,5670.4,0,4.4609,5067.17,,,85.9537,241.655,192.406,49.2488,5697.95,4436.38,24.8969,2007,10,4,2007-10,False
2007-10-16,NIFTY50_INDEX,5670.65,5708.35,5578.45,5668.05,0,-0.0414,5125.84,,,85.7809,254.209,204.767,49.4427,5750.66,4501.01,24.3793,2007,10,4,2007-10,False
2007-10-17,NIFTY50_INDEX,5658.9,5658.9,5107.3,5559.3,0,-1.9186,5176.49,,,77.9697,252.473,214.308,38.1654,5766.76,4586.22,22.8059,2007,10,4,2007-10,False
2007-10-18,NIFTY50_INDEX,5551.1,5736.8,5269.65,5351.0,0,-3.7469,5207.42,,,65.6402,231.62,217.77,13.8493,5763.55,4651.3,21.359,2007,10,4,2007-10,False
2007-10-19,NIFTY50_INDEX,5360.35,5390.85,5101.75,5215.3,0,-2.536,5230.81,,,59.0852,201.817,214.58,-12.763,5743.12,4718.5,19.5882,2007,10,4,2007-10,False
2007-10-22,NIFTY50_INDEX,5202.75,5247.4,5070.9,5184.0,0,-0.6002,5248.13,,,57.6551,173.67,206.398,-32.7278,5726.78,4769.49,18.2406,2007,10,4,2007-10,False
2007-10-23,NIFTY50_INDEX,5185.3,5488.5,5176.85,5473.7,0,5.5884,5275.21,,,65.8857,172.748,199.668,-26.9194,5739.66,4810.76,17.6088,2007,10,4,2007-10,False
2007-10-24,NIFTY50_INDEX,5477.6,5577.9,5419.4,5496.15,0,0.4101,5303.07,,,66.4303,171.849,194.104,-22.2553,5749.06,4857.09,16.8199,2007,10,4,2007-10,False
2007-10-25,NIFTY50_INDEX,5499.05,5605.95,5469.3,5568.95,0,1.3246,5334.49,,,68.2028,174.993,190.282,-15.2889,5761.05,4907.94,15.9925,2007,10,4,2007-10,False
2007-10-26,NIFTY50_INDEX,5564.25,5716.9,5513.35,5702.3,0,2.3945,5369.58,,,71.2022,186.1,189.445,-3.34573,5795.93,4943.24,15.8801,2007,10,4,2007-10,False
2007-10-29,NIFTY50_INDEX,5708.9,5922.5,5708.9,5905.9,0,3.5705,5413.81,,,75.0691,208.922,193.341,15.5815,5870.49,4957.13,16.8711,2007,10,4,2007-10,False
2007-10-30,NIFTY50_INDEX,5917.55,5976.0,5833.9,5868.75,0,-0.629,5453.8,,,73.1393,221.459,198.964,22.4945,5923.23,4984.37,17.2147,2007,10,4,2007-10,False
2007-10-31,NIFTY50_INDEX,5868.9,5952.25,5861.3,5900.65,0,0.5436,5488.29,,,73.763,231.302,205.432,25.8701,5983.23,4993.36,18.036,2007,10,4,2007-10,False
2007-11-01,NIFTY50_INDEX,5903.8,6011.95,5837.2,5866.45,0,-0.5796,5521.18,,,71.8371,233.65,211.075,22.5742,6025.21,5017.15,18.2581,2007,11,4,2007-11,False
2007-11-02,NIFTY50_INDEX,5854.85,5944.75,5714.25,5932.4,0,1.1242,5558.51,,,73.2856,238.087,216.478,21.6095,6068.52,5048.5,18.3505,2007,11,4,2007-11,False
2007-11-05,NIFTY50_INDEX,5931.9,5948.55,5819.6,5847.3,0,-1.4345,5596.62,,,68.3971,232.062,219.595,12.4676,6070.29,5122.95,16.9271,2007,11,4,2007-11,False
2007-11-06,NIFTY50_INDEX,5847.1,5957.2,5759.95,5786.5,0,-1.0398,5619.58,,,65.058,219.847,219.645,0.201894,6082.68,5156.48,16.4816,2007,11,4,2007-11,False
2007-11-07,NIFTY50_INDEX,5782.4,5861.35,5744.3,5782.35,0,-0.0717,5636.63,,,64.8254,207.44,217.204,-9.76387,6097.21,5176.05,16.3424,2007,11,4,2007-11,False
2007-11-08,NIFTY50_INDEX,5779.3,5780.8,5646.75,5698.75,0,-1.4458,5645.32,,,60.1588,188.687,211.501,-22.8138,6103.58,5187.07,16.2349,2007,11,4,2007-11,False
2007-11-12,NIFTY50_INDEX,5660.6,5660.6,5477.5,5617.1,0,-1.4328,5654.76,,,55.9244,165.33,202.267,-36.9362,6101.83,5207.7,15.8121,2007,11,4,2007-11,False
2007-11-13,NIFTY50_INDEX,5612.35,5758.85,5591.6,5695.4,0,1.394,5656.01,,,58.9112,151.393,192.092,-40.6987,6103.41,5208.62,15.8201,2007,11,4,2007-11,False
2007-11-14,NIFTY50_INDEX,5703.95,5950.2,5700.05,5937.9,0,4.2578,5669.51,,,66.486,158.093,185.292,-27.1989,6134.36,5204.65,16.3985,2007,11,4,2007-11,False
