Date,Ticker,Open,High,Low,Close,Volume,Daily_Return_Pct,MA20,MA50,MA200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,Year,Month,Quarter,Year_Month,Price_Repaired
2004-11-05,NTPC,38.1509,38.1509,30.3473,32.7534,279042883,,,,,,0.0,0.0,0.0,,,,2004,11,4,2004-11,False
2004-11-08,NTPC,33.2953,34.0757,32.515,32.6017,82638332,-0.4632,,,,,-0.0121014,-0.00242028,-0.00968114,,,,2004,11,4,2004-11,False
2004-11-09,NTPC,32.5583,32.9918,32.3199,32.645,44953063,0.1328,,,,,-0.0179906,-0.00553434,-0.0124562,,,,2004,11,4,2004-11,False
2004-11-10,NTPC,32.7317,32.9268,32.515,32.5367,20896119,-0.3318,,,,,-0.0310388,-0.0106352,-0.0204036,,,,2004,11,4,2004-11,False
2004-11-11,NTPC,32.6667,32.6884,32.2115,32.2765,19153711,-0.7997,,,,,-0.0616648,-0.0208412,-0.0408237,,,,2004,11,4,2004-11,False
2004-11-12,NTPC,32.515,35.7231,31.9297,32.3632,5104155,0.2686,,,,,-0.0780406,-0.032281,-0.0457595,,,,2004,11,4,2004-11,False
2004-11-15,NTPC,32.3632,32.3632,32.3632,32.3632,0,0.0,,,,,-0.0899813,-0.0438211,-0.0461602,,,,2004,11,4,2004-11,False
2004-11-16,NTPC,32.3849,32.4283,31.7346,31.9297,15905272,-1.3395,,,,,-0.132892,-0.0616353,-0.0712569,,,,2004,11,4,2004-11,False
2004-11-17,NTPC,31.9514,32.6017,31.8647,31.908,24043420,-0.068,,,,,-0.166729,-0.082654,-0.0840746,,,,2004,11,4,2004-11,False
2004-11-18,NTPC,32.515,34.6176,31.8647,31.9297,21545230,0.068,,,,,-0.189607,-0.104045,-0.0855628,,,,2004,11,4,2004-11,False
2004-11-19,NTPC,31.9297,32.4499,31.8647,31.8863,19074889,-0.1359,,,,,-0.208834,-0.125002,-0.0838313,,,,2004,11,4,2004-11,False
2004-11-22,NTPC,31.908,32.5366,31.2144,32.2765,33741682,1.2237,,,,,-0.19039,-0.13808,-0.0523102,,,,2004,11,4,2004-11,False
2004-11-23,NTPC,32.515,33.1653,32.4933,32.8835,35706926,1.8806,,,,,-0.125349,-0.135534,0.010185,,,,2004,11,4,2004-11,False
2004-11-24,NTPC,33.187,33.8156,33.0352,33.7289,36985500,2.5709,,,,,-0.00552265,-0.109532,0.104009,,,,2004,11,4,2004-11,False
2004-11-25,NTPC,33.7722,34.2491,33.2953,33.4037,28246130,-0.9642,,,,59.74,0.0624793,-0.0751294,0.137609,,,,2004,11,4,2004-11,False
2004-11-26,NTPC,33.4037,33.4037,33.4037,33.4037,0,0.0,,,,59.74,0.115045,-0.0370945,0.15214,,,,2004,11,4,2004-11,False
2004-11-29,NTPC,33.4688,33.8156,33.2737,33.5121,17041910,0.3245,,,,61.2011,0.163565,0.00303752,0.160528,,,,2004,11,4,2004-11,False
2004-11-30,NTPC,33.7722,34.5526,33.317,34.2925,47944693,2.3287,,,,69.721,0.26197,0.054824,0.207146,,,,2004,11,4,2004-11,False
2004-12-01,NTPC,34.4659,34.8994,34.2491,34.5526,40466184,0.7585,,,,71.9331,0.356831,0.115225,0.241606,,,,2004,12,4,2004-12,False
2004-12-02,NTPC,34.8994,35.2679,34.661,34.8777,21840421,0.9409,32.9062,,,74.4461,0.45302,0.182784,0.270235,34.7246,31.0878,11.0519,2004,12,4,2004-12,False
2004-12-03,NTPC,35.0078,35.0728,34.3575,34.5092,15302190,-1.0565,32.994,,,67.1112,0.493823,0.244992,0.248831,34.946,31.0421,11.8321,2004,12,4,2004-12,False
2004-12-06,NTPC,35.3763,35.5931,34.5309,34.6393,13179942,0.377,33.0959,,,68.2987,0.530542,0.302102,0.22844,35.1705,31.0213,12.5368,2004,12,4,2004-12,False
2004-12-07,NTPC,34.7694,35.4413,34.4876,34.8777,25779588,0.6882,33.2075,,,70.4074,0.572281,0.356138,0.216144,35.4159,30.9991,13.3005,2004,12,4,2004-12,False
2004-12-08,NTPC,34.9861,35.2029,34.4876,34.6827,26046708,-0.5591,33.3148,,,66.5104,0.582906,0.401492,0.181415,35.5934,31.0363,13.679,2004,12,4,2004-12,False
2004-12-09,NTPC,34.6393,34.8344,34.5092,34.6827,11302275,0.0,33.4351,,,66.5104,0.584588,0.438111,0.146477,35.7369,31.1334,13.7682,2004,12,4,2004-12,False
2004-12-10,NTPC,35.3763,35.3763,34.1191,34.2491,11900146,-1.2502,33.5294,,,58.2027,0.544654,0.459419,0.0852348,35.8006,31.2583,13.5471,2004,12,4,2004-12,False
2004-12-13,NTPC,34.3141,34.6826,34.1841,34.5092,8461089,0.7594,33.6367,,,61.3236,0.527909,0.473117,0.0547916,35.8785,31.395,13.329,2004,12,4,2004-12,False
2004-12-14,NTPC,34.726,35.4413,34.5959,35.3763,19229175,2.5127,33.8091,,,69.4996,0.577944,0.494083,0.0838612,36.028,31.5901,13.1265,2004,12,4,2004-12,False
2004-12-15,NTPC,35.5497,36.6335,35.528,36.4601,28750713,3.0636,34.0367,,,76.256,0.697016,0.534669,0.162346,36.3657,31.7076,13.6855,2004,12,4,2004-12,False
2004-12-16,NTPC,36.6335,36.8503,36.2,36.3301,11662995,-0.3566,34.2567,,,74.1347,0.771992,0.582134,0.189858,36.5791,31.9343,13.5586,2004,12,4,2004-12,False
2004-12-17,NTPC,36.4601,36.5035,35.7665,35.9832,10503541,-0.9549,34.4615,,,68.6468,0.794263,0.62456,0.169704,36.6205,32.3025,12.5299,2004,12,4,2004-12,False
2004-12-20,NTPC,35.9832,36.3951,35.9832,36.0916,7543022,0.3013,34.6523,,,69.4089,0.811309,0.66191,0.149399,36.6678,32.6368,11.6329,2004,12,4,2004-12,False
2004-12-21,NTPC,36.2,36.7636,36.1783,36.6335,12386305,1.5015,34.8398,,,72.9486,0.858646,0.701257,0.157389,36.8602,32.8194,11.5982,2004,12,4,2004-12,False
2004-12-22,NTPC,36.8286,36.8286,35.9399,36.0483,10146313,-1.5974,34.9558,,,64.2963,0.839266,0.728859,0.110407,36.9739,32.9376,11.547,2004,12,4,2004-12,False
2004-12-23,NTPC,35.9832,36.4168,35.9832,36.0916,6996610,0.1201,35.0902,,,64.6306,0.817972,0.746681,0.0712904,37.0296,33.1507,11.0541,2004,12,4,2004-12,False
2004-12-24,NTPC,36.3084,36.5902,36.1133,36.265,6717558,0.4804,35.2332,,,66.0033,0.805799,0.758505,0.0472943,37.0682,33.3983,10.4161,2004,12,4,2004-12,False
2004-12-27,NTPC,36.2,37.0671,35.9833,36.872,13158428,1.6738,35.4012,,,70.3425,0.835501,0.773904,0.061597,37.1873,33.6152,10.0904,2004,12,4,2004-12,False
2004-12-28,NTPC,37.0454,37.7824,36.9804,37.6957,12664876,2.2339,35.5714,,,75.0048,0.914958,0.802115,0.112844,37.5507,33.5921,11.1286,2004,12,4,2004-12,False
2004-12-29,NTPC,37.7174,38.6278,37.544,37.7391,19708872,0.1151,35.7307,,,75.2257,0.970247,0.835741,0.134506,37.8712,33.5903,11.981,2004,12,4,2004-12,False
2004-12-30,NTPC,37.7824,38.0642,36.9804,37.1321,19720972,-1.6084,35.8434,,,66.3855,0.954085,0.85941,0.0946752,38.0316,33.6552,12.2099,2004,12,4,2004-12,False
2004-12-31,NTPC,37.3272,38.1076,37.2838,37.8258,7890946,1.8682,36.0093,,,70.6329,0.985888,0.884706,0.101183,38.2731,33.7454,12.5738,2004,12,4,2004-12,False
2005-01-03,NTPC,38.1509,38.4977,37.7391,38.3677,12163233,1.4326,36.1957,,,73.4547,1.0428,0.916324,0.126474,38.5946,33.7968,13.2551,2005,1,1,2005-01,False
2005-01-04,NTPC,38.4327,38.8662,37.9992,38.4977,13687440,0.3388,36.3767,,,74.0977,1.08587,0.950234,0.135639,38.8999,33.8535,13.8727,2005,1,1,2005-01,False
2005-01-05,NTPC,38.346,38.6278,35.6581,36.7853,17104466,-4.4481,36.4818,,,55.1482,0.970644,0.954316,0.0163282,38.88,34.0837,13.1471,2005,1,1,2005-01,False
2005-01-06,NTPC,36.7419,36.7419,35.3763,35.8532,22095028,-2.5339,36.5403,,,47.9586,0.794948,0.922442,-0.127494,38.8072,34.2735,12.4072,2005,1,1,2005-01,False
2005-01-07,NTPC,36.3734,36.3951,35.8965,36.135,9361992,0.786,36.6346,,,50.0776,0.670715,0.872097,-0.201382,38.6422,34.627,10.9601,2005,1,1,2005-01,False
2005-01-10,NTPC,38.1509,38.1509,36.0266,36.1783,8200237,0.1198,36.7181,,,50.4117,0.569193,0.811516,-0.242324,38.477,34.9591,9.5808,2005,1,1,2005-01,False
