Date,Ticker,Open,High,Low,Close,Volume,Daily_Return_Pct,MA20,MA50,MA200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,Year,Month,Quarter,Year_Month,Price_Repaired
2000-01-03,ONGC,6.45046,6.74624,6.45046,6.71634,86400,,,,,,0.0,0.0,0.0,,,,2000,1,1,2000-01,False
2000-01-04,ONGC,6.34033,6.59835,6.32459,6.49923,161100,-3.2326,,,,,-0.0173193,-0.00346386,-0.0138555,,,,2000,1,1,2000-01,False
2000-01-05,ONGC,6.3246,7.01999,6.30887,7.01999,243000,8.0126,,,,,0.0108509,-0.000600911,0.0114518,,,,2000,1,1,2000-01,False
2000-01-06,ONGC,7.36296,7.39128,6.84693,6.90042,320400,-1.7033,,,,,0.0232596,0.00417119,0.0190884,,,,2000,1,1,2000-01,False
2000-01-07,ONGC,7.01684,7.01684,6.70218,6.78871,102600,-1.6189,,,,,0.0238051,0.00809796,0.0157071,,,,2000,1,1,2000-01,False
2000-01-10,ONGC,6.45046,6.85951,6.45046,6.59206,360000,-2.8967,,,,,0.00827398,0.00813317,0.000140818,,,,2000,1,1,2000-01,False
2000-01-11,ONGC,6.60779,6.60779,6.10434,6.13895,262800,-6.8736,,,,,-0.0401341,-0.00152028,-0.0386138,,,,2000,1,1,2000-01,False
2000-01-12,ONGC,6.44889,6.60149,6.29313,6.36235,150300,3.6391,,,,,-0.0597821,-0.0131727,-0.0466095,,,,2000,1,1,2000-01,False
2000-01-13,ONGC,6.35606,6.38596,6.2302,6.25695,405000,-1.6566,,,,,-0.0829026,-0.0271186,-0.055784,,,,2000,1,1,2000-01,False
2000-01-14,ONGC,6.10749,6.19874,6.07602,6.11693,293400,-2.2378,,,,,-0.111242,-0.0439433,-0.0672986,,,,2000,1,1,2000-01,False
2000-01-17,ONGC,6.1358,6.15153,6.08074,6.1358,229500,0.3085,,,,,-0.130672,-0.061289,-0.069383,,,,2000,1,1,2000-01,False
2000-01-18,ONGC,6.10277,6.10277,5.82744,5.8652,335700,-4.4102,,,,,-0.165992,-0.0822297,-0.0837626,,,,2000,1,1,2000-01,False
2000-01-19,ONGC,6.00994,6.10434,6.00994,6.04613,446400,3.0848,,,,,-0.17734,-0.101252,-0.0760882,,,,2000,1,1,2000-01,False
2000-01-20,ONGC,6.04141,6.1185,6.04141,6.05399,162900,0.13,,,,,-0.183583,-0.117718,-0.0658647,,,,2000,1,1,2000-01,False
2000-01-21,ONGC,5.82115,6.10434,5.82115,6.00208,142200,-0.8575,,,,36.3581,-0.190523,-0.132279,-0.0582437,,,,2000,1,1,2000-01,False
2000-01-24,ONGC,5.97848,6.05714,5.88408,6.03669,165600,0.5766,,,,37.2515,-0.191028,-0.144029,-0.046999,,,,2000,1,1,2000-01,False
2000-01-25,ONGC,5.92341,6.04141,5.88408,5.95645,158400,-1.3292,,,,35.9901,-0.195647,-0.154352,-0.041295,,,,2000,1,1,2000-01,False
2000-01-26,ONGC,5.95645,5.95645,5.95645,5.95645,0,0.0,,,,35.9901,-0.197037,-0.162889,-0.0341478,,,,2000,1,1,2000-01,False
2000-01-27,ONGC,6.06973,6.43315,6.00994,6.43315,193500,8.0031,,,,48.0991,-0.157853,-0.161882,0.00402886,,,,2000,1,1,2000-01,False
2000-01-28,ONGC,6.51339,6.60464,6.19873,6.46305,202500,0.4648,6.31705,,,48.7539,-0.122969,-0.1541,0.0311301,7.00604,5.62805,21.8138,2000,1,1,2000-01,False
