Date,Ticker,Open,High,Low,Close,Volume,Daily_Return_Pct,MA20,MA50,MA200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,Year,Month,Quarter,Year_Month,Price_Repaired
2000-01-03,RELIANCE,12.4397,13.1835,12.4397,13.1835,62409578,,,,,,0.0,0.0,0.0,,,,2000,1,1,2000-01,False
2000-01-04,RELIANCE,13.5344,14.2389,13.1625,14.2389,132872110,8.0055,,,,,0.0841915,0.0168383,0.0673532,,,,2000,1,1,2000-01,False
2000-01-05,RELIANCE,13.4427,15.0795,13.4427,14.7967,375789847,3.9174,,,,,0.193691,0.0522088,0.141482,,,,2000,1,1,2000-01,False
2000-01-06,RELIANCE,15.1371,15.75,15.1371,15.4174,219621124,4.1949,,,,,0.326788,0.107125,0.219664,,,,2000,1,1,2000-01,False
2000-01-07,RELIANCE,15.4514,16.6509,15.3466,16.4754,278281260,6.8624,,,,,0.511742,0.188048,0.323693,,,,2000,1,1,2000-01,False
2000-01-10,RELIANCE,16.6247,16.6928,15.9909,16.1585,187897934,-1.9235,,,,,0.625536,0.275546,0.349991,,,,2000,1,1,2000-01,False
2000-01-11,RELIANCE,16.1297,16.2868,14.8674,15.1109,175675797,-6.4833,,,,,0.623994,0.345235,0.278759,,,,2000,1,1,2000-01,False
2000-01-12,RELIANCE,15.1371,15.9752,14.7783,15.8023,169586471,4.5755,,,,,0.670829,0.410354,0.260475,,,,2000,1,1,2000-01,False
2000-01-13,RELIANCE,16.0276,16.5723,15.928,16.334,239139851,3.3647,,,,,0.742293,0.476742,0.265551,,,,2000,1,1,2000-01,False
2000-01-14,RELIANCE,16.2109,16.8473,16.2109,16.567,188507616,1.4265,,,,,0.808411,0.543076,0.265335,,,,2000,1,1,2000-01,False
2000-01-17,RELIANCE,16.6692,16.9127,16.0826,16.1716,150255809,-2.3867,,,,,0.819459,0.598352,0.221106,,,,2000,1,1,2000-01,False
2000-01-18,RELIANCE,16.1847,16.7058,16.004,16.457,141210936,1.7648,,,,,0.841542,0.64699,0.194552,,,,2000,1,1,2000-01,False
2000-01-19,RELIANCE,16.9101,17.0175,16.5618,16.7399,160790093,1.719,,,,,0.871822,0.691957,0.179865,,,,2000,1,1,2000-01,False
2000-01-20,RELIANCE,16.7608,17.0175,16.2659,16.3863,216069957,-2.1123,,,,,0.857402,0.725046,0.132357,,,,2000,1,1,2000-01,False
2000-01-21,RELIANCE,16.3785,17.2008,16.3418,17.0934,239994540,4.3152,,,,74.0257,0.892741,0.758585,0.134156,,,,2000,1,1,2000-01,False
2000-01-24,RELIANCE,17.0489,17.3815,16.8656,17.083,184344232,-0.0608,,,,73.924,0.909424,0.788753,0.120672,,,,2000,1,1,2000-01,False
2000-01-25,RELIANCE,17.0253,17.0384,16.6692,16.7582,136584272,-1.9013,,,,70.6574,0.886222,0.808247,0.0779752,,,,2000,1,1,2000-01,False
2000-01-26,RELIANCE,16.7582,16.7582,16.7582,16.7582,0,0.0,,,,70.6574,0.857944,0.818186,0.0397577,,,,2000,1,1,2000-01,False
2000-01-27,RELIANCE,17.2322,17.6408,16.9023,17.5439,210269961,4.6885,,,,73.8938,0.888688,0.832286,0.0564019,,,,2000,1,1,2000-01,False
2000-01-28,RELIANCE,17.5936,17.9079,17.3684,17.722,164331247,1.0152,16.1399,,,74.5783,0.916856,0.8492,0.0676555,18.3758,13.904,27.7061,2000,1,1,2000-01,False
2000-01-31,RELIANCE,17.5177,17.5989,17.1039,17.1877,142723553,-3.0149,16.3401,,,68.7543,0.885854,0.856531,0.0293227,18.1349,14.5453,21.9684,2000,1,1,2000-01,False
2000-02-01,RELIANCE,17.3265,17.6748,17.1799,17.4967,149956451,1.7978,16.503,,,70.2035,0.876119,0.860449,0.0156701,18.072,14.934,19.0149,2000,2,1,2000-02,False
2000-02-02,RELIANCE,17.9603,18.1698,17.7324,17.8162,139355731,1.8261,16.654,,,71.6668,0.883994,0.865158,0.0188367,18.1086,15.1994,17.4688,2000,2,1,2000-02,False
2000-02-03,RELIANCE,17.9132,17.9917,17.6198,17.8948,94831223,0.4412,16.7778,,,72.0307,0.886361,0.869398,0.0169626,18.2109,15.3448,17.0823,2000,2,1,2000-02,False
2000-02-04,RELIANCE,18.0179,18.1934,17.8974,18.0258,99528064,0.7321,16.8554,,,72.661,0.888564,0.873232,0.0153327,18.384,15.3267,18.1388,2000,2,1,2000-02,False
2000-02-07,RELIANCE,17.866,18.3034,17.7063,17.997,114747088,-0.1598,16.9473,,,72.2754,0.877867,0.874159,0.00370832,18.52,15.3746,18.56,2000,2,1,2000-02,False
2000-02-08,RELIANCE,18.0965,18.1698,17.8634,17.9341,90057597,-0.3495,17.0885,,,71.3844,0.854464,0.87022,-0.0157557,18.4612,15.7157,16.0669,2000,2,1,2000-02,False
2000-02-09,RELIANCE,18.2798,18.5757,18.0598,18.3531,160165902,2.3363,17.216,,,73.7094,0.859815,0.868139,-0.00832343,18.5593,15.8727,15.6056,2000,2,1,2000-02,False
2000-02-10,RELIANCE,18.2693,19.055,18.065,18.6333,151143675,1.5267,17.331,,,75.1627,0.876562,0.869823,0.00673835,18.748,15.9139,16.3527,2000,2,1,2000-02,False
2000-02-11,RELIANCE,19.0655,19.5892,18.8586,19.0288,114214724,2.1225,17.454,,,77.088,0.911243,0.878107,0.0331354,19.0123,15.8958,17.8557,2000,2,1,2000-02,False
2000-02-14,RELIANCE,18.8036,18.9031,18.3322,18.4422,71806185,-3.0827,17.5676,,,68.595,0.881236,0.878733,0.00250259,19.062,16.0732,17.0133,2000,2,1,2000-02,False
2000-02-15,RELIANCE,18.4369,18.5626,17.9158,18.0362,113776526,-2.2015,17.6465,,,63.3896,0.815296,0.866045,-0.0507499,19.0585,16.2346,16.0025,2000,2,1,2000-02,False
2000-02-16,RELIANCE,18.3322,18.5312,17.9708,18.2353,110304203,1.1039,17.7213,,,64.8003,0.770225,0.846881,-0.0766566,19.0888,16.3538,15.433,2000,2,1,2000-02,False
2000-02-17,RELIANCE,18.2117,18.6883,18.2012,18.5705,107425289,1.8382,17.8305,,,67.0989,0.752875,0.82808,-0.0752051,19.094,16.5671,14.172,2000,2,1,2000-02,False
2000-02-18,RELIANCE,18.6936,18.7486,18.2274,18.3034,70451511,-1.4383,17.891,,,63.5384,0.709395,0.804343,-0.0949481,19.1213,16.6607,13.7532,2000,2,1,2000-02,False
2000-02-21,RELIANCE,18.2484,18.4369,17.8948,18.1043,41234633,-1.0878,17.9421,,,60.9424,0.651362,0.773747,-0.122384,19.1146,16.7696,13.0699,2000,2,1,2000-02,False
2000-02-22,RELIANCE,18.1227,18.175,17.4156,17.5125,100723088,-3.2688,17.9798,,,53.8941,0.551263,0.72925,-0.177987,19.0346,16.925,11.733,2000,2,1,2000-02,False
2000-02-23,RELIANCE,18.0546,18.0546,17.1432,17.2741,67665446,-1.3613,18.0056,,,51.3191,0.447538,0.672908,-0.22537,18.9545,17.0567,10.5402,2000,2,1,2000-02,False
2000-02-24,RELIANCE,17.4365,17.8451,17.248,17.6382,79319185,2.1078,18.0103,,,54.8659,0.390217,0.61637,-0.226153,18.9505,17.0702,10.4401,2000,2,1,2000-02,False
2000-02-25,RELIANCE,17.8817,17.9603,17.0803,17.2113,54786600,-2.4203,17.9848,,,50.2437,0.306806,0.554457,-0.247651,18.9838,16.9858,11.1096,2000,2,1,2000-02,False
2000-02-28,RELIANCE,17.0149,17.6644,16.2371,17.447,70386208,1.3694,17.9977,,,52.6172,0.256761,0.494918,-0.238157,18.9592,17.0362,10.6846,2000,2,1,2000-02,False
2000-02-29,RELIANCE,17.6984,17.9577,16.0511,16.2816,139625441,-6.6797,17.937,,,41.9595,0.121659,0.420266,-0.298607,19.1519,16.722,13.5469,2000,2,1,2000-02,False
2000-03-01,RELIANCE,16.499,17.2768,15.6609,16.5932,150769883,1.9138,17.8758,,,45.1581,0.0392813,0.344069,-0.304788,19.2314,16.5203,15.166,2000,3,1,2000-03,False
2000-03-02,RELIANCE,16.7006,16.8656,15.2681,15.2812,175562684,-7.9069,17.7452,,,36.1297,-0.130369,0.249182,-0.37955,19.5292,15.9611,20.1072,2000,3,1,2000-03,False
2000-03-03,RELIANCE,14.9852,14.9852,14.0608,14.0608,64935300,-7.9863,17.5469,,,30.1012,-0.359153,0.127515,-0.486668,19.9673,15.1265,27.5881,2000,3,1,2000-03,False
2000-03-06,RELIANCE,14.0608,14.8674,12.9373,13.3013,146075956,-5.4015,17.3121,,,27.0736,-0.594895,-0.0169673,-0.577927,20.3746,14.2497,35.3791,2000,3,1,2000-03,False
2000-03-07,RELIANCE,13.4611,13.5658,12.5706,12.6911,133888438,-4.5875,17.05,,,24.9061,-0.82149,-0.177872,-0.643618,20.7246,13.3753,43.1048,2000,3,1,2000-03,False
2000-03-08,RELIANCE,12.932,13.1206,12.0469,12.2014,101621246,-3.8586,16.7424,,,23.2944,-1.02872,-0.348042,-0.680682,20.9491,12.5357,50.2524,2000,3,1,2000-03,False
2000-03-09,RELIANCE,12.3559,12.6963,11.7404,12.1149,77665531,-0.7089,16.4165,,,23.0111,-1.18626,-0.515687,-0.670578,20.9996,11.8334,55.8352,2000,3,1,2000-03,False
2000-03-10,RELIANCE,12.2564,12.2983,11.2402,11.3581,92389443,-6.2469,16.0329,16.4765,,20.6456,-1.35655,-0.683858,-0.672687,20.966,11.0998,61.537,2000,3,1,2000-03,False
2000-03-13,RELIANCE,11.5178,12.0207,10.4912,10.6431,150763063,-6.2951,15.643,16.4257,,18.6907,-1.53154,-0.853394,-0.678141,20.9898,10.2961,68.3612,2000,3,1,2000-03,False
2000-03-14,RELIANCE,10.7636,11.4969,10.3263,11.4812,141532996,7.8746,15.3152,16.3705,,27.3718,-1.58432,-0.99958,-0.584745,20.8449,9.78556,72.2114,2000,3,1,2000-03,False
2000-03-15,RELIANCE,11.7326,12.4004,11.3136,12.4004,79982280,8.0061,15.0235,16.3226,,35.505,-1.5343,-1.10652,-0.427778,20.5201,9.5269,73.1732,2000,3,1,2000-03,False
2000-03-16,RELIANCE,12.5444,12.9792,12.0521,12.3009,147946692,-0.8024,14.71,16.2603,,35.0475,-1.48556,-1.18233,-0.303232,20.0682,9.35179,72.8513,2000,3,1,2000-03,False
2000-03-17,RELIANCE,12.3009,12.3009,12.3009,12.3009,0,0.0,14.4099,16.1768,,35.0475,-1.43045,-1.23196,-0.198493,19.5901,9.22966,71.8981,2000,3,1,2000-03,False
2000-03-20,RELIANCE,12.3009,12.3009,12.3009,12.3009,0,0.0,14.1197,16.0996,,35.0475,-1.37097,-1.25976,-0.111208,19.0738,9.16561,70.1727,2000,3,1,2000-03,False
2000-03-21,RELIANCE,12.5078,12.7173,11.9211,12.4606,95762643,1.2983,13.8671,16.0466,,36.6831,-1.296,-1.26701,-0.0289935,18.6032,9.13103,68.3067,2000,3,1,2000-03,False
2000-03-22,RELIANCE,12.8325,13.0158,12.6335,12.7487,69064318,2.3121,13.6408,15.9855,,39.6362,-1.19951,-1.25351,0.053994,18.1168,9.16484,65.6264,2000,3,1,2000-03,False
2000-03-23,RELIANCE,12.8456,12.8744,12.4947,12.6204,60024739,-1.0064,13.3899,15.9113,,38.769,-1.12048,-1.2269,0.106419,17.4673,9.3126,60.9016,2000,3,1,2000-03,False
2000-03-24,RELIANCE,12.5287,12.7251,12.4475,12.6021,36941526,-0.145,13.1595,15.832,,38.6392,-1.04726,-1.19097,0.143716,16.8279,9.49103,55.7538,2000,3,1,2000-03,False
2000-03-27,RELIANCE,12.7278,13.6103,12.7278,13.6103,58001578,8.0003,12.9677,15.7807,,48.8116,-0.897525,-1.13228,0.234759,16.0459,9.88945,47.4751,2000,3,1,2000-03,False
2000-03-28,RELIANCE,13.7806,14.6998,13.7806,14.6998,98405624,8.005,12.8886,15.7456,,57.0902,-0.683074,-1.04244,0.359368,15.6758,10.1013,43.2511,2000,3,1,2000-03,False
2000-03-29,RELIANCE,14.9171,15.1843,14.0896,14.2101,143934962,-3.3313,12.7694,15.695,,52.9454,-0.546337,-0.943221,0.396885,15.0469,10.4919,35.6718,2000,3,1,2000-03,False
2000-03-30,RELIANCE,14.0896,15.3466,13.5291,15.3466,240432206,7.9978,12.7727,15.6742,,60.1723,-0.342319,-0.823041,0.480722,15.0655,10.4798,35.9025,2000,3,1,2000-03,False
2000-03-31,RELIANCE,15.5562,16.5749,14.671,16.5749,275945423,8.0037,12.8984,15.6638,,66.2122,-0.0805912,-0.674551,0.59396,15.7064,10.0904,43.5404,2000,3,1,2000-03,False
2000-04-03,RELIANCE,17.1615,17.4784,16.6613,17.2113,299036394,3.8395,13.0939,15.6664,,68.8481,0.176152,-0.50441,0.680562,16.5006,9.68715,52.0355,2000,4,2,2000-04,False
2000-04-04,RELIANCE,17.0751,17.0751,15.8364,15.8364,189486468,-7.9884,13.2512,15.648,,58.2713,0.265617,-0.350405,0.616022,16.8638,9.63853,54.5253,2000,4,2,2000-04,False
2000-04-05,RELIANCE,15.8914,16.3418,14.5741,15.8311,352720260,-0.0335,13.4326,15.6294,,58.2341,0.332262,-0.213871,0.546133,17.1852,9.68009,55.8721,2000,4,2,2000-04,False
