Date,Ticker,Open,High,Low,Close,Volume,Daily_Return_Pct,MA20,MA50,MA200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,Year,Month,Quarter,Year_Month,Price_Repaired
2017-10-03,SBILIFE,721.611,726.52,688.917,694.661,35367877,,,,,,0.0,0.0,0.0,,,,2017,10,4,2017-10,False
2017-10-04,SBILIFE,697.214,697.803,686.267,690.832,3613280,-0.5512,,,,,-0.305447,-0.0610895,-0.244358,,,,2017,10,4,2017-10,False
2017-10-05,SBILIFE,691.715,691.715,673.602,681.898,2680742,-1.2932,,,,,-1.25396,-0.299664,-0.954297,,,,2017,10,4,2017-10,False
2017-10-06,SBILIFE,681.259,689.212,676.449,684.058,1416485,0.3168,,,,,-1.8105,-0.601831,-1.20867,,,,2017,10,4,2017-10,False
2017-10-09,SBILIFE,681.456,689.703,681.456,685.923,951473,0.2726,,,,,-2.07713,-0.89689,-1.18024,,,,2017,10,4,2017-10,False
2017-10-10,SBILIFE,685.628,688.427,682.879,687.248,555002,0.1932,,,,,-2.15666,-1.14884,-1.00781,,,,2017,10,4,2017-10,False
2017-10-11,SBILIFE,687.248,690.194,673.503,677.332,1077409,-1.4429,,,,,-2.98541,-1.51616,-1.46925,,,,2017,10,4,2017-10,False
2017-10-12,SBILIFE,678.511,681.358,672.522,675.172,439314,-0.3189,,,,,-3.773,-1.96752,-1.80547,,,,2017,10,4,2017-10,False
2017-10-13,SBILIFE,676.4,682.389,667.613,677.136,1344510,0.2909,,,,,-4.19039,-2.4121,-1.77829,,,,2017,10,4,2017-10,False
2017-10-16,SBILIFE,673.503,676.891,656.813,657.893,971834,-2.8418,,,,,-6.0047,-3.13062,-2.87408,,,,2017,10,4,2017-10,False
2017-10-17,SBILIFE,658.286,661.722,656.813,660.789,664335,0.4402,,,,,-7.12673,-3.92984,-3.19689,,,,2017,10,4,2017-10,False
2017-10-18,SBILIFE,658.777,660.593,652.051,656.224,415712,-0.6908,,,,,-8.28875,-4.80162,-3.48712,,,,2017,10,4,2017-10,False
2017-10-19,SBILIFE,653.966,665.895,653.966,662.802,93358,1.0024,,,,,-8.57996,-5.55729,-3.02267,,,,2017,10,4,2017-10,False
2017-10-23,SBILIFE,657.795,661.526,652.886,653.671,292330,-1.3776,,,,,-9.43874,-6.33358,-3.10516,,,,2017,10,4,2017-10,False
2017-10-24,SBILIFE,651.708,659.218,650.922,653.72,350373,0.0075,,,,22.5652,-10.0001,-7.06688,-2.93322,,,,2017,10,4,2017-10,False
2017-10-25,SBILIFE,654.85,661.182,646.112,657.697,583868,0.6084,,,,26.7687,-10.0087,-7.65525,-2.35346,,,,2017,10,4,2017-10,False
2017-10-26,SBILIFE,657.697,657.697,648.468,654.702,242175,-0.4554,,,,25.6399,-10.1403,-8.15226,-1.98804,,,,2017,10,4,2017-10,False
2017-10-27,SBILIFE,651.119,653.917,646.995,650.137,396395,-0.6973,,,,23.98,-10.492,-8.62021,-1.87179,,,,2017,10,4,2017-10,False
2017-10-30,SBILIFE,652.886,652.886,638.061,643.068,1164020,-1.0873,,,,21.6434,-11.2119,-9.13854,-2.07335,,,,2017,10,4,2017-10,False
2017-10-31,SBILIFE,643.854,656.813,643.854,650.039,1402840,1.084,667.75,,,28.9914,-11.092,-9.52925,-1.5628,699.773,635.727,9.5913,2017,10,4,2017-10,False
2017-11-01,SBILIFE,651.904,652.739,630.55,635.263,859011,-2.2731,664.78,,,23.8797,-12.0505,-10.0335,-2.01697,697.308,632.252,9.786,2017,11,4,2017-11,False
2017-11-02,SBILIFE,635.263,641.694,629.52,631.041,574130,-0.6646,661.791,,,22.6508,-13.0008,-10.627,-2.37387,695.215,628.366,10.1012,2017,11,4,2017-11,False
2017-11-03,SBILIFE,631.336,641.595,629.421,630.55,672547,-0.0778,659.223,,,22.5057,-13.6364,-11.2288,-2.40757,694.005,624.441,10.5524,2017,11,4,2017-11,False
2017-11-06,SBILIFE,630.943,647.879,630.943,644.786,483071,2.2577,657.26,,,35.4193,-12.8434,-11.5518,-1.29161,690.54,623.979,10.127,2017,11,4,2017-11,False
2017-11-07,SBILIFE,646.995,646.995,627.9,630.649,763293,-2.1925,654.496,,,30.062,-13.2034,-11.8821,-1.32131,686.923,622.068,9.9091,2017,11,4,2017-11,False
2017-11-08,SBILIFE,637.177,637.177,617.542,620.094,843603,-1.6737,651.138,,,26.8023,-14.177,-12.3411,-1.83593,683.191,619.085,9.8452,2017,11,4,2017-11,False
2017-11-09,SBILIFE,621.469,658.188,621.469,645.964,356798,4.1719,649.57,,,43.0901,-12.7145,-12.4158,-0.29877,679.205,619.935,9.1245,2017,11,4,2017-11,False
2017-11-10,SBILIFE,643.166,666.827,643.166,664.226,784443,2.8271,649.023,,,51.3241,-9.96702,-11.926,1.95899,677.026,621.019,8.6294,2017,11,4,2017-11,False
2017-11-13,SBILIFE,652.886,668.398,650.922,652.886,192279,-1.7073,647.81,,,46.7963,-8.60545,-11.2619,2.65645,672.604,623.016,7.6548,2017,11,4,2017-11,False
2017-11-14,SBILIFE,643.264,655.586,642.086,647.977,350594,-0.7519,647.314,,,44.9478,-7.83223,-10.576,2.74374,671.652,622.977,7.5196,2017,11,4,2017-11,False
2017-11-15,SBILIFE,638.257,648.026,632.661,637.521,269314,-1.6136,646.151,,,41.2133,-7.97126,-10.055,2.08376,669.996,622.306,7.3807,2017,11,4,2017-11,False
2017-11-16,SBILIFE,636.785,647.192,631.09,638.061,261879,0.0847,645.243,,,41.4837,-7.94628,-9.63327,1.68699,668.855,621.631,7.3188,2017,11,4,2017-11,False
2017-11-17,SBILIFE,641.104,651.61,633.348,647.535,3200674,1.4848,644.479,,,46.1625,-7.08039,-9.1227,2.04231,666.644,622.315,6.8783,2017,11,4,2017-11,False
2017-11-20,SBILIFE,645.326,652.886,644.541,649.401,712433,0.2882,644.266,,,47.0604,-6.17244,-8.53265,2.3602,666.138,622.394,6.7898,2017,11,4,2017-11,False
2017-11-21,SBILIFE,647.977,683.714,647.977,674.927,2077453,3.9307,645.326,,,57.5015,-3.35448,-7.49701,4.14253,670.875,619.777,7.9182,2017,11,4,2017-11,False
2017-11-22,SBILIFE,676.449,686.218,668.742,680.523,669175,0.8291,646.467,,,59.3923,-0.662049,-6.13002,5.46797,676.062,616.873,9.1559,2017,11,4,2017-11,False
2017-11-23,SBILIFE,676.449,676.449,651.904,654.162,827451,-3.8736,646.44,,,48.4555,-0.647919,-5.0336,4.38568,676.005,616.876,9.1468,2017,11,4,2017-11,False
2017-11-24,SBILIFE,655.831,658.237,643.068,643.755,599114,-1.5909,646.121,,,44.9373,-1.45965,-4.31881,2.85916,675.655,616.587,9.142,2017,11,4,2017-11,False
2017-11-27,SBILIFE,643.608,650.628,639.975,641.792,239417,-0.3049,646.058,,,44.2842,-2.23558,-3.90217,1.66658,675.625,616.49,9.1532,2017,11,4,2017-11,False
2017-11-28,SBILIFE,641.105,654.8,640.123,641.546,269211,-0.0383,645.633,,,44.1975,-2.83766,-3.68926,0.851608,675.203,616.062,9.1602,2017,11,4,2017-11,False
2017-11-29,SBILIFE,642.135,646.406,638.945,644.246,258606,0.4209,646.082,,,45.4595,-3.06164,-3.56374,0.502098,675.26,616.904,9.0322,2017,11,4,2017-11,False
2017-11-30,SBILIFE,653.819,653.819,641.939,642.97,316178,-0.1981,646.679,,,44.9422,-3.30403,-3.5118,0.207769,675.038,618.319,8.7707,2017,11,4,2017-11,False
2017-12-01,SBILIFE,646.014,646.014,640.368,643.952,86648,0.1527,647.349,,,45.4566,-3.37794,-3.48503,0.107084,674.719,619.978,8.4563,2017,12,4,2017-12,False
2017-12-04,SBILIFE,647.977,653.671,641.154,649.695,162592,0.8918,647.594,,,48.4878,-2.93923,-3.37587,0.43664,674.956,620.232,8.4504,2017,12,4,2017-12,False
2017-12-05,SBILIFE,647.977,650.088,641.645,647.094,125688,-0.4003,648.416,,,47.2082,-2.76949,-3.25459,0.485097,674.597,622.236,8.0753,2017,12,4,2017-12,False
2017-12-06,SBILIFE,642.135,647.977,642.135,644.148,210799,-0.4553,649.619,,,45.736,-2.83996,-3.17167,0.331704,672.297,626.941,6.982,2017,12,4,2017-12,False
2017-12-07,SBILIFE,643.166,657.795,639.141,656.224,279051,1.8747,650.132,,,52.3024,-1.89948,-2.91723,1.01775,672.926,627.338,7.0121,2017,12,4,2017-12,False
2017-12-08,SBILIFE,651.953,677.332,651.953,673.209,480717,2.5883,650.581,,,59.6908,0.213942,-2.29099,2.50494,674.851,626.312,7.4609,2017,12,4,2017-12,False
2017-12-11,SBILIFE,667.613,670.313,658.826,662.458,122163,-1.597,651.06,,,53.99,1.00969,-1.63086,2.64055,675.892,626.228,7.6282,2017,12,4,2017-12,False
2017-12-12,SBILIFE,658.826,669.576,658.777,663.735,121938,0.1928,651.848,655.908,,54.5453,1.7235,-0.959986,2.68349,677.261,626.434,7.7973,2017,12,4,2017-12,False
2017-12-13,SBILIFE,658.826,669.576,645.032,663.047,260250,-0.1037,653.124,655.276,,54.166,2.20823,-0.326344,2.53457,678.067,628.181,7.6382,2017,12,4,2017-12,False
2017-12-14,SBILIFE,662.802,670.558,661.035,667.515,444539,0.6739,654.597,654.809,,56.2918,2.91926,0.322777,2.59648,679.272,629.921,7.5391,2017,12,4,2017-12,False
2017-12-15,SBILIFE,668.104,678.412,665.649,676.449,351667,1.3384,656.042,654.7,,60.2605,4.15575,1.08937,3.06638,682.312,629.773,8.0086,2017,12,4,2017-12,False
2017-12-18,SBILIFE,669.036,681.358,652.886,679.541,259324,0.4571,657.549,654.61,,61.5614,5.32381,1.93626,3.38755,685.612,629.487,8.5355,2017,12,4,2017-12,False
2017-12-19,SBILIFE,675.565,687.15,675.565,684.598,343970,0.7442,658.033,654.583,,63.6569,6.58169,2.86534,3.71634,687.647,628.419,9.0007,2017,12,4,2017-12,False
2017-12-20,SBILIFE,679.541,690.93,679.541,684.45,531872,-0.0216,658.229,654.527,,63.5477,7.4804,3.78835,3.69204,688.515,627.943,9.2023,2017,12,4,2017-12,False
2017-12-21,SBILIFE,680.67,691.568,680.67,689.016,259491,0.6671,659.972,654.761,,65.513,8.4635,4.72338,3.74012,693.146,626.798,10.0532,2017,12,4,2017-12,False
2017-12-22,SBILIFE,681.358,691.077,681.358,690.046,390144,0.1495,662.287,655.059,,65.9589,9.21946,5.6226,3.59686,697.115,627.458,10.5176,2017,12,4,2017-12,False
2017-12-26,SBILIFE,689.948,694.906,684.499,688.917,272983,-0.1636,664.643,655.294,,64.9674,9.61661,6.4214,3.19521,700.005,629.28,10.641,2017,12,4,2017-12,False
2017-12-27,SBILIFE,687.248,689.212,682.438,687.69,163978,-0.1781,666.95,655.89,,63.8442,9.72029,7.08118,2.63911,701.987,631.913,10.5067,2017,12,4,2017-12,False
2017-12-28,SBILIFE,684.303,690.194,677.971,686.168,269410,-0.2213,669.046,656.398,,62.403,9.56934,7.57881,1.99053,703.373,634.719,10.2615,2017,12,4,2017-12,False
2017-12-29,SBILIFE,682.781,692.55,680.376,682.683,667407,-0.5079,671.032,656.927,,59.1125,9.06401,7.87585,1.18816,703.555,638.509,9.6934,2017,12,4,2017-12,False
2018-01-01,SBILIFE,681.358,690.194,681.358,686.757,174646,0.5968,673.172,657.406,,61.6578,8.8898,8.07864,0.811159,703.768,642.576,9.0902,2018,1,1,2018-01,False
2018-01-02,SBILIFE,686.758,687.396,667.711,672.62,342012,-2.0585,674.318,657.785,,50.0214,7.52426,7.96777,-0.443502,702.86,645.777,8.4653,2018,1,1,2018-01,False
2018-01-03,SBILIFE,672.571,682.339,667.858,677.921,125483,0.7881,675.86,658.269,,53.5605,6.79152,7.73252,-0.940994,701.381,650.339,7.5522,2018,1,1,2018-01,False
2018-01-04,SBILIFE,681.947,689.408,677.431,688.819,411800,1.6076,678.093,658.891,,59.8546,7.0094,7.58789,-0.578495,699.4,656.787,6.2842,2018,1,1,2018-01,False
2018-01-05,SBILIFE,687.248,692.059,686.267,689.163,195946,0.0499,679.74,659.581,,60.0387,7.12766,7.49585,-0.368186,698.914,660.566,5.6417,2018,1,1,2018-01,False
2018-01-08,SBILIFE,679.394,694.023,679.394,691.323,310252,0.3134,680.646,660.404,,61.2407,7.3114,7.45896,-0.147559,700.228,661.063,5.754,2018,1,1,2018-01,False
2018-01-09,SBILIFE,687.396,706.835,687.396,704.184,605429,1.8603,682.732,661.627,,67.5075,8.39798,7.64676,0.751218,703.033,662.431,5.9471,2018,1,1,2018-01,False
