Date,Ticker,Open,High,Low,Close,Volume,Daily_Return_Pct,MA20,MA50,MA200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,Year,Month,Quarter,Year_Month,Price_Repaired
2000-01-03,SBIN,14.7788,15.2579,14.6692,15.2579,25152894,,,,,,0.0,0.0,0.0,,,,2000,1,1,2000-01,False
2000-01-04,SBIN,15.2579,16.407,14.9573,16.2254,47648560,6.341,,,,,0.0771795,0.0154359,0.0617436,,,,2000,1,1,2000-01,False
2000-01-05,SBIN,15.5929,16.5761,15.3424,15.5585,36396207,-4.1102,,,,,0.0835682,0.0290624,0.0545058,,,,2000,1,1,2000-01,False
2000-01-06,SBIN,15.7808,16.7827,15.7808,16.3444,70573968,5.0513,,,,,0.150314,0.0533127,0.0970014,,,,2000,1,1,2000-01,False
2000-01-07,SBIN,16.3757,17.5279,15.9686,17.1146,83453217,4.7123,,,,,0.262335,0.0951173,0.167218,,,,2000,1,1,2000-01,False
2000-01-10,SBIN,17.5342,18.151,16.6074,16.8767,58497022,-1.39,,,,,0.328134,0.141721,0.186413,,,,2000,1,1,2000-01,False
2000-01-11,SBIN,16.7076,16.7201,15.5272,15.5272,25729224,-7.9962,,,,,0.268294,0.167035,0.101259,,,,2000,1,1,2000-01,False
2000-01-12,SBIN,15.2798,15.7495,14.8164,15.3268,29729836,-1.2906,,,,,0.202367,0.174102,0.0282651,,,,2000,1,1,2000-01,False
2000-01-13,SBIN,15.405,16.0062,15.2234,15.3111,34199308,-0.1024,,,,,0.147156,0.168712,-0.0215566,,,,2000,1,1,2000-01,False
2000-01-14,SBIN,15.3424,15.3424,14.9103,14.9792,15967246,-2.1677,,,,,0.075746,0.150119,-0.0743731,,,,2000,1,1,2000-01,False
2000-01-17,SBIN,15.3048,15.7182,14.5471,14.7726,46484261,-1.3792,,,,,0.00245406,0.120586,-0.118132,,,,2000,1,1,2000-01,False
2000-01-18,SBIN,14.8352,15.0919,14.6379,14.807,28686319,0.2329,,,,,-0.0522522,0.0860184,-0.138271,,,,2000,1,1,2000-01,False
2000-01-19,SBIN,15.0857,15.499,15.0293,15.2767,26623142,3.1721,,,,,-0.0570488,0.057405,-0.114454,,,,2000,1,1,2000-01,False
2000-01-20,SBIN,15.2172,15.3299,14.7945,14.8853,12278096,-2.5621,,,,,-0.0913795,0.0276481,-0.119028,,,,2000,1,1,2000-01,False
2000-01-21,SBIN,14.951,15.0137,14.7475,14.8696,12491796,-0.1055,,,,46.987,-0.118488,-0.0015791,-0.116909,,,,2000,1,1,2000-01,False
2000-01-24,SBIN,14.8195,15.0512,14.2215,14.2966,19667143,-3.8535,,,,42.8806,-0.184086,-0.0380804,-0.146005,,,,2000,1,1,2000-01,False
2000-01-25,SBIN,14.1526,14.2716,13.9397,14.0806,23597920,-1.5108,,,,41.4113,-0.250613,-0.0805869,-0.170026,,,,2000,1,1,2000-01,False
2000-01-26,SBIN,14.0806,14.0806,14.0806,14.0806,0,0.0,,,,41.4113,-0.299879,-0.124445,-0.175434,,,,2000,1,1,2000-01,False
2000-01-27,SBIN,14.3405,14.7475,14.2778,14.4125,21205095,2.3571,,,,44.7828,-0.308585,-0.161273,-0.147311,,,,2000,1,1,2000-01,False
2000-01-28,SBIN,14.5722,15.5679,14.5722,15.5616,52762279,7.9729,15.2782,,,54.5373,-0.220222,-0.173063,-0.0471593,16.9738,13.5827,22.1959,2000,1,1,2000-01,False
2000-01-31,SBIN,15.405,16.0782,15.1859,15.3236,51181391,-1.5294,15.2815,,,52.4698,-0.167469,-0.171944,0.00447546,16.9772,13.5859,22.1923,2000,1,1,2000-01,False
2000-02-01,SBIN,15.3424,15.6994,15.2015,15.4364,23279485,0.7361,15.2421,,,53.372,-0.115231,-0.160602,0.0453707,16.881,13.6031,21.5058,2000,2,1,2000-02,False
2000-02-02,SBIN,16.0939,16.2003,15.405,15.499,24676879,0.4055,15.2391,,,53.8951,-0.0679967,-0.142081,0.0740839,16.8759,13.6023,21.4811,2000,2,1,2000-02,False
2000-02-03,SBIN,15.6555,16.5886,15.5679,16.2066,77717350,4.5655,15.2322,,,59.4343,0.0262316,-0.108418,0.13465,16.8504,13.614,21.2475,2000,2,1,2000-02,False
2000-02-04,SBIN,16.2818,16.5792,15.9373,16.025,33982238,-1.1205,15.1777,,,57.5242,0.0852718,-0.0696802,0.154952,16.5893,13.7662,18.6005,2000,2,1,2000-02,False
2000-02-07,SBIN,16.2003,16.2003,15.2548,15.4927,21819083,-3.3217,15.1085,,,52.2258,0.0880938,-0.0381254,0.126219,16.2856,13.9314,15.5819,2000,2,1,2000-02,False
2000-02-08,SBIN,15.4677,15.5616,15.0794,15.1733,25418399,-2.0616,15.0908,,,49.2921,0.0638217,-0.017736,0.0815577,16.252,13.9297,15.3885,2000,2,1,2000-02,False
2000-02-09,SBIN,15.906,15.906,15.2266,15.3675,14956246,1.2799,15.0929,,,51.091,0.0595695,-0.00227486,0.0618444,16.2559,13.9299,15.4114,2000,2,1,2000-02,False
2000-02-10,SBIN,15.1671,15.715,15.1671,15.5804,19541274,1.3854,15.1063,,,53.0573,0.0725427,0.0126886,0.059854,16.2861,13.9266,15.6194,2000,2,1,2000-02,False
2000-02-11,SBIN,15.7182,16.1377,15.4426,15.6618,31623752,0.5225,15.1405,,,53.8217,0.0883736,0.0278256,0.0605479,16.344,13.9369,15.8982,2000,2,1,2000-02,False
2000-02-14,SBIN,15.7808,16.9174,15.7401,16.6951,67707767,6.5976,15.2366,,,62.2296,0.182198,0.0587001,0.123498,16.6113,13.8619,18.0452,2000,2,1,2000-02,False
2000-02-15,SBIN,17.027,17.0332,15.4677,15.8998,50319322,-4.7637,15.2912,,,54.0696,0.190188,0.0849977,0.10519,16.6809,13.9016,18.1756,2000,2,1,2000-02,False
2000-02-16,SBIN,16.0939,16.0939,15.499,15.6555,21683665,-1.5365,15.3102,,,51.8216,0.174793,0.102957,0.0718359,16.7093,13.9111,18.2766,2000,2,1,2000-02,False
2000-02-17,SBIN,15.5303,15.8935,15.4677,15.6555,18448442,0.0,15.3487,,,51.8216,0.160739,0.114513,0.0462255,16.7409,13.9564,18.1414,2000,2,1,2000-02,False
2000-02-18,SBIN,15.7651,15.8309,14.9667,15.0982,16000844,-3.5598,15.3601,,,46.6864,0.103439,0.112298,-0.0088594,16.7395,13.9807,17.9604,2000,2,1,2000-02,False
