Date,Ticker,Open,High,Low,Close,Volume,Daily_Return_Pct,MA20,MA50,MA200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,Year,Month,Quarter,Year_Month,Price_Repaired
2002-07-01,SHRIRAMFIN,1.24541,1.24541,1.19352,1.19871,64627,,,,,,0.0,0.0,0.0,,,,2002,7,3,2002-07,False
2002-07-02,SHRIRAMFIN,1.2039,1.24541,1.19871,1.23504,67809,3.0303,,,,,0.00289771,0.000579542,0.00231817,,,,2002,7,3,2002-07,False
2002-07-03,SHRIRAMFIN,1.19352,1.23504,1.17795,1.19352,350504,-3.3614,,,,,0.00182332,0.000828298,0.000995023,,,,2002,7,3,2002-07,False
2002-07-04,SHRIRAMFIN,1.19871,1.22985,1.19352,1.19871,71611,0.4348,,,,,0.00137473,0.000937583,0.000437143,,,,2002,7,3,2002-07,False
2002-07-05,SHRIRAMFIN,1.25579,1.25579,1.18833,1.21947,109523,1.7316,,,,,0.00266339,0.00128274,0.00138064,,,,2002,7,3,2002-07,False
2002-07-08,SHRIRAMFIN,1.21428,1.22985,1.19871,1.20909,48232,-0.851,,,,,0.00281478,0.00158915,0.00122563,,,,2002,7,3,2002-07,False
2002-07-09,SHRIRAMFIN,1.29212,1.29212,1.20909,1.23504,59013,2.146,,,,,0.00497113,0.00226555,0.00270558,,,,2002,7,3,2002-07,False
2002-07-10,SHRIRAMFIN,1.2506,1.26098,1.21428,1.21947,88510,-1.2606,,,,,0.005362,0.00288484,0.00247716,,,,2002,7,3,2002-07,False
2002-07-11,SHRIRAMFIN,1.22466,1.24541,1.2039,1.22466,40498,0.4256,,,,,0.00602111,0.00351209,0.00250902,,,,2002,7,3,2002-07,False
2002-07-12,SHRIRAMFIN,1.2039,1.22466,1.18314,1.18833,42771,-2.9661,,,,,0.0035712,0.00352391,4.72885e-05,,,,2002,7,3,2002-07,False
2002-07-15,SHRIRAMFIN,1.21428,1.21428,1.16239,1.18314,48601,-0.4367,,,,,0.00119713,0.00305856,-0.00186143,,,,2002,7,3,2002-07,False
2002-07-16,SHRIRAMFIN,1.2039,1.2039,1.16239,1.19871,31944,1.3158,,,,,0.000565311,0.00255991,-0.0019946,,,,2002,7,3,2002-07,False
2002-07-17,SHRIRAMFIN,1.16758,1.18833,1.14682,1.17276,37204,-2.1645,,,,,-0.00200596,0.00164673,-0.00365269,,,,2002,7,3,2002-07,False
2002-07-18,SHRIRAMFIN,1.16239,1.41147,1.16239,1.41147,248765,20.3541,,,,,0.0150444,0.00432626,0.0107181,,,,2002,7,3,2002-07,False
2002-07-19,SHRIRAMFIN,1.45298,1.69688,1.35958,1.69688,1821085,20.2206,,,,82.4324,0.050999,0.0136608,0.0373382,,,,2002,7,3,2002-07,False
2002-07-22,SHRIRAMFIN,1.69688,1.86812,1.56196,1.66055,1296691,-2.1407,,,,78.437,0.0756897,0.0260666,0.0496231,,,,2002,7,3,2002-07,False
2002-07-23,SHRIRAMFIN,1.59309,1.71763,1.3492,1.4426,905236,-13.125,,,,59.7311,0.0767855,0.0362104,0.0405751,,,,2002,7,3,2002-07,False
2002-07-24,SHRIRAMFIN,1.42704,1.42704,1.32325,1.34401,91665,-6.8345,,,,53.5137,0.0689039,0.0427491,0.0261548,,,,2002,7,3,2002-07,False
2002-07-25,SHRIRAMFIN,1.40109,1.4945,1.33363,1.3492,116754,0.3861,,,,53.7863,0.0623576,0.0466708,0.0156868,,,,2002,7,3,2002-07,False
2002-07-26,SHRIRAMFIN,1.3492,1.38033,1.2039,1.24541,146409,-7.6923,1.29134,,,47.7537,0.048239,0.0469844,0.00125455,1.59772,0.984954,47.4522,2002,7,3,2002-07,False
2002-07-29,SHRIRAMFIN,1.24541,1.40109,1.21947,1.26098,59624,1.25,1.29445,,,48.6834,0.0378695,0.0451614,-0.00729196,1.59813,0.990778,46.9194,2002,7,3,2002-07,False
2002-07-30,SHRIRAMFIN,1.26617,1.26617,1.22466,1.22985,38281,-2.4691,1.29419,,,46.8863,0.0268299,0.0414951,-0.0146652,1.59809,0.990296,46.9632,2002,7,3,2002-07,False
2002-07-31,SHRIRAMFIN,1.18314,1.24541,1.18314,1.24023,102683,0.8439,1.29653,,,47.5809,0.0187029,0.0369367,-0.0182338,1.59788,0.995181,46.4853,2002,7,3,2002-07,False
2002-08-01,SHRIRAMFIN,1.22466,1.25579,1.21947,1.22466,49776,-1.2552,1.29783,,,46.5965,0.0108806,0.0317255,-0.0208449,1.59762,0.998032,46.1994,2002,8,3,2002-08,False
2002-08-02,SHRIRAMFIN,1.25579,1.25579,1.21947,1.23504,12767,0.8475,1.2986,,,47.3782,0.0054559,0.0264715,-0.0210157,1.59762,0.999587,46.0521,2002,8,3,2002-08,False
2002-08-05,SHRIRAMFIN,1.23504,1.25579,1.22466,1.24023,16646,0.4201,1.30016,,,47.7896,0.00155754,0.0214887,-0.0199312,1.59754,1.00279,45.7443,2002,8,3,2002-08,False
2002-08-06,SHRIRAMFIN,1.24541,1.32325,1.24541,1.32325,25031,6.6946,1.30457,,,53.9889,0.00510884,0.0182128,-0.0131039,1.60049,1.00865,45.3667,2002,8,3,2002-08,False
2002-08-07,SHRIRAMFIN,1.29731,1.33882,1.29731,1.30769,60024,-1.1765,1.30898,,,52.7248,0.0065911,0.0158884,-0.00929734,1.60218,1.01579,44.7977,2002,8,3,2002-08,False
2002-08-08,SHRIRAMFIN,1.29731,1.29731,1.22466,1.24541,26828,-4.7619,1.31002,,,47.8941,0.00270983,0.0132527,-0.0105429,1.60211,1.01794,44.5924,2002,8,3,2002-08,False
2002-08-09,SHRIRAMFIN,1.26098,1.26098,1.23504,1.24541,69020,0.0,1.31287,,,47.8941,-0.00036193,0.0105298,-0.0108917,1.60104,1.02471,43.8987,2002,8,3,2002-08,False
2002-08-12,SHRIRAMFIN,1.23504,1.26617,1.23504,1.26098,9447,1.25,1.31677,,,49.2424,-0.00152262,0.0081193,-0.00964192,1.59961,1.03392,42.9603,2002,8,3,2002-08,False
2002-08-13,SHRIRAMFIN,1.24541,1.27136,1.24541,1.25579,14548,-0.4115,1.31962,,,48.7892,-0.00282858,0.00592973,-0.00875831,1.59857,1.04067,42.2778,2002,8,3,2002-08,False
2002-08-14,SHRIRAMFIN,1.24541,1.27136,1.23504,1.2506,13254,-0.4132,1.32351,,,48.3104,-0.00423347,0.00389709,-0.00813055,1.59593,1.05109,41.1665,2002,8,3,2002-08,False
2002-08-15,SHRIRAMFIN,1.2506,1.2506,1.2506,1.2506,0,0.0,1.31547,,,48.3104,-0.00528592,0.00206049,-0.0073464,1.58645,1.04449,41.1994,2002,8,3,2002-08,False
2002-08-16,SHRIRAMFIN,1.42185,1.42185,1.22466,1.26617,18304,1.2448,1.29393,,,50.0171,-0.00480842,0.000686705,-0.00549513,1.49732,1.09055,31.4364,2002,8,3,2002-08,False
2002-08-19,SHRIRAMFIN,1.27136,1.27136,1.23504,1.26098,16287,-0.4098,1.27396,,,49.4312,-0.00479347,-0.000409331,-0.00438414,1.38173,1.16618,16.9201,2002,8,3,2002-08,False
2002-08-20,SHRIRAMFIN,1.24541,1.25579,1.24541,1.25579,20613,-0.4115,1.26461,,,48.8154,-0.00514107,-0.00135568,-0.00378539,1.33762,1.19161,11.5462,2002,8,3,2002-08,False
