Date,Ticker,Open,High,Low,Close,Volume,Daily_Return_Pct,MA20,MA50,MA200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,Year,Month,Quarter,Year_Month,Price_Repaired
2000-01-03,SUNPHARMA,11.4427,11.6655,11.1884,11.6655,390399,,,,,,0.0,0.0,0.0,,,,2000,1,1,2000-01,False
2000-01-04,SUNPHARMA,12.4598,12.4598,11.2075,11.5091,747102,-1.3405,,,,,-0.0124749,-0.00249498,-0.00997991,,,,2000,1,1,2000-01,False
2000-01-05,SUNPHARMA,11.7288,11.7288,11.0613,11.1051,788156,-3.5102,,,,,-0.0543338,-0.0128627,-0.041471,,,,2000,1,1,2000-01,False
2000-01-06,SUNPHARMA,11.1249,11.4109,11.0295,11.0943,448235,-0.0973,,,,,-0.0873719,-0.0277646,-0.0596073,,,,2000,1,1,2000-01,False
2000-01-07,SUNPHARMA,10.8388,10.8388,10.2069,10.2069,532538,-7.9991,,,,,-0.183054,-0.0588225,-0.124232,,,,2000,1,1,2000-01,False
2000-01-10,SUNPHARMA,10.4891,10.7879,9.39573,9.73806,565200,-4.5933,,,,,-0.293333,-0.105725,-0.187609,,,,2000,1,1,2000-01,False
2000-01-11,SUNPHARMA,9.67545,10.0442,8.96377,9.58136,3569362,-1.6091,,,,,-0.388891,-0.162358,-0.226533,,,,2000,1,1,2000-01,False
2000-01-12,SUNPHARMA,9.35123,9.47837,8.81502,9.00795,2438960,-5.9846,,,,,-0.505069,-0.2309,-0.274169,,,,2000,1,1,2000-01,False
2000-01-13,SUNPHARMA,8.89989,9.62141,8.65196,9.48792,2031391,5.3282,,,,,-0.552048,-0.29513,-0.256918,,,,2000,1,1,2000-01,False
2000-01-14,SUNPHARMA,9.37667,10.1904,9.34488,10.0337,1967099,5.7521,,,,,-0.539028,-0.343909,-0.195119,,,,2000,1,1,2000-01,False
2000-01-17,SUNPHARMA,10.6163,10.8366,10.2031,10.8366,1520413,8.002,,,,,-0.458636,-0.366855,-0.0917812,,,,2000,1,1,2000-01,False
2000-01-18,SUNPHARMA,10.807,10.9214,10.2667,10.4558,712504,-3.5139,,,,,-0.4208,-0.377644,-0.0431563,,,,2000,1,1,2000-01,False
2000-01-19,SUNPHARMA,10.8706,10.9659,10.4891,10.8216,1034350,3.499,,,,,-0.357177,-0.37355,0.0163736,,,,2000,1,1,2000-01,False
2000-01-20,SUNPHARMA,10.8642,11.0295,10.5909,10.6503,605996,-1.5831,,,,,-0.316926,-0.362225,0.0452997,,,,2000,1,1,2000-01,False
2000-01-21,SUNPHARMA,11.1245,11.5025,10.9977,11.5025,1130014,8.0013,,,,48.6969,-0.213799,-0.33254,0.118741,,,,2000,1,1,2000-01,False
2000-01-24,SUNPHARMA,12.4227,12.4227,11.9354,12.0736,9673994,4.9657,,,,53.2894,-0.0850015,-0.283033,0.198031,,,,2000,1,1,2000-01,False
2000-01-25,SUNPHARMA,11.9195,12.587,11.5762,12.3588,2295014,2.3614,,,,55.434,0.0396212,-0.218502,0.258123,,,,2000,1,1,2000-01,False
2000-01-26,SUNPHARMA,12.3588,12.3588,12.3588,12.3588,0,0.0,,,,55.434,0.136809,-0.14744,0.284248,,,,2000,1,1,2000-01,False
2000-01-27,SUNPHARMA,13.2545,13.3473,11.7415,11.8985,5672017,-3.7241,,,,51.0463,0.174678,-0.0830162,0.257694,,,,2000,1,1,2000-01,False
2000-01-28,SUNPHARMA,12.0784,12.5546,11.7923,12.2602,4640377,3.04,10.9323,,,54.1199,0.231212,-0.0201705,0.251383,12.9855,8.87919,37.561,2000,1,1,2000-01,False
2000-01-31,SUNPHARMA,12.587,12.7777,12.0148,12.3257,4652900,0.5341,10.9653,,,54.6746,0.278094,0.0394823,0.238611,13.0882,8.84252,38.7188,2000,1,1,2000-01,False
2000-02-01,SUNPHARMA,12.5234,13.312,12.3963,13.312,12255740,8.002,11.0555,,,62.1073,0.390334,0.109653,0.280682,13.4154,8.69556,42.6923,2000,2,1,2000-02,False
2000-02-02,SUNPHARMA,14.3771,14.3771,14.0593,14.3762,15600468,7.994,11.219,,,68.1718,0.558715,0.199465,0.35925,14.0079,8.43021,49.716,2000,2,1,2000-02,False
2000-02-03,SUNPHARMA,14.4941,14.9709,13.6613,14.0793,5672404,-2.065,11.3683,,,65.0444,0.660588,0.29169,0.368898,14.4347,8.30188,53.9466,2000,2,1,2000-02,False
2000-02-04,SUNPHARMA,14.367,14.545,13.3816,13.585,4040836,-3.5106,11.5372,,,60.1008,0.693446,0.372041,0.321405,14.7047,8.36966,54.91,2000,2,1,2000-02,False
2000-02-07,SUNPHARMA,13.4137,13.6677,13.2929,13.5234,3334270,-0.4539,11.7265,,,59.4932,0.706369,0.438907,0.267462,14.8937,8.5592,54.019,2000,2,1,2000-02,False
2000-02-08,SUNPHARMA,13.4833,14.5259,13.3625,14.2268,9837306,5.2015,11.9587,,,63.9676,0.764556,0.504036,0.260519,15.1449,8.77254,53.2863,2000,2,1,2000-02,False
2000-02-09,SUNPHARMA,14.92,14.92,13.6613,13.7306,2698452,-3.4876,12.1949,,,59.0156,0.761851,0.555599,0.206251,15.152,9.23768,48.4987,2000,2,1,2000-02,False
2000-02-10,SUNPHARMA,14.297,14.297,13.5151,13.6397,2656623,-0.6621,12.4025,,,58.1278,0.743797,0.593239,0.150558,15.1338,9.6711,44.0454,2000,2,1,2000-02,False
2000-02-11,SUNPHARMA,14.0809,14.0809,13.2227,13.333,1971489,-2.2488,12.5674,,,55.1148,0.696708,0.613933,0.0827756,15.0867,10.0481,40.0921,2000,2,1,2000-02,False
2000-02-14,SUNPHARMA,13.5723,13.7312,13.1083,13.4395,1851038,0.7986,12.6976,,,55.968,0.66037,0.62322,0.0371495,15.1069,10.2882,37.9492,2000,2,1,2000-02,False
2000-02-15,SUNPHARMA,13.1591,13.4388,12.7141,12.916,2378412,-3.8953,12.8206,,,50.8499,0.582612,0.615099,-0.0324862,14.9869,10.6542,33.795,2000,2,1,2000-02,False
2000-02-16,SUNPHARMA,13.318,13.6677,12.8985,13.0329,1629244,0.9056,12.9311,,,51.9082,0.524383,0.596955,-0.0725724,14.883,10.9792,30.1891,2000,2,1,2000-02,False
2000-02-17,SUNPHARMA,13.318,14.0758,13.318,14.0758,1123817,8.0019,13.1024,,,60.1468,0.555978,0.58876,-0.0327818,14.7956,11.4092,25.8461,2000,2,1,2000-02,False
2000-02-18,SUNPHARMA,15.202,15.202,15.202,15.202,1350775,8.0006,13.2874,,,66.7675,0.664232,0.603854,0.0603776,15.0515,11.5233,26.5531,2000,2,1,2000-02,False
2000-02-21,SUNPHARMA,16.1914,16.4184,15.3205,16.4184,3095822,8.0018,13.5046,,,72.1495,0.838513,0.650786,0.187727,15.665,11.3443,31.994,2000,2,1,2000-02,False
2000-02-22,SUNPHARMA,16.3376,17.3548,15.7337,16.9975,6792736,3.5273,13.7366,,,74.2847,1.0117,0.722969,0.288732,16.3313,11.1418,37.7784,2000,2,1,2000-02,False
2000-02-23,SUNPHARMA,17.5455,17.5455,16.2172,16.4317,1877116,-3.3286,13.9402,,,68.74,1.09073,0.796521,0.294206,16.7129,11.1676,39.7792,2000,2,1,2000-02,False
2000-02-24,SUNPHARMA,16.6873,17.7464,16.2105,17.5881,5097521,7.0373,14.2247,,,73.151,1.23246,0.883708,0.348748,17.2695,11.1799,42.8099,2000,2,1,2000-02,False
2000-02-25,SUNPHARMA,18.9123,18.9123,16.6619,16.9355,1732137,-3.7102,14.4585,,,67.3734,1.2774,0.962445,0.314951,17.585,11.3319,43.2487,2000,2,1,2000-02,False
2000-02-28,SUNPHARMA,16.3694,18.2905,16.3694,18.2893,4670199,7.9935,14.7566,,,72.267,1.40604,1.05116,0.354876,18.1526,11.3606,46.0268,2000,2,1,2000-02,False
2000-02-29,SUNPHARMA,18.747,19.7514,16.8271,16.9425,4243523,-7.3636,14.9382,,,62.2621,1.38337,1.11761,0.265767,18.3966,11.4797,46.3031,2000,2,1,2000-02,False
2000-03-01,SUNPHARMA,16.5919,17.6599,15.5875,15.6965,9967568,-7.3542,15.0042,,,54.7148,1.25045,1.14418,0.106278,18.4678,11.5405,46.1692,2000,3,1,2000-03,False
2000-03-02,SUNPHARMA,15.8926,16.9098,15.3904,15.9006,7091473,1.3001,15.0952,,,55.6627,1.14834,1.14501,0.00333438,18.5523,11.6382,45.8029,2000,3,1,2000-03,False
2000-03-03,SUNPHARMA,15.8927,16.2105,14.6285,14.6285,4984687,-8.0,15.1474,,,48.8047,0.953782,1.10676,-0.152982,18.5394,11.7555,44.7858,2000,3,1,2000-03,False
2000-03-06,SUNPHARMA,14.4432,14.4432,13.4585,13.4585,1979493,-7.9982,15.1442,,,43.4963,0.697144,1.02484,-0.327696,18.5428,11.7456,44.8833,2000,3,1,2000-03,False
2000-03-07,SUNPHARMA,12.382,13.6359,12.382,12.8626,11674272,-4.4282,15.076,,,41.0472,0.440588,0.90799,-0.467402,18.6044,11.5476,46.8084,2000,3,1,2000-03,False
2000-03-08,SUNPHARMA,12.7667,13.4194,11.4862,12.4189,7496030,-3.4495,15.0104,,,39.2742,0.199167,0.766225,-0.567058,18.6896,11.3311,49.0227,2000,3,1,2000-03,False
2000-03-09,SUNPHARMA,12.6138,12.9769,12.2316,12.4858,2105925,0.5386,14.9527,,,39.6971,0.0130858,0.615597,-0.602511,18.7565,11.1488,50.8783,2000,3,1,2000-03,False
2000-03-10,SUNPHARMA,12.5947,12.8814,12.0787,12.3405,911017,-1.1633,14.9031,13.0568,,39.061,-0.14444,0.46359,-0.60803,18.8201,10.986,52.5666,2000,3,1,2000-03,False
2000-03-13,SUNPHARMA,12.804,13.3286,12.4236,12.7638,3600518,3.4304,14.8693,13.0788,,41.9791,-0.232443,0.324383,-0.556826,18.8506,10.888,53.5505,2000,3,1,2000-03,False
2000-03-14,SUNPHARMA,12.9005,13.7854,12.7285,13.7854,3852737,8.0033,14.9127,13.1243,,48.4002,-0.217252,0.216056,-0.433308,18.8226,11.0029,52.4361,2000,3,1,2000-03,False
2000-03-15,SUNPHARMA,14.1428,14.8881,13.7796,14.2593,4716675,3.4382,14.9741,13.1874,,51.1041,-0.165065,0.139832,-0.304897,18.7973,11.1509,51.0643,2000,3,1,2000-03,False
2000-03-16,SUNPHARMA,13.8561,14.9072,13.7796,14.5623,2755815,2.1244,14.9984,13.2567,,52.8062,-0.0981317,0.0922392,-0.190371,18.8037,11.1931,50.7426,2000,3,1,2000-03,False
2000-03-17,SUNPHARMA,14.5623,14.5623,14.5623,14.5623,0,0.0,14.9664,13.3438,,52.8062,-0.044573,0.0648768,-0.10945,18.7752,11.1576,50.8985,2000,3,1,2000-03,False
2000-03-20,SUNPHARMA,14.5623,14.5623,14.5623,14.5623,0,0.0,14.8736,13.4403,,52.8062,-0.00210305,0.0514808,-0.0535839,18.6235,11.1237,50.4232,2000,3,1,2000-03,False
2000-03-21,SUNPHARMA,14.9072,15.4424,14.4677,15.2684,2932424,4.8494,14.7871,13.5541,,57.1494,0.0875289,0.0586904,0.0288385,18.4083,11.1659,48.9778,2000,3,1,2000-03,False
2000-03-22,SUNPHARMA,15.557,15.557,14.0472,14.0472,1376767,-7.9985,14.6679,13.6548,,48.7875,0.0593346,0.0588193,0.000515347,18.2174,11.1184,48.3986,2000,3,1,2000-03,False
2000-03-23,SUNPHARMA,13.2063,14.0443,13.1107,13.8599,1472559,-1.3333,14.4815,13.7423,,47.6363,0.0216278,0.051381,-0.0297532,17.7671,11.1959,45.3763,2000,3,1,2000-03,False
2000-03-24,SUNPHARMA,14.0233,14.2374,13.665,14.0137,894750,1.11,14.3354,13.8219,,48.707,0.00411182,0.0419271,-0.0378153,17.4149,11.2559,42.9638,2000,3,1,2000-03,False
2000-03-27,SUNPHARMA,14.1036,14.1036,12.8957,12.9005,1886067,-7.9441,14.066,13.8632,,42.013,-0.0984657,0.0138486,-0.112314,16.58,11.552,35.7456,2000,3,1,2000-03,False
2000-03-28,SUNPHARMA,12.5182,13.0343,11.8684,11.8837,1690524,-7.8815,13.813,13.8917,,37.0102,-0.258819,-0.0406849,-0.218134,16.1177,11.5084,33.3688,2000,3,1,2000-03,False
