Date,Ticker,Open,High,Low,Close,Volume,Daily_Return_Pct,MA20,MA50,MA200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,Year,Month,Quarter,Year_Month,Price_Repaired
2000-01-03,TATACONSUM,32.36,34.01,31.84,33.83,1637610,,,,,,0.0,0.0,0.0,,,,2000,1,1,2000-01,False
2000-01-04,TATACONSUM,34.16,34.16,32.48,33.02,837330,-2.409,,,,,-0.065,-0.013,-0.052,,,,2000,1,1,2000-01,False
2000-01-05,TATACONSUM,31.47,33.08,31.17,31.64,854660,-4.166,,,,,-0.225,-0.0554,-0.1696,,,,2000,1,1,2000-01,False
2000-01-06,TATACONSUM,31.77,33.69,31.77,32.7,1328510,3.343,,,,,-0.2633,-0.097,-0.1663,,,,2000,1,1,2000-01,False
2000-01-07,TATACONSUM,32.36,35.32,32.36,35.31,3353820,7.973,,,,,-0.0824,-0.0941,0.0117,,,,2000,1,1,2000-01,False
2000-01-10,TATACONSUM,37.46,37.64,34.7,35.62,1858870,0.883,,,,,0.0852,-0.0582,0.1434,,,,2000,1,1,2000-01,False
2000-01-11,TATACONSUM,34.46,34.94,32.77,33.97,1527270,-4.627,,,,,0.084,-0.0298,0.1138,,,,2000,1,1,2000-01,False
2000-01-12,TATACONSUM,35.06,35.29,33.86,34.46,410470,1.438,,,,,0.1211,0.0004,0.1207,,,,2000,1,1,2000-01,False
2000-01-13,TATACONSUM,35.6,35.6,33.32,33.47,472060,-2.879,,,,,0.0697,0.0143,0.0554,,,,2000,1,1,2000-01,False
2000-01-14,TATACONSUM,33.56,33.56,32.42,32.93,372820,-1.621,,,,,-0.0147,0.0085,-0.0232,,,,2000,1,1,2000-01,False
2000-01-17,TATACONSUM,33.26,33.98,32.96,33.42,530120,1.493,,,,,-0.0415,-0.0015,-0.0399,,,,2000,1,1,2000-01,False
2000-01-18,TATACONSUM,33.02,33.07,32.07,32.24,783580,-3.533,,,,,-0.1561,-0.0324,-0.1237,,,,2000,1,1,2000-01,False
2000-01-19,TATACONSUM,32.96,33.26,31.86,32.24,789520,0.019,,,,,-0.2437,-0.0747,-0.169,,,,2000,1,1,2000-01,False
2000-01-20,TATACONSUM,32.33,32.42,31.29,31.42,443590,-2.556,,,,,-0.3753,-0.1348,-0.2405,,,,2000,1,1,2000-01,False
2000-01-21,TATACONSUM,31.47,32.3,31.06,31.84,430100,1.345,,,,42.193,-0.4404,-0.1959,-0.2445,,,,2000,1,1,2000-01,False
2000-01-24,TATACONSUM,31.92,32.07,31.3,31.41,436020,-1.355,,,,40.711,-0.5208,-0.2609,-0.2599,,,,2000,1,1,2000-01,False
2000-01-25,TATACONSUM,31.17,31.41,29.43,29.66,1211950,-5.582,,,,35.287,-0.7177,-0.3522,-0.3654,,,,2000,1,1,2000-01,False
2000-01-26,TATACONSUM,29.66,29.66,29.66,29.66,0,0.0,,,,35.287,-0.8638,-0.4546,-0.4092,,,,2000,1,1,2000-01,False
2000-01-27,TATACONSUM,29.97,29.97,28.95,29.41,1713620,-0.819,,,,34.548,-0.9878,-0.5612,-0.4266,,,,2000,1,1,2000-01,False
2000-01-28,TATACONSUM,29.67,30.81,29.55,29.72,1842680,1.029,32.4,,,36.338,-1.0495,-0.6589,-0.3906,36.08,28.71,22.762,2000,1,1,2000-01,False
2000-01-31,TATACONSUM,29.43,29.49,28.59,28.9,873570,-2.733,32.15,,,33.676,-1.1507,-0.7572,-0.3935,36.08,28.22,24.471,2000,1,1,2000-01,False
2000-02-01,TATACONSUM,29.07,29.31,27.9,28.15,901120,-2.602,31.91,,,31.383,-1.2769,-0.8612,-0.4157,36.2,27.61,26.913,2000,2,1,2000-02,False
2000-02-02,TATACONSUM,29.37,29.37,25.91,26.26,2163590,-6.717,31.64,,,26.498,-1.512,-0.9913,-0.5207,36.62,26.66,31.499,2000,2,1,2000-02,False
2000-02-03,TATACONSUM,26.3,26.85,25.3,25.64,2588490,-2.362,31.29,,,25.117,-1.7285,-1.1388,-0.5897,36.91,25.66,35.96,2000,2,1,2000-02,False
2000-02-04,TATACONSUM,26.91,27.69,26.9,27.69,1446730,8.006,30.9,,,36.848,-1.7147,-1.2539,-0.4607,36.41,25.4,35.648,2000,2,1,2000-02,False
2000-02-07,TATACONSUM,29.73,29.91,28.17,29.91,1921900,8.008,30.62,,,46.584,-1.5074,-1.3046,-0.2027,35.67,25.57,33.002,2000,2,1,2000-02,False
2000-02-08,TATACONSUM,32.07,32.3,30.39,30.63,2340810,2.415,30.45,,,49.324,-1.2702,-1.2977,0.0276,35.25,25.65,31.528,2000,2,1,2000-02,False
2000-02-09,TATACONSUM,32.36,33.08,32.3,33.08,1022560,8.002,30.38,,,57.325,-0.8743,-1.2131,0.3387,34.98,25.79,30.239,2000,2,1,2000-02,False
2000-02-10,TATACONSUM,34.16,35.73,32.49,35.37,4443300,6.911,30.48,,,63.167,-0.3718,-1.0448,0.673,35.41,25.55,32.346,2000,2,1,2000-02,False
2000-02-11,TATACONSUM,33.56,35.6,33.02,33.32,1798570,-5.804,30.5,,,55.784,-0.1376,-0.8634,0.7257,35.47,25.52,32.613,2000,2,1,2000-02,False
2000-02-14,TATACONSUM,33.68,33.68,31.84,32.57,1108600,-2.249,30.46,,,53.334,-0.0123,-0.6932,0.6808,35.34,25.57,32.06,2000,2,1,2000-02,False
2000-02-15,TATACONSUM,32.07,34.7,31.83,32.52,2245110,-0.156,30.47,,,53.163,0.0819,-0.5382,0.62,35.38,25.56,32.198,2000,2,1,2000-02,False
2000-02-16,TATACONSUM,33.86,34.64,33.44,33.59,1164040,3.29,30.54,,,56.329,0.2401,-0.3825,0.6226,35.58,25.49,33.026,2000,2,1,2000-02,False
2000-02-17,TATACONSUM,34.19,34.59,33.04,33.53,572990,-0.178,30.64,,,56.1,0.3566,-0.2347,0.5913,35.85,25.44,33.977,2000,2,1,2000-02,False
2000-02-18,TATACONSUM,34.1,36.18,33.86,34.73,3356990,3.575,30.79,,,59.632,0.5394,-0.0799,0.6193,36.28,25.29,35.712,2000,2,1,2000-02,False
2000-02-21,TATACONSUM,35.66,36.86,34.23,35.69,1758160,2.787,31.0,,,62.272,0.7537,0.0868,0.6668,36.92,25.08,38.175,2000,2,1,2000-02,False
2000-02-22,TATACONSUM,35.66,35.66,33.04,33.35,1093190,-6.565,31.19,,,53.202,0.726,0.2147,0.5114,37.16,25.21,38.293,2000,2,1,2000-02,False
2000-02-23,TATACONSUM,34.88,35.42,31.17,31.5,1151330,-5.535,31.28,,,47.351,0.5488,0.2815,0.2673,37.21,25.35,37.907,2000,2,1,2000-02,False
2000-02-24,TATACONSUM,32.27,32.27,29.07,30.17,1026010,-4.223,31.32,,,43.627,0.2976,0.2847,0.0129,37.2,25.43,37.601,2000,2,1,2000-02,False
2000-02-25,TATACONSUM,29.97,31.59,29.67,30.33,530710,0.516,31.35,,,44.18,0.1098,0.2498,-0.1399,37.21,25.49,37.38,2000,2,1,2000-02,False
2000-02-28,TATACONSUM,32.36,32.76,31.59,32.66,1848900,7.697,31.54,,,51.816,0.1477,0.2293,-0.0816,37.3,25.77,36.589,2000,2,1,2000-02,False
2000-02-29,TATACONSUM,33.26,33.5,30.05,30.18,1838950,-7.606,31.64,,,44.794,-0.0225,0.179,-0.2015,37.22,26.05,35.321,2000,2,1,2000-02,False
2000-03-01,TATACONSUM,30.74,30.74,28.48,29.07,1109310,-3.664,31.78,,,42.061,-0.2438,0.0944,-0.3382,36.92,26.64,32.357,2000,3,1,2000-03,False
2000-03-02,TATACONSUM,29.58,29.58,26.75,26.75,1545850,-7.998,31.83,,,36.956,-0.5999,-0.0445,-0.5555,36.71,26.95,30.658,2000,3,1,2000-03,False
2000-03-03,TATACONSUM,25.47,26.07,24.61,24.87,1545830,-7.036,31.69,,,33.42,-1.0222,-0.24,-0.7822,37.2,26.18,34.758,2000,3,1,2000-03,False
2000-03-06,TATACONSUM,25.35,26.31,24.93,25.68,840840,3.29,31.48,,,36.274,-1.2762,-0.4472,-0.8289,37.57,25.39,38.683,2000,3,1,2000-03,False
2000-03-07,TATACONSUM,25.3,25.77,23.64,24.77,1565080,-3.559,31.19,,,34.495,-1.5335,-0.6645,-0.869,37.97,24.4,43.512,2000,3,1,2000-03,False
