Date,Ticker,Open,High,Low,Close,Volume,Daily_Return_Pct,MA20,MA50,MA200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,Year,Month,Quarter,Year_Month,Price_Repaired
2000-01-03,TATASTEEL,3.84,3.98,3.8,3.96,35678775,,,,,,0.0,0.0,0.0,,,,2000,1,1,2000-01,False
2000-01-04,TATASTEEL,3.9,3.97,3.72,3.92,27698564,-1.01,,,,,-0.0032,-0.0006,-0.0026,,,,2000,1,1,2000-01,False
2000-01-05,TATASTEEL,3.76,4.23,3.76,4.07,68399389,3.827,,,,,0.0063,0.0008,0.0056,,,,2000,1,1,2000-01,False
2000-01-06,TATASTEEL,4.13,4.39,4.13,4.37,45604218,7.371,,,,,0.0376,0.0081,0.0295,,,,2000,1,1,2000-01,False
2000-01-07,TATASTEEL,4.5,4.65,4.32,4.47,64862245,2.288,,,,,0.0697,0.0204,0.0493,,,,2000,1,1,2000-01,False
2000-01-10,TATASTEEL,4.52,4.8,4.52,4.73,82679734,5.817,,,,,0.1148,0.0393,0.0755,,,,2000,1,1,2000-01,False
2000-01-11,TATASTEEL,4.65,4.68,4.36,4.36,30385036,-7.822,,,,,0.1193,0.0553,0.064,,,,2000,1,1,2000-01,False
2000-01-12,TATASTEEL,4.29,4.47,4.13,4.29,41637507,-1.606,,,,,0.1158,0.0674,0.0484,,,,2000,1,1,2000-01,False
2000-01-13,TATASTEEL,4.36,4.42,4.05,4.14,28226963,-3.497,,,,,0.0999,0.0739,0.026,,,,2000,1,1,2000-01,False
2000-01-14,TATASTEEL,4.18,4.21,4.05,4.12,27459807,-0.483,,,,,0.0846,0.076,0.0086,,,,2000,1,1,2000-01,False
2000-01-17,TATASTEEL,4.28,4.45,4.24,4.33,59244274,5.097,,,,,0.0885,0.0785,0.0099,,,,2000,1,1,2000-01,False
2000-01-18,TATASTEEL,4.34,4.57,4.24,4.49,62638289,3.695,,,,,0.1032,0.0835,0.0198,,,,2000,1,1,2000-01,False
2000-01-19,TATASTEEL,4.6,4.62,4.44,4.49,46612607,0.0,,,,,0.1136,0.0895,0.0241,,,,2000,1,1,2000-01,False
2000-01-20,TATASTEEL,4.44,4.65,4.17,4.24,147077200,-5.568,,,,,0.1005,0.0917,0.0088,,,,2000,1,1,2000-01,False
2000-01-21,TATASTEEL,4.23,4.28,4.13,4.22,49780760,-0.472,,,,56.19,0.0875,0.0909,-0.0033,,,,2000,1,1,2000-01,False
2000-01-24,TATASTEEL,4.26,4.26,3.9,3.93,43574830,-6.872,,,,48.916,0.0532,0.0833,-0.0301,,,,2000,1,1,2000-01,False
2000-01-25,TATASTEEL,3.9,4.0,3.82,3.86,53971979,-1.781,,,,47.323,0.0201,0.0707,-0.0506,,,,2000,1,1,2000-01,False
2000-01-26,TATASTEEL,3.86,3.86,3.86,3.86,0,0.0,,,,47.323,-0.006,0.0554,-0.0614,,,,2000,1,1,2000-01,False
2000-01-27,TATASTEEL,3.93,3.99,3.83,3.85,26117052,-0.259,,,,47.069,-0.0272,0.0388,-0.0661,,,,2000,1,1,2000-01,False
2000-01-28,TATASTEEL,3.84,3.92,3.72,3.75,35562060,-2.597,4.17,,,44.498,-0.0515,0.0208,-0.0723,4.71,3.63,25.84,2000,1,1,2000-01,False
2000-01-31,TATASTEEL,3.72,3.74,3.6,3.62,22607247,-3.467,4.16,,,41.337,-0.0803,0.0006,-0.0809,4.74,3.57,28.234,2000,1,1,2000-01,False
2000-02-01,TATASTEEL,3.61,3.71,3.6,3.65,31135985,0.829,4.14,,,42.355,-0.0996,-0.0195,-0.0801,4.76,3.52,29.98,2000,2,1,2000-02,False
2000-02-02,TATASTEEL,3.73,3.77,3.64,3.66,24517675,0.274,4.12,,,42.712,-0.1127,-0.0381,-0.0746,4.78,3.46,31.878,2000,2,1,2000-02,False
2000-02-03,TATASTEEL,3.69,3.8,3.63,3.64,58332652,-0.546,4.08,,,42.15,-0.1234,-0.0552,-0.0682,4.76,3.41,33.269,2000,2,1,2000-02,False
2000-02-04,TATASTEEL,3.69,3.69,3.61,3.64,29466753,0.0,4.04,,,42.15,-0.1303,-0.0702,-0.0601,4.73,3.36,33.728,2000,2,1,2000-02,False
2000-02-07,TATASTEEL,3.64,3.66,3.59,3.61,16559674,-0.824,3.99,,,41.207,-0.1366,-0.0835,-0.0531,4.61,3.36,31.408,2000,2,1,2000-02,False
2000-02-08,TATASTEEL,3.6,3.73,3.59,3.67,47686611,1.662,3.95,,,43.91,-0.1352,-0.0938,-0.0414,4.57,3.34,31.152,2000,2,1,2000-02,False
2000-02-09,TATASTEEL,3.78,3.9,3.72,3.75,50720220,2.18,3.93,,,47.383,-0.1262,-0.1003,-0.0259,4.53,3.33,30.6,2000,2,1,2000-02,False
2000-02-10,TATASTEEL,3.78,3.78,3.67,3.68,19483033,-1.867,3.9,,,44.77,-0.1233,-0.1049,-0.0184,4.5,3.3,30.818,2000,2,1,2000-02,False
2000-02-11,TATASTEEL,3.74,3.74,3.63,3.64,20478990,-1.087,3.88,,,43.301,-0.1228,-0.1085,-0.0143,4.48,3.28,31.103,2000,2,1,2000-02,False
2000-02-14,TATASTEEL,3.61,3.65,3.43,3.5,18048444,-3.846,3.84,,,38.535,-0.1322,-0.1132,-0.019,4.42,3.25,30.571,2000,2,1,2000-02,False
2000-02-15,TATASTEEL,3.47,3.56,3.38,3.42,32393140,-2.286,3.78,,,36.09,-0.1444,-0.1195,-0.0249,4.31,3.26,27.922,2000,2,1,2000-02,False
2000-02-16,TATASTEEL,3.53,3.58,3.49,3.52,14320383,2.924,3.74,,,41.119,-0.1444,-0.1244,-0.0199,4.16,3.31,22.647,2000,2,1,2000-02,False
2000-02-17,TATASTEEL,3.53,3.58,3.48,3.53,13636351,0.284,3.7,,,41.613,-0.1419,-0.1279,-0.014,4.06,3.34,19.409,2000,2,1,2000-02,False
2000-02-18,TATASTEEL,3.53,3.55,3.44,3.46,11543128,-1.983,3.66,,,39.135,-0.1439,-0.1311,-0.0128,3.94,3.38,15.258,2000,2,1,2000-02,False
2000-02-21,TATASTEEL,3.48,3.6,3.43,3.46,20764020,0.0,3.64,,,39.135,-0.1439,-0.1337,-0.0102,3.9,3.38,14.459,2000,2,1,2000-02,False
2000-02-22,TATASTEEL,3.49,3.51,3.39,3.41,18055782,-1.445,3.62,,,37.294,-0.1462,-0.1362,-0.01,3.88,3.36,14.394,2000,2,1,2000-02,False
2000-02-23,TATASTEEL,3.52,3.53,3.33,3.34,12973549,-2.053,3.59,,,34.825,-0.1519,-0.1393,-0.0126,3.85,3.33,14.568,2000,2,1,2000-02,False
2000-02-24,TATASTEEL,3.41,3.46,3.25,3.35,13982936,0.299,3.56,,,35.482,-0.1538,-0.1422,-0.0116,3.82,3.31,14.153,2000,2,1,2000-02,False
