Date,Ticker,Open,High,Low,Close,Volume,Daily_Return_Pct,MA20,MA50,MA200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,Year,Month,Quarter,Year_Month,Price_Repaired
2002-08-12,TCS,24.7215,25.5354,24.7215,25.3439,212976,,,,,,0.0,0.0,0.0,,,,2002,8,3,2002-08,False
2002-08-13,TCS,25.3758,25.7828,24.8173,25.0008,153576,-1.3538,,,,,-0.0273698,-0.00547396,-0.0218958,,,,2002,8,3,2002-08,False
2002-08-14,TCS,25.0566,25.0566,22.8063,23.2771,822776,-6.8946,,,,,-0.186005,-0.0415801,-0.144425,,,,2002,8,3,2002-08,False
2002-08-15,TCS,23.2771,23.2771,23.2771,23.2771,0,0.0,,,,,-0.308171,-0.0948984,-0.213273,,,,2002,8,3,2002-08,False
2002-08-16,TCS,23.1574,24.2587,22.8223,23.2213,811856,-0.2397,,,,,-0.404826,-0.156884,-0.247942,,,,2002,8,3,2002-08,False
2002-08-19,TCS,23.4128,23.4128,22.4313,22.6467,205880,-2.4745,,,,,-0.521775,-0.229862,-0.291913,,,,2002,8,3,2002-08,False
2002-08-20,TCS,22.8063,24.7215,22.6547,23.2771,3773624,2.7836,,,,,-0.557168,-0.295323,-0.261845,,,,2002,8,3,2002-08,False
2002-08-21,TCS,24.5619,25.0247,23.317,24.4183,3011064,4.9027,,,,,-0.487512,-0.333761,-0.153751,,,,2002,8,3,2002-08,False
2002-08-22,TCS,25.2242,26.5409,25.0966,25.4716,6732480,4.3136,,,,,-0.343359,-0.335681,-0.00767819,,,,2002,8,3,2002-08,False
2002-08-23,TCS,25.695,27.8496,25.3838,27.0037,4841672,6.0149,,,,,-0.104286,-0.289402,0.185115,,,,2002,8,3,2002-08,False
2002-08-26,TCS,27.4346,27.6102,26.6925,26.908,2576912,-0.3544,,,,,0.0765753,-0.216206,0.292782,,,,2002,8,3,2002-08,False
2002-08-27,TCS,27.1314,28.2486,26.0142,26.2377,3694224,-2.4911,,,,,0.163932,-0.140179,0.304111,,,,2002,8,3,2002-08,False
2002-08-28,TCS,26.1579,26.5569,25.719,26.2616,1674960,0.0911,,,,,0.232413,-0.0656604,0.298073,,,,2002,8,3,2002-08,False
2002-08-29,TCS,26.102,26.7324,26.0142,26.2616,1236544,0.0,,,,,0.283417,0.004155,0.279262,,,,2002,8,3,2002-08,False
2002-08-30,TCS,26.3414,28.8072,26.3334,28.1209,3762384,7.0799,,,,64.3094,0.468468,0.0970175,0.37145,,,,2002,8,3,2002-08,False
2002-09-02,TCS,28.5678,29.3498,28.1209,28.4082,2389568,1.0217,,,,65.4123,0.63103,0.20382,0.42721,,,,2002,9,3,2002-09,False
2002-09-03,TCS,28.5678,28.6875,26.8122,27.0755,986784,-4.6913,,,,56.6652,0.644891,0.292034,0.352857,,,,2002,9,3,2002-09,False
2002-09-04,TCS,26.7324,27.9294,26.4212,27.6661,1449856,2.1813,,,,59.2649,0.695514,0.37273,0.322784,,,,2002,9,3,2002-09,False
2002-09-05,TCS,28.5119,28.6396,27.1314,27.4985,1061360,-0.6058,,,,58.1979,0.713881,0.44096,0.272921,,,,2002,9,3,2002-09,False
2002-09-06,TCS,27.6102,27.6102,26.1818,26.4771,907472,-3.7144,25.6926,,,52.048,0.638656,0.4805,0.158156,29.313,22.0723,28.1819,2002,9,3,2002-09,False
2002-09-09,TCS,25.2163,27.2511,25.2163,26.1339,880848,-1.2962,25.7321,,,50.1311,0.545063,0.493412,0.0516509,29.3537,22.1106,28.1481,2002,9,3,2002-09,False
2002-09-10,TCS,26.1339,26.1339,26.1339,26.1339,0,0.0,25.7888,,,50.1311,0.465524,0.487835,-0.0223107,29.3976,22.18,27.9874,2002,9,3,2002-09,False
2002-09-11,TCS,26.2776,27.2591,26.2776,26.7962,635936,2.5343,25.9647,,,53.9287,0.450735,0.480415,-0.0296798,29.3968,22.5327,26.4359,2002,9,3,2002-09,False
2002-09-12,TCS,27.1234,27.5942,26.7484,26.9319,781968,0.5064,26.1475,,,54.69,0.444836,0.473299,-0.0284626,29.3591,22.9359,24.5651,2002,9,3,2002-09,False
2002-09-13,TCS,25.9903,26.9559,25.9424,26.1658,338264,-2.8446,26.2947,,,49.6969,0.374032,0.453446,-0.0794133,29.1965,23.3929,22.0713,2002,9,3,2002-09,False
2002-09-16,TCS,26.4132,26.5568,25.4556,25.6551,288592,-1.9518,26.4451,,,46.64,0.273557,0.417468,-0.143911,28.8136,24.0767,17.9122,2002,9,3,2002-09,False
2002-09-17,TCS,26.118,26.5728,26.0302,26.4052,462952,2.9238,26.6015,,,51.3714,0.251557,0.384286,-0.132729,28.4438,24.7593,13.8509,2002,9,3,2002-09,False
2002-09-18,TCS,26.2536,26.3334,25.3758,25.5913,315432,-3.0823,26.6602,,,46.5484,0.166527,0.340734,-0.174207,28.2698,25.0506,12.0751,2002,9,3,2002-09,False
2002-09-19,TCS,25.3758,26.2217,25.0566,25.3758,490848,-0.8421,26.6554,,,45.3348,0.080819,0.288751,-0.207932,28.2804,25.0304,12.1927,2002,9,3,2002-09,False
2002-09-20,TCS,24.4661,25.328,24.3624,24.9609,501072,-1.635,26.5533,,,43.0098,-0.0203493,0.226931,-0.24728,28.3353,24.7712,13.4224,2002,9,3,2002-09,False
2002-09-23,TCS,25.1364,25.2003,24.4342,24.538,248504,-1.6942,26.4348,,,40.7176,-0.133116,0.154922,-0.288037,28.421,24.4485,15.0273,2002,9,3,2002-09,False
2002-09-24,TCS,24.4502,24.4502,23.4447,23.708,267912,-3.3825,26.3083,,,36.5953,-0.28616,0.0667053,-0.352865,28.6396,23.977,17.7228,2002,9,3,2002-09,False
2002-09-25,TCS,23.1574,24.0991,22.9819,23.8916,379544,0.7744,26.1898,,,38.0884,-0.388158,-0.0242675,-0.363891,28.7598,23.6198,19.6258,2002,9,3,2002-09,False
2002-09-26,TCS,24.3863,24.6497,24.0991,24.2666,178136,1.5696,26.09,,,41.1375,-0.433734,-0.106161,-0.327573,28.7994,23.3807,20.7691,2002,9,3,2002-09,False
2002-09-27,TCS,24.1868,24.897,24.1868,24.5619,206288,1.2169,25.9121,,,43.4973,-0.440942,-0.173117,-0.267825,28.5256,23.2986,20.1722,2002,9,3,2002-09,False
2002-09-30,TCS,24.1868,24.5619,23.1574,23.6682,202232,-3.6386,25.6751,,,38.4706,-0.512856,-0.241065,-0.271792,28.1935,23.1567,19.6173,2002,9,3,2002-09,False
2002-10-01,TCS,23.7799,24.0991,23.0617,23.4687,240192,-0.8429,25.4947,,,37.4307,-0.57927,-0.308706,-0.270564,28.1057,22.8837,20.4826,2002,10,4,2002-10,False
2002-10-02,TCS,23.4687,23.4687,23.4687,23.4687,0,0.0,25.2849,,,37.4307,-0.624702,-0.371905,-0.252797,27.835,22.7347,20.1716,2002,10,4,2002-10,False
2002-10-03,TCS,23.7799,25.3758,23.7799,24.0991,673264,2.6861,25.1149,,,43.0702,-0.602889,-0.418102,-0.184787,27.4911,22.7387,18.9223,2002,10,4,2002-10,False
2002-10-04,TCS,24.4183,24.4901,23.7001,23.9475,258296,-0.6291,24.9884,,,42.0878,-0.591022,-0.452686,-0.138336,27.3283,22.6485,18.7277,2002,10,4,2002-10,False
2002-10-07,TCS,24.107,24.2587,23.6362,23.8437,110976,-0.4334,24.8739,,,41.3916,-0.58327,-0.478803,-0.104467,27.2019,22.5459,18.7182,2002,10,4,2002-10,False
2002-10-08,TCS,23.9155,24.7215,23.7799,24.4901,227352,2.711,24.7917,,,47.2439,-0.518984,-0.486839,-0.0321455,27.0473,22.5361,18.1965,2002,10,4,2002-10,False
2002-10-09,TCS,24.5779,24.9689,23.6602,23.8677,277040,-2.5414,24.6453,,,42.8111,-0.512354,-0.491942,-0.0204122,26.7265,22.5641,16.8892,2002,10,4,2002-10,False
