Date,Ticker,Open,High,Low,Close,Volume,Daily_Return_Pct,MA20,MA50,MA200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,Year,Month,Quarter,Year_Month,Price_Repaired
2000-01-03,TMPV,30.7,32.16,30.7,32.08,3528277,,,,,,0.0,0.0,0.0,,,,2000,1,1,2000-01,False
2000-01-04,TMPV,32.12,32.42,30.49,30.82,3544397,-3.945,,,,,-0.101,-0.0202,-0.0808,,,,2000,1,1,2000-01,False
2000-01-05,TMPV,28.72,32.24,28.72,31.56,5849540,2.426,,,,,-0.1193,-0.04,-0.0793,,,,2000,1,1,2000-01,False
2000-01-06,TMPV,31.82,34.03,31.82,32.87,10274966,4.15,,,,,-0.0278,-0.0376,0.0098,,,,2000,1,1,2000-01,False
2000-01-07,TMPV,33.16,35.51,33.02,35.51,11477451,8.014,,,,,0.2544,0.0208,0.2336,,,,2000,1,1,2000-01,False
2000-01-10,TMPV,38.34,38.35,36.71,38.31,8978430,7.899,,,,,0.6964,0.1559,0.5404,,,,2000,1,1,2000-01,False
2000-01-11,TMPV,38.48,38.48,35.25,35.25,6303356,-7.997,,,,,0.7903,0.2828,0.5075,,,,2000,1,1,2000-01,False
2000-01-12,TMPV,35.52,36.41,33.9,35.56,4897855,0.882,,,,,0.8796,0.4022,0.4774,,,,2000,1,1,2000-01,False
2000-01-13,TMPV,35.97,36.26,34.28,34.85,2952315,-1.998,,,,,0.8829,0.4983,0.3846,,,,2000,1,1,2000-01,False
2000-01-14,TMPV,34.78,35.97,34.49,35.38,5347397,1.529,,,,,0.918,0.5822,0.3357,,,,2000,1,1,2000-01,False
2000-01-17,TMPV,35.96,38.2,35.96,37.1,7738816,4.853,,,,,1.0719,0.6802,0.3917,,,,2000,1,1,2000-01,False
2000-01-18,TMPV,37.15,37.37,36.27,36.71,4134762,-1.057,,,,,1.149,0.774,0.3751,,,,2000,1,1,2000-01,False
2000-01-19,TMPV,37.15,38.17,35.91,37.08,6371852,1.008,,,,,1.2259,0.8643,0.3615,,,,2000,1,1,2000-01,False
2000-01-20,TMPV,37.0,37.0,34.58,34.89,2911586,-5.908,,,,,1.0974,0.9109,0.1864,,,,2000,1,1,2000-01,False
2000-01-21,TMPV,34.06,34.61,33.38,34.37,3633756,-1.485,,,,56.158,0.9428,0.9173,0.0255,,,,2000,1,1,2000-01,False
2000-01-24,TMPV,34.04,34.92,31.62,31.62,5871546,-7.989,,,,48.444,0.592,0.8523,-0.2603,,,,2000,1,1,2000-01,False
2000-01-25,TMPV,29.66,30.33,29.1,29.1,3684802,-7.98,,,,42.645,0.1091,0.7036,-0.5946,,,,2000,1,1,2000-01,False
