Date,Ticker,Open,High,Low,Close,Volume,Daily_Return_Pct,MA20,MA50,MA200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,Year,Month,Quarter,Year_Month,Price_Repaired
2002-08-12,ULTRACEMCO,272.36,275.83,271.92,275.12,13300,,,,,,0.0,0.0,0.0,,,,2002,8,3,2002-08,False
2002-08-13,ULTRACEMCO,269.29,278.59,269.29,276.72,14200,0.582,,,,,0.1278,0.0256,0.1022,,,,2002,8,3,2002-08,False
2002-08-14,ULTRACEMCO,269.78,277.7,269.78,276.99,40000,0.097,,,,,0.2478,0.07,0.1778,,,,2002,8,3,2002-08,False
2002-08-15,ULTRACEMCO,276.99,276.99,276.99,276.99,0,0.0,,,,,0.3389,0.1238,0.2152,,,,2002,8,3,2002-08,False
2002-08-16,ULTRACEMCO,275.92,277.7,274.19,276.86,30600,-0.048,,,,,0.3959,0.1782,0.2177,,,,2002,8,3,2002-08,False
2002-08-19,ULTRACEMCO,276.81,279.39,276.46,277.03,29300,0.064,,,,,0.4501,0.2326,0.2176,,,,2002,8,3,2002-08,False
2002-08-20,ULTRACEMCO,277.92,278.46,276.37,277.26,74300,0.08,,,,,0.5053,0.2871,0.2182,,,,2002,8,3,2002-08,False
2002-08-21,ULTRACEMCO,275.03,288.61,275.03,281.53,48800,1.541,,,,,0.8836,0.4064,0.4771,,,,2002,8,3,2002-08,False
2002-08-22,ULTRACEMCO,281.31,283.75,276.81,279.97,32600,-0.553,,,,,1.0456,0.5343,0.5113,,,,2002,8,3,2002-08,False
2002-08-23,ULTRACEMCO,276.81,281.17,276.81,280.02,46100,0.016,,,,,1.1642,0.6602,0.5039,,,,2002,8,3,2002-08,False
2002-08-26,ULTRACEMCO,279.39,282.06,278.59,281.26,31600,0.445,,,,,1.3432,0.7968,0.5464,,,,2002,8,3,2002-08,False
2002-08-27,ULTRACEMCO,280.82,282.15,277.7,281.0,41800,-0.095,,,,,1.4469,0.9269,0.5201,,,,2002,8,3,2002-08,False
2002-08-28,ULTRACEMCO,273.25,286.51,273.25,280.28,33100,-0.253,,,,,1.4548,1.0325,0.4224,,,,2002,8,3,2002-08,False
2002-08-29,ULTRACEMCO,280.77,286.6,277.3,283.75,41100,1.238,,,,,1.7214,1.1702,0.5511,,,,2002,8,3,2002-08,False
2002-08-30,ULTRACEMCO,284.82,284.82,277.3,280.15,84100,-1.27,,,,64.304,1.623,1.2608,0.3622,,,,2002,8,3,2002-08,False
2002-09-02,ULTRACEMCO,283.04,283.49,277.26,278.86,23300,-0.461,,,,59.592,1.4245,1.2935,0.131,,,,2002,9,3,2002-09,False
2002-09-03,ULTRACEMCO,280.82,280.82,276.1,276.86,15500,-0.718,,,,53.091,1.093,1.2534,-0.1604,,,,2002,9,3,2002-09,False
2002-09-04,ULTRACEMCO,277.7,281.62,275.03,279.93,16300,1.109,,,,60.251,1.0658,1.2159,-0.1501,,,,2002,9,3,2002-09,False
2002-09-05,ULTRACEMCO,277.7,288.43,277.48,286.07,49800,2.194,,,,70.086,1.5222,1.2772,0.2451,,,,2002,9,3,2002-09,False
2002-09-06,ULTRACEMCO,283.98,289.14,281.35,283.22,46800,-0.996,279.49,,,62.378,1.6353,1.3488,0.2865,285.14,273.85,4.038,2002,9,3,2002-09,False
2002-09-09,ULTRACEMCO,279.48,282.15,278.64,279.75,13800,-1.226,279.72,,,54.509,1.4283,1.3647,0.0636,284.98,274.47,3.757,2002,9,3,2002-09,False
2002-09-10,ULTRACEMCO,279.75,279.75,279.75,279.75,0,0.0,279.88,,,54.509,1.2499,1.3417,-0.0918,284.94,274.82,3.616,2002,9,3,2002-09,False
2002-09-11,ULTRACEMCO,278.59,283.04,277.75,279.44,20400,-0.111,280.0,,,53.803,1.071,1.2876,-0.2166,284.88,275.12,3.487,2002,9,3,2002-09,False
2002-09-12,ULTRACEMCO,278.59,287.49,277.79,285.94,61900,2.325,280.45,,,64.218,1.4369,1.3175,0.1195,285.78,275.11,3.808,2002,9,3,2002-09,False
2002-09-13,ULTRACEMCO,285.71,286.6,279.57,281.8,58400,-1.447,280.69,,,55.617,1.3771,1.3294,0.0477,285.78,275.6,3.628,2002,9,3,2002-09,False
2002-09-16,ULTRACEMCO,278.59,283.22,277.3,282.06,24600,0.095,280.94,,,56.026,1.3359,1.3307,0.0052,285.76,276.12,3.431,2002,9,3,2002-09,False
2002-09-17,ULTRACEMCO,278.59,283.93,278.59,280.24,6600,-0.647,281.09,,,52.466,1.1428,1.2931,-0.1503,285.61,276.58,3.212,2002,9,3,2002-09,False
2002-09-18,ULTRACEMCO,280.37,281.93,276.9,279.04,18400,-0.429,280.97,,,50.204,0.8826,1.211,-0.3284,285.57,276.37,3.275,2002,9,3,2002-09,False
2002-09-19,ULTRACEMCO,277.35,282.02,274.14,275.57,28900,-1.244,280.75,,,44.265,0.3918,1.0472,-0.6554,285.93,275.56,3.695,2002,9,3,2002-09,False
2002-09-20,ULTRACEMCO,275.88,279.44,269.78,276.81,24800,0.452,280.59,,,46.703,0.1022,0.8582,-0.756,286.06,275.12,3.9,2002,9,3,2002-09,False
2002-09-23,ULTRACEMCO,275.74,280.37,274.14,275.65,31500,-0.418,280.31,,,44.746,-0.2182,0.6429,-0.8611,286.19,274.42,4.199,2002,9,3,2002-09,False
2002-09-24,ULTRACEMCO,272.41,280.37,272.41,277.7,31400,0.743,280.14,,,48.83,-0.3034,0.4536,-0.757,286.13,274.16,4.275,2002,9,3,2002-09,False
2002-09-25,ULTRACEMCO,275.03,278.15,275.03,277.52,10500,-0.064,280.0,,,48.495,-0.3809,0.2867,-0.6676,286.11,273.9,4.357,2002,9,3,2002-09,False
2002-09-26,ULTRACEMCO,275.08,278.37,275.08,276.72,5000,-0.289,279.65,,,46.931,-0.5012,0.1292,-0.6303,285.65,273.65,4.291,2002,9,3,2002-09,False
2002-09-27,ULTRACEMCO,275.12,279.48,275.12,275.83,49300,-0.322,279.44,,,45.188,-0.6607,-0.0288,-0.6319,285.67,273.21,4.46,2002,9,3,2002-09,False
2002-09-30,ULTRACEMCO,279.44,279.44,271.52,275.43,101100,-0.145,279.27,,,44.389,-0.8101,-0.1851,-0.625,285.75,272.78,4.642,2002,9,3,2002-09,False
2002-10-01,ULTRACEMCO,278.37,278.37,274.14,275.12,86300,-0.113,279.18,,,43.741,-0.9428,-0.3366,-0.6062,285.84,272.52,4.772,2002,10,4,2002-10,False
2002-10-02,ULTRACEMCO,275.12,275.12,275.12,275.12,0,0.0,278.94,,,43.741,-1.036,-0.4765,-0.5595,285.83,272.05,4.941,2002,10,4,2002-10,False
2002-10-03,ULTRACEMCO,272.41,280.19,272.41,276.77,21500,0.599,278.47,,,48.361,-0.9658,-0.5743,-0.3915,284.55,272.4,4.36,2002,10,4,2002-10,False
2002-10-04,ULTRACEMCO,278.59,279.04,275.48,275.79,53800,-0.354,278.1,,,45.945,-0.978,-0.6551,-0.3229,283.85,272.35,4.135,2002,10,4,2002-10,False
2002-10-07,ULTRACEMCO,273.25,280.42,273.25,275.52,84800,-0.097,277.89,,,45.281,-0.9976,-0.7236,-0.2741,283.7,272.09,4.178,2002,10,4,2002-10,False
2002-10-08,ULTRACEMCO,272.36,279.39,272.36,275.83,12100,0.113,277.7,,,46.257,-0.9768,-0.7742,-0.2026,283.5,271.89,4.181,2002,10,4,2002-10,False
2002-10-09,ULTRACEMCO,277.61,277.61,273.7,275.39,57400,-0.161,277.49,,,45.021,-0.9849,-0.8164,-0.1685,283.32,271.66,4.203,2002,10,4,2002-10,False
2002-10-10,ULTRACEMCO,273.25,277.26,273.25,275.79,6500,0.145,276.99,,,46.409,-0.948,-0.8427,-0.1053,281.29,272.68,3.109,2002,10,4,2002-10,False
2002-10-11,ULTRACEMCO,276.81,277.57,273.7,274.28,29200,-0.549,276.61,,,42.086,-1.0291,-0.88,-0.1491,280.43,272.79,2.764,2002,10,4,2002-10,False
2002-10-14,ULTRACEMCO,276.37,279.48,273.3,273.65,21800,-0.227,276.19,,,40.417,-1.1305,-0.9301,-0.2004,279.26,273.11,2.226,2002,10,4,2002-10,False
2002-10-15,ULTRACEMCO,273.65,273.65,273.65,273.65,0,0.0,275.86,,,40.417,-1.1971,-0.9835,-0.2136,278.49,273.23,1.904,2002,10,4,2002-10,False
2002-10-16,ULTRACEMCO,280.28,284.82,271.47,274.5,71800,0.309,275.63,,,43.919,-1.1682,-1.0204,-0.1478,277.86,273.41,1.613,2002,10,4,2002-10,False
2002-10-17,ULTRACEMCO,273.07,275.92,270.63,271.43,36700,-1.119,275.43,,,35.711,-1.3772,-1.0918,-0.2854,278.34,272.51,2.115,2002,10,4,2002-10,False
2002-10-18,ULTRACEMCO,274.1,276.54,271.52,273.39,30700,0.721,275.25,277.91,,43.023,-1.3691,-1.1472,-0.2218,278.23,272.28,2.159,2002,10,4,2002-10,False
2002-10-21,ULTRACEMCO,273.25,275.88,272.36,272.98,24700,-0.146,275.12,277.86,,41.972,-1.379,-1.1936,-0.1854,278.25,271.99,2.277,2002,10,4,2002-10,False
2002-10-22,ULTRACEMCO,275.83,275.83,270.58,271.07,31400,-0.701,274.79,277.75,,37.283,-1.5238,-1.2596,-0.2641,278.16,271.41,2.457,2002,10,4,2002-10,False
2002-10-23,ULTRACEMCO,271.43,272.18,266.13,267.78,18200,-1.215,274.3,277.57,,30.888,-1.8825,-1.3842,-0.4983,278.68,269.92,3.192,2002,10,4,2002-10,False
2002-10-24,ULTRACEMCO,273.21,273.21,263.95,264.75,49800,-1.13,273.7,277.32,,26.406,-2.3835,-1.5841,-0.7995,279.67,267.73,4.362,2002,10,4,2002-10,False
2002-10-25,ULTRACEMCO,264.8,278.15,261.9,273.87,222800,3.446,273.61,277.26,,49.974,-2.0211,-1.6715,-0.3496,279.49,267.72,4.302,2002,10,4,2002-10,False
2002-10-28,ULTRACEMCO,277.7,279.93,276.81,277.92,160300,1.479,273.73,277.28,,56.616,-1.3911,-1.6154,0.2243,279.88,267.58,4.492,2002,10,4,2002-10,False
2002-10-29,ULTRACEMCO,277.7,277.7,267.02,267.33,227600,-3.811,273.34,277.08,,41.207,-1.7266,-1.6376,-0.0889,280.08,266.6,4.929,2002,10,4,2002-10,False
2002-10-30,ULTRACEMCO,264.35,272.36,264.26,266.93,62900,-0.15,272.93,276.79,,40.755,-2.0017,-1.7104,-0.2912,280.19,265.68,5.317,2002,10,4,2002-10,False
2002-10-31,ULTRACEMCO,267.07,273.25,267.07,269.25,105400,0.867,272.56,276.58,,44.538,-2.0098,-1.7703,-0.2395,279.75,265.36,5.282,2002,10,4,2002-10,False
2002-11-01,ULTRACEMCO,275.83,284.11,267.02,272.01,196100,1.025,272.37,276.41,,48.741,-1.7732,-1.7709,-0.0023,279.4,265.33,5.167,2002,11,4,2002-11,False
2002-11-04,ULTRACEMCO,274.59,279.26,274.14,277.92,29200,2.176,272.49,276.35,,56.377,-1.0954,-1.6358,0.5404,279.83,265.15,5.387,2002,11,4,2002-11,False
2002-11-05,ULTRACEMCO,278.15,280.28,274.14,275.7,69800,-0.801,272.48,276.24,,53.17,-0.7294,-1.4545,0.7251,279.81,265.15,5.378,2002,11,4,2002-11,False
2002-11-06,ULTRACEMCO,275.7,275.7,275.7,275.7,0,0.0,272.5,276.15,,53.17,-0.4343,-1.2505,0.8162,279.85,265.14,5.398,2002,11,4,2002-11,False
2002-11-07,ULTRACEMCO,272.36,278.59,270.23,276.72,58000,0.371,272.54,276.01,,54.549,-0.1165,-1.0237,0.9071,280.0,265.09,5.47,2002,11,4,2002-11,False
2002-11-08,ULTRACEMCO,272.41,276.63,272.41,275.7,40600,-0.37,272.61,275.92,,52.872,0.0521,-0.8085,0.8606,280.16,265.06,5.539,2002,11,4,2002-11,False
2002-11-11,ULTRACEMCO,271.07,276.81,269.69,275.74,31900,0.016,272.72,275.86,,52.94,0.1872,-0.6094,0.7966,280.39,265.05,5.623,2002,11,4,2002-11,False
2002-11-12,ULTRACEMCO,271.56,280.37,271.56,278.9,50200,1.146,272.98,275.9,,57.6,0.543,-0.3789,0.9219,281.13,264.83,5.969,2002,11,4,2002-11,False
2002-11-13,ULTRACEMCO,281.08,282.06,276.81,277.79,65800,-0.399,273.14,275.86,,55.516,0.7268,-0.1578,0.8845,281.55,264.74,6.154,2002,11,4,2002-11,False
2002-11-14,ULTRACEMCO,277.03,280.77,276.86,279.93,27800,0.769,273.57,275.73,,58.613,1.0329,0.0804,0.9525,282.46,264.68,6.496,2002,11,4,2002-11,False
2002-11-15,ULTRACEMCO,278.59,280.82,276.9,277.97,40400,-0.7,273.8,275.63,,54.843,1.1047,0.2852,0.8195,282.9,264.7,6.647,2002,11,4,2002-11,False
2002-11-18,ULTRACEMCO,280.19,286.6,278.68,280.02,86300,0.736,274.15,275.63,,57.892,1.3118,0.4905,0.8212,283.65,264.65,6.931,2002,11,4,2002-11,False
2002-11-19,ULTRACEMCO,280.02,280.02,280.02,280.02,0,0.0,274.6,275.64,,57.892,1.459,0.6842,0.7748,284.33,264.87,7.087,2002,11,4,2002-11,False
2002-11-20,ULTRACEMCO,277.7,279.44,271.65,274.54,131000,-1.955,274.94,275.54,,47.869,1.1211,0.7716,0.3495,284.12,265.75,6.683,2002,11,4,2002-11,False
2002-11-21,ULTRACEMCO,273.25,274.1,267.91,268.93,85900,-2.042,275.15,275.2,,40.193,0.3962,0.6965,-0.3003,283.51,266.78,6.08,2002,11,4,2002-11,False
2002-11-22,ULTRACEMCO,274.05,274.05,267.91,269.65,91600,0.265,274.93,274.96,,41.477,-0.1194,0.5333,-0.6527,283.64,266.23,6.333,2002,11,4,2002-11,False
2002-11-25,ULTRACEMCO,269.69,270.58,264.8,266.44,58300,-1.188,274.36,274.65,,37.569,-0.7776,0.2712,-1.0488,283.73,264.99,6.827,2002,11,4,2002-11,False
2002-11-26,ULTRACEMCO,267.02,267.87,262.66,264.08,139200,-0.885,274.2,274.32,,34.959,-1.4726,-0.0776,-1.395,284.17,264.23,7.273,2002,11,4,2002-11,False
2002-11-27,ULTRACEMCO,264.44,268.71,262.7,265.02,73800,0.354,274.1,274.04,,36.832,-1.9258,-0.4472,-1.4786,284.4,263.81,7.513,2002,11,4,2002-11,False
2002-11-28,ULTRACEMCO,262.04,265.24,257.23,259.9,219200,-1.931,273.63,273.73,,31.485,-2.6672,-0.8912,-1.7759,285.58,261.69,8.728,2002,11,4,2002-11,False
