Date,Ticker,Open,High,Low,Close,Volume,Daily_Return_Pct,MA20,MA50,MA200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,Year,Month,Quarter,Year_Month,Price_Repaired
2000-01-03,WIPRO,38.53,38.54,38.53,38.54,85279,,,,,,0.0,0.0,0.0,,,,2000,1,1,2000-01,False
2000-01-04,WIPRO,41.62,41.62,41.62,41.62,234239,8.001,,,,,0.2459,0.0492,0.1968,,,,2000,1,1,2000-01,False
2000-01-05,WIPRO,41.62,44.95,38.41,42.3,7055839,1.63,,,,,0.4899,0.1373,0.3526,,,,2000,1,1,2000-01,False
2000-01-06,WIPRO,44.49,45.03,39.47,41.48,3884799,-1.935,,,,,0.6103,0.2319,0.3783,,,,2000,1,1,2000-01,False
2000-01-07,WIPRO,38.92,38.92,38.16,38.16,539199,-7.999,,,,,0.4329,0.2721,0.1608,,,,2000,1,1,2000-01,False
2000-01-10,WIPRO,38.16,41.21,36.95,38.21,2153706,0.135,,,,,0.2931,0.2763,0.0168,,,,2000,1,1,2000-01,False
2000-01-11,WIPRO,38.68,39.45,35.16,35.16,2462826,-7.992,,,,,-0.0634,0.2084,-0.2718,,,,2000,1,1,2000-01,False
2000-01-12,WIPRO,36.64,36.89,35.15,36.25,1068639,3.116,,,,,-0.2546,0.1158,-0.3704,,,,2000,1,1,2000-01,False
2000-01-13,WIPRO,36.41,37.06,34.8,35.09,1017599,-3.225,,,,,-0.4947,-0.0063,-0.4884,,,,2000,1,1,2000-01,False
2000-01-14,WIPRO,36.64,36.64,34.02,35.33,1088639,0.71,,,,,-0.6574,-0.1365,-0.5209,,,,2000,1,1,2000-01,False
2000-01-17,WIPRO,36.5,38.16,36.07,38.16,1492479,8.001,,,,,-0.5518,-0.2196,-0.3322,,,,2000,1,1,2000-01,False
2000-01-18,WIPRO,38.76,40.32,36.78,37.87,1730293,-0.762,,,,,-0.486,-0.2729,-0.2131,,,,2000,1,1,2000-01,False
2000-01-19,WIPRO,38.55,40.29,38.55,39.39,1791253,4.01,,,,,-0.3078,-0.2799,-0.0279,,,,2000,1,1,2000-01,False
2000-01-20,WIPRO,39.72,40.1,39.26,39.56,1147253,0.427,,,,,-0.1512,-0.2541,0.1029,,,,2000,1,1,2000-01,False
2000-01-21,WIPRO,39.96,42.72,38.9,42.29,7743732,6.912,,,,58.918,0.1914,-0.165,0.3564,,,,2000,1,1,2000-01,False
2000-01-24,WIPRO,44.57,45.68,44.57,45.68,1096639,8.001,,,,64.979,0.7275,0.0135,0.714,,,,2000,1,1,2000-01,False
2000-01-25,WIPRO,49.33,49.33,49.33,49.33,1860959,8.001,,,,70.108,1.4308,0.2969,1.1338,,,,2000,1,1,2000-01,False
2000-01-26,WIPRO,49.33,49.33,49.33,49.33,0,0.0,,,,70.108,1.9655,0.6306,1.3348,,,,2000,1,1,2000-01,False
