Ticker,Company,Sector,Beta,Sharpe_Ratio,Nifty_Correlation,Annual_Volatility_Pct,Max_Drawdown_Pct,Return_1Y_Pct,Return_3Y_Pct,Return_5Y_Pct,Latest_RSI,Latest_Close,Last_Date,Data_Points,Risk_Window_Start
RELIANCE,Reliance Industries,Energy,1.139,0.259,0.745,31.31,-68.18,-11.35,2.12,12.75,34.21,1240.0,2026-09-16,6664,2007-09-17
TCS,Tata Consultancy Services,IT,0.753,0.396,0.53,29.09,-59.25,-27.53,-33.26,-35.45,39.34,2188.8,2026-09-16,5985,2007-09-17
HDFCBANK,HDFC Bank,Banking,0.984,0.413,0.736,27.36,-55.11,-24.14,-9.31,-1.15,51.65,721.5,2026-09-16,6667,2007-09-17
ICICIBANK,ICICI Bank,Banking,1.413,0.348,0.775,37.35,-81.35,-3.61,40.33,94.25,34.6,1358.8,2026-09-16,6014,2007-09-17
INFY,Infosys,IT,0.739,0.288,0.51,29.67,-48.17,-27.25,-22.92,-28.5,40.93,1060.0,2026-09-16,6667,2007-09-17
BHARTIARTL,Bharti Airtel,Telecom,0.853,0.243,0.526,33.25,-56.43,-4.2,101.26,169.53,42.0,1835.0,2026-09-16,6014,2007-09-17
SBIN,State Bank of India,Banking,1.193,0.31,0.693,35.3,-60.94,21.37,74.82,133.73,39.35,991.4,2026-09-16,6665,2007-09-17
LT,Larsen and Toubro,Infrastructure,1.166,0.314,0.734,32.51,-74.92,4.83,34.47,132.76,29.91,3807.7,2026-09-16,6017,2007-09-17
ITC,ITC Limited,FMCG,0.649,0.309,0.505,26.31,-55.28,-32.94,-31.36,45.38,45.46,264.15,2026-09-16,6664,2007-09-17
HINDUNILVR,Hindustan Unilever,FMCG,0.499,0.423,0.408,25.04,-33.78,-22.6,-15.9,-22.7,41.16,1962.0,2026-09-16,6666,2007-09-17
KOTAKBANK,Kotak Mahindra Bank,Banking,1.184,0.357,0.689,35.15,-84.48,2.81,14.85,9.41,54.24,415.0,2026-09-16,6276,2007-09-17
AXISBANK,Axis Bank,Banking,1.301,0.355,0.699,38.12,-77.66,10.77,21.11,55.39,47.06,1241.0,2026-09-16,6663,2007-09-17
BAJFINANCE,Bajaj Finance,NBFC,0.912,0.813,0.467,39.99,-90.59,0.91,36.64,39.22,30.53,1006.2,2026-09-16,6014,2007-09-17
HCLTECH,HCL Technologies,IT,0.858,0.514,0.516,34.08,-70.91,-11.69,8.11,22.03,44.85,1253.0,2026-09-16,5988,2007-09-17
MARUTI,Maruti Suzuki,Auto,0.826,0.431,0.558,30.31,-61.05,-21.09,19.13,83.81,20.7,12166.0,2026-09-16,5750,2007-09-17
SUNPHARMA,Sun Pharmaceutical,Pharma,0.513,0.483,0.353,29.77,-71.46,16.14,65.65,149.32,39.27,1853.5,2026-09-16,6667,2007-09-17
ASIANPAINT,Asian Paints,Consumer,0.493,0.582,0.381,26.52,-44.14,-1.59,-21.91,-24.18,25.99,2416.6,2026-09-16,6014,2007-09-17
TITAN,Titan Company,Consumer,0.851,0.656,0.497,35.13,-59.77,38.46,52.55,136.6,42.11,4908.5,2026-09-16,6667,2007-09-17
TMPV,Tata Motors Passenger Vehicles,Auto,1.27,0.192,0.592,44.09,-89.08,-57.45,-51.44,-0.86,31.2,301.0,2026-09-16,6667,2007-09-17
WIPRO,Wipro,IT,0.771,0.189,0.523,30.18,-63.13,-31.83,-18.17,-45.29,35.07,166.89,2026-09-16,6667,2007-09-17
ULTRACEMCO,UltraTech Cement,Cement,0.805,0.383,0.559,29.47,-77.16,-13.19,26.63,43.8,27.94,10700.0,2026-09-16,5984,2007-09-17
BAJAJFINSV,Bajaj Finserv,NBFC,0.83,0.227,0.374,45.5,-99.68,-11.62,19.67,10.1,27.74,1837.0,2026-09-16,5982,2007-09-17
NTPC,NTPC Limited,Utilities,0.809,0.168,0.573,28.9,-55.03,0.24,48.06,207.79,38.71,327.0,2026-09-16,5403,2007-09-17
POWERGRID,Power Grid Corporation,Utilities,0.748,0.32,0.536,28.55,-63.66,-6.29,49.95,148.25,39.02,262.8,2026-09-16,4675,2007-10-05
ONGC,Oil and Natural Gas Corporation,Energy,0.901,0.191,0.54,34.13,-76.79,6.07,47.17,147.51,51.89,236.8,2026-09-16,6664,2007-09-17
